baseline,ci95_high,ci95_low,dataset,losses,mean_recall_delta,method,pairs,ties,wins
B0_gist,0.078125,-0.08705357142857141,hotpotqa,4,-0.0053571428571428555,greedy_oracle_m4,16,8,4
B1_bm25,-0.12872023809523808,-0.3848214285714286,hotpotqa,11,-0.2523809523809524,greedy_oracle_m4,16,4,1
B2_exact,-0.03660714285714285,-0.24999999999999997,hotpotqa,8,-0.14151785714285717,greedy_oracle_m4,16,6,2
H5_iterative_hybrid,-0.025000000000000005,-0.24479166666666666,hotpotqa,8,-0.13407738095238095,greedy_oracle_m4,16,6,2
B0_gist,0.06708333333333333,-0.12660714285714286,hotpotqa,5,-0.02681547619047619,learned_m8,16,6,5
B1_bm25,-0.1328571428571429,-0.4125,hotpotqa,12,-0.2738392857142857,learned_m8,16,3,1
B2_exact,-0.05449404761904763,-0.27529761904761907,hotpotqa,9,-0.16297619047619047,learned_m8,16,4,3
H5_iterative_hybrid,-0.04125,-0.28080357142857143,hotpotqa,9,-0.15553571428571428,learned_m8,16,5,2
B0_gist,0.32257440476190474,-0.0009661172161172151,qasper,3,0.1398820970695971,greedy_oracle_m4,16,6,7
B1_bm25,0.3257440476190476,-0.01886904761904762,qasper,3,0.13619047619047622,greedy_oracle_m4,16,6,7
B2_exact,0.22208333333333335,-0.19354166666666664,qasper,8,0.0002083333333333312,greedy_oracle_m4,16,5,3
H5_iterative_hybrid,0.2934523809523809,-0.057589285714285704,qasper,4,0.09680173992673992,greedy_oracle_m4,16,6,6
B0_gist,0.22700892857142857,3.8919413919414475e-05,qasper,3,0.10099130036630037,learned_m8,16,6,7
B1_bm25,0.23004464285714285,-0.013741987179487181,qasper,4,0.09729967948717949,learned_m8,16,6,6
B2_exact,0.13341575091575095,-0.19511103479853478,qasper,9,-0.038682463369963366,learned_m8,16,4,3
H5_iterative_hybrid,0.1974198717948718,-0.06101190476190475,qasper,5,0.05791094322344323,learned_m8,16,4,7
