active_memory_fraction,any_evidence,chain_completion,compression_ms,dataset,evidence_normalized_overhead,evidence_precision,evidence_recall,exact_identity,identities,kendall,kl,m,mae,materialized_kv_tokens,method,mrr,native_dots,rmse,rows,spearman,split,teacher_top1_overlap,teacher_top2_overlap,teacher_top4_overlap,teacher_top8_overlap
0.25,0.45,0.45,12.017264997120947,synthetic_qk,4.0,0.1125,0.45,0.0,20,0.21916666666666668,0.003937339270487427,1,0.18562625274062156,480.0,farthest,0.2458333333333333,64.0,0.20329794362187387,20,0.3044117941753939,synthetic,0.1,0.65,0.525,0.55625
0.25,0.4,0.4,10.732795018702745,synthetic_qk,4.0,0.1,0.4,0.0,20,0.24333333333333335,0.003242478851461783,2,0.19406842216849327,480.0,farthest,0.20833333333333331,128.0,0.20795384049415588,20,0.33132357327267525,synthetic,0.1,0.6,0.4875,0.60625
0.25,0.45,0.45,11.994795023929328,synthetic_qk,4.0,0.1125,0.45,0.0,20,0.19833333333333333,0.003230180498212576,4,0.19668789878487586,480.0,farthest,0.2166666666666667,256.0,0.2102261669933796,20,0.275000031106174,synthetic,0.05,0.65,0.4875,0.58125
0.25,0.45,0.45,12.056265014689416,synthetic_qk,4.0,0.1125,0.45,0.0,20,0.28750000000000003,0.0029771573841571807,8,0.12924069128930568,480.0,farthest,0.30416666666666664,512.0,0.14751422591507435,20,0.37205887073650956,synthetic,0.2,0.675,0.5125,0.6125
0.25,1.0,1.0,0.05021499237045646,synthetic_qk,4.0,0.25,1.0,0.0,20,1.0,0.0,0,0.0,480.0,full_k,1.0,7680.0,0.0,20,1.0,synthetic,1.0,1.0,1.0,1.0
0.25,1.0,1.0,11.625574971549213,synthetic_qk,4.0,0.25,1.0,0.0,20,0.40583333333333327,0.00029701435123570264,1,0.0695784268900752,480.0,greedy_oracle,1.0,64.0,0.07240876741707325,20,0.5286765357945115,synthetic,1.0,1.0,0.65,0.63125
0.25,1.0,1.0,11.56380499014631,synthetic_qk,4.0,0.25,1.0,0.0,20,0.4133333333333334,0.00014009553124196827,2,0.07701294925063848,480.0,greedy_oracle,1.0,128.0,0.07879083808511496,20,0.540882415464148,synthetic,1.0,1.0,0.6625,0.65
0.25,1.0,1.0,11.851670022588223,synthetic_qk,4.0,0.25,1.0,0.0,20,0.4441666666666668,7.206461887108163e-05,4,0.08889288492500783,480.0,greedy_oracle,1.0,256.0,0.08970879167318344,20,0.5742647763341665,synthetic,1.0,1.0,0.7,0.65625
0.25,1.0,1.0,11.960390000604093,synthetic_qk,4.0,0.25,1.0,0.0,20,0.6308333333333332,3.525418942444958e-05,8,0.02914900523610413,480.0,greedy_oracle,1.0,512.0,0.030235916143283248,20,0.7767647981643677,synthetic,1.0,1.0,0.7875,0.775
0.25,0.1,0.1,11.623295000754297,synthetic_qk,4.0,0.025,0.1,0.0,20,0.19583333333333333,0.004420216777361929,1,0.1942085288465023,480.0,last,0.03333333333333333,64.0,0.2135325029492378,20,0.2660294386092573,synthetic,0.0,0.5,0.4375,0.56875
0.25,0.2,0.2,11.879185016732663,synthetic_qk,4.0,0.05,0.2,0.0,20,0.1966666666666666,0.003963384637609124,2,0.19596519693732262,480.0,last,0.06666666666666667,128.0,0.21302712336182594,20,0.26794120627455414,synthetic,0.0,0.525,0.45,0.56875
0.25,0.2,0.2,11.769764975178987,synthetic_qk,4.0,0.05,0.2,0.0,20,0.20833333333333334,0.0036768318619579076,4,0.1957251362502575,480.0,last,0.06666666666666667,256.0,0.21137836277484895,20,0.28602944515878337,synthetic,0.0,0.525,0.475,0.59375
0.25,0.25,0.25,11.968894954770803,synthetic_qk,4.0,0.0625,0.25,0.0,20,0.23833333333333334,0.003620946919545531,8,0.13252728581428527,480.0,last,0.08333333333333333,512.0,0.1547170240432024,20,0.32691181153059007,synthetic,0.0,0.525,0.4625,0.60625
0.25,0.95,0.95,1.1435499996878207,synthetic_qk,4.0,0.2375,0.95,0.0,20,0.40916666666666657,0.0030255244113504887,1,0.19535936638712884,480.0,mean,0.4416666666666666,64.0,0.20807560980319978,20,0.5619118385016918,synthetic,0.0,0.9,0.65,0.675
0.25,0.17,0.17,11.421950010117143,synthetic_qk,4.0,0.0425,0.17,0.0,20,0.11733333333333333,0.0044067876460030676,1,0.19647134222090246,480.0,random,0.08416666666666667,64.0,0.21534785002470017,100,0.16529413937591017,synthetic,0.04,0.5,0.39,0.52
0.25,0.27,0.27,11.768703013658524,synthetic_qk,4.0,0.0675,0.27,0.0,20,0.15883333333333335,0.0036623509507626296,2,0.19646666213870048,480.0,random,0.14583333333333334,128.0,0.21205100357532503,100,0.21923532126704232,synthetic,0.07,0.575,0.435,0.545
0.25,0.4,0.4,11.883147999178618,synthetic_qk,4.0,0.1,0.4,0.0,20,0.18766666666666662,0.003344349572435021,4,0.1958922539651394,480.0,random,0.18333333333333332,256.0,0.21003241643309592,100,0.2647647373471409,synthetic,0.03,0.625,0.47,0.56875
0.25,0.56,0.56,12.159092002548277,synthetic_qk,4.0,0.14,0.56,0.0,20,0.24300000000000005,0.002865458973683417,8,0.12991202421486378,480.0,random,0.32166666666666655,512.0,0.14735322259366512,100,0.3321470969170332,synthetic,0.14,0.715,0.5275,0.59875
0.08933341034341388,0.5,0.125,33.308081270661205,hotpotqa,0.9191825059162935,0.140625,0.1163690476190476,0.0,16,0.31545324615644527,0.11338796839118004,1,1.08725306391716,128.0,farthest,0.23958333333333331,802.0,1.17166568338871,16,0.442305953707546,test,0.3125,0.34375,0.328125,0.40625
0.08933341034341388,0.625,0.0625,34.997000024304725,hotpotqa,0.9191825059162935,0.15625,0.14226190476190476,0.0,16,0.3892170181911071,0.5506846643984318,2,1.6537978798151016,128.0,farthest,0.3072916666666667,1604.0,1.7779273316264153,16,0.534198397770524,test,0.4375,0.5625,0.734375,0.7734375
0.08933341034341388,0.5,0.0,36.40094379079528,hotpotqa,0.9191825059162935,0.125,0.12083333333333332,0.0,16,0.3554863450087644,0.09098474238999188,4,1.988200418651104,128.0,farthest,0.22916666666666669,3208.0,2.0337565392255783,16,0.4961177557706833,test,0.3125,0.34375,0.71875,0.7421875
