dataset,example_id,seed,report_semantics,expected_selection,actual_selection,selection_match,expected_evidence_recall,actual_evidence_recall,recall_delta
hotpotqa,5adc3aff5542996e685252eb,11,five_seed_metric_mean,38 12 35 32,38 12 35 32,True,0.25,0.25,0.0
hotpotqa,5adc3aff5542996e685252eb,23,five_seed_metric_mean,1 35 29 16,1 35 29 16,True,0.25,0.25,0.0
hotpotqa,5adc3aff5542996e685252eb,37,five_seed_metric_mean,0 35 38 24,0 35 38 24,True,0.25,0.25,0.0
hotpotqa,5adc3aff5542996e685252eb,53,five_seed_metric_mean,1 3 28 0,1 3 28 0,True,0.0,0.0,0.0
hotpotqa,5adc3aff5542996e685252eb,71,five_seed_metric_mean,0 32 16 38,0 32 16 38,True,0.5,0.5,0.0
hotpotqa,5ab56db7554299494045efc6,11,five_seed_metric_mean,2 1 8 0,2 1 8 0,True,0.75,0.75,0.0
hotpotqa,5ab56db7554299494045efc6,23,five_seed_metric_mean,20 28 29 25,20 28 29 25,True,0.25,0.25,0.0
hotpotqa,5ab56db7554299494045efc6,37,five_seed_metric_mean,28 20 19 15,28 20 19 15,True,0.0,0.0,0.0
hotpotqa,5ab56db7554299494045efc6,53,five_seed_metric_mean,20 5 25 26,20 5 25 26,True,0.25,0.25,0.0
hotpotqa,5ab56db7554299494045efc6,71,five_seed_metric_mean,8 20 19 18,8 20 19 18,True,0.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,11,five_seed_metric_mean,24 25 16 40,24 25 16 40,True,0.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,23,five_seed_metric_mean,26 25 27 29,26 25 27 29,True,0.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,37,five_seed_metric_mean,25 38 23 27,25 38 23 27,True,0.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,53,five_seed_metric_mean,8 25 29 22,8 25 29 22,True,0.0,0.0,0.0
hotpotqa,5ab2b863554299295394685a,71,five_seed_metric_mean,27 26 13 16,27 26 13 16,True,0.0,0.0,0.0
hotpotqa,5a710a915542994082a3e504,11,five_seed_metric_mean,0 4 8 16,0 4 8 16,True,0.0,0.0,0.0
