dataset,layer,representation,evidence_recall,chain_completion
2wikimultihopqa,0,embedding,0.15365079365079365,0.14
2wikimultihopqa,18,layer_18,0.17815079365079367,0.19
2wikimultihopqa,27,layer_27,0.1726825396825397,0.21
2wikimultihopqa,8,layer_8,0.1497222222222222,0.15
hotpotqa,0,embedding,0.10014880952380953,0.0625
hotpotqa,18,layer_18,0.06160714285714286,0.0625
hotpotqa,27,layer_27,0.06473214285714285,0.0625
hotpotqa,8,layer_8,0.11220238095238096,0.0625
musique,0,embedding,0.058569976865090606,0.07
musique,18,layer_18,0.07508984280290984,0.12
musique,27,layer_27,0.06710075193162082,0.12
musique,8,layer_8,0.06531774196772851,0.12
qasper,0,embedding,0.02924107142857143,0.1875
qasper,18,layer_18,0.3541105769230769,0.6875
qasper,27,layer_27,0.3503159340659341,0.8125
qasper,8,layer_8,0.34126717032967036,0.8125
