dataset,stride,evidence_recall,chain_completion,router_calls_per_token,mean_churn,recall_delta_vs_stride1
2wikimultihopqa,1,0.17308622853903466,0.16645408163265307,1.0,0.0,0.0
2wikimultihopqa,2,0.17278101716877228,0.16709183673469388,0.5465561224489796,0.0,-0.000305211370262376
2wikimultihopqa,4,0.16804239552964045,0.1639030612244898,0.3227040816326531,0.0,-0.005043833009394205
2wikimultihopqa,8,0.1582771501457726,0.14221938775510204,0.20790816326530612,0.0,-0.014809078393262065
hotpotqa,1,0.09821254014802401,0.1348973607038123,1.0,0.0,0.0
hotpotqa,2,0.09840804356933389,0.13196480938416422,0.5395894428152492,0.0,0.00019550342130987552
hotpotqa,4,0.0969906437648373,0.13196480938416422,0.2991202346041056,0.0,-0.0012218963831867047
hotpotqa,8,0.09581762323697808,0.13196480938416422,0.187683284457478,0.0,-0.00239491691104593
musique,1,0.059097423954817464,0.11550704865848113,1.0,0.0,0.0
musique,2,0.05942186015717907,0.11641655297862664,0.535243292405639,0.0,0.00032443620236160403
musique,4,0.056845964457572166,0.10959527057753524,0.30241018644838563,0.0,-0.002251459497245298
musique,8,0.05623797247074825,0.10732150977717145,0.18644838562983174,0.0,-0.0028594514840692142
qasper,1,0.27913966678482804,0.8451612903225807,1.0,0.0,0.0
qasper,2,0.2773946591043365,0.8387096774193549,0.5612903225806452,0.0,-0.0017450076804915171
qasper,4,0.26848812477844736,0.8,0.36129032258064514,0.0,-0.010651542006380688
qasper,8,0.2623342786246012,0.7741935483870968,0.25161290322580643,0.0,-0.016805388160226864
