dataset,split,example_id,anchor,condition,delay,look_ahead,router_call,routing_dots,churn,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,requested_chunks,normalized_entropy,top1_margin
hotpotqa,validation,5a8cefc155429941ae14df55,0,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.8187506198883057,0.2104663848876953
hotpotqa,validation,5a8cefc155429941ae14df55,1,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.809909462928772,0.31625938415527344
hotpotqa,validation,5a8cefc155429941ae14df55,2,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.774074912071228,0.477996826171875
hotpotqa,validation,5a8cefc155429941ae14df55,3,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7533950209617615,0.7411003112792969
hotpotqa,validation,5a8cefc155429941ae14df55,4,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.6956912279129028,0.8608989715576172
hotpotqa,validation,5a8cefc155429941ae14df55,5,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.6669551134109497,0.8428306579589844
hotpotqa,validation,5a8cefc155429941ae14df55,6,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.6932679414749146,0.8901309967041016
hotpotqa,validation,5a8cefc155429941ae14df55,7,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7333053946495056,0.6990375518798828
hotpotqa,validation,5a8cefc155429941ae14df55,8,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7247824668884277,0.7186393737792969
hotpotqa,validation,5a8cefc155429941ae14df55,9,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7384701371192932,0.6879615783691406
hotpotqa,validation,5a8cefc155429941ae14df55,10,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7621997594833374,0.6264686584472656
hotpotqa,validation,5a8cefc155429941ae14df55,11,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7339833974838257,0.7159767150878906
hotpotqa,validation,5a8cefc155429941ae14df55,12,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.6804878115653992,0.7707901000976562
hotpotqa,validation,5a8cefc155429941ae14df55,13,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.6750562191009521,0.7287578582763672
hotpotqa,validation,5a8cefc155429941ae14df55,14,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7463018298149109,0.7478160858154297
hotpotqa,validation,5a8cefc155429941ae14df55,15,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.8546033501625061,0.6085605621337891
hotpotqa,validation,5a8cefc155429941ae14df55,16,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.8109099864959717,0.3285999298095703
hotpotqa,validation,5a8cefc155429941ae14df55,17,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7237270474433899,0.47138023376464844
hotpotqa,validation,5a8cefc155429941ae14df55,18,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7294082641601562,0.5990371704101562
hotpotqa,validation,5a8cefc155429941ae14df55,19,immediate,0,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.7045360803604126,0.5070877075195312
hotpotqa,validation,5a8cefc155429941ae14df55,0,fixed_delay_1,1,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,nan,nan
hotpotqa,validation,5a8cefc155429941ae14df55,0,known_future_1,0,1,1,92160,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,nan,nan
hotpotqa,validation,5a8cefc155429941ae14df55,1,fixed_delay_1,1,0,1,61440,0.0,0.8,1.0,1.0,1.0,0.0,1.0,4.0,nan,nan
