dataset,condition,rows,identities,seeds,em,f1,answer_containment,eos_rate,hit_max_rate,terminal_punctuation_rate,mean_generated_tokens,yes_no_format_rate,polarity_accuracy,mean_gold_polarity_margin
hotpotqa,native_direct_evidence,8,8,0,0.125,0.3703631815044859,0.875,0.875,0.125,0.875,20.625,,,
hotpotqa,native_full_context,8,8,0,0.25,0.43221834023464456,0.875,0.75,0.25,0.75,22.125,,,
hotpotqa,native_no_context,8,8,0,0.0,0.05317599067599067,0.125,0.875,0.125,0.875,20.875,,,
hotpotqa,pra_oracle_frozen,8,8,1,0.0,0.10055916305916306,0.125,0.875,0.125,0.875,20.25,,,
hotpotqa,pra_routed_combo,40,8,5,0.0,0.03231635755548799,0.15,0.025,0.975,0.0,31.925,,,
hotpotqa,pra_routed_frozen,8,8,1,0.0,0.05805605070310953,0.25,0.75,0.25,0.75,21.5,,,
hotpotqa,pra_routed_lora_r32,40,8,5,0.0,0.03030108454135914,0.125,0.0,1.0,0.05,32.0,,,
hotpotqa,pra_routed_residual_16,40,8,5,0.0,0.04090686274509804,0.125,0.9,0.1,0.675,18.6,,,
qasper,native_direct_evidence,8,8,0,0.0,0.04700854700854701,0.25,0.875,0.125,0.875,18.25,1.0,0.25,-1.851393923163414
qasper,native_no_context,8,8,0,0.0,0.07361111111111111,0.375,1.0,0.0,1.0,12.5,1.0,0.375,-0.5701629221439362
qasper,pra_oracle_frozen,8,8,1,0.0,0.06086425262442093,0.625,0.625,0.375,0.625,20.625,1.0,0.625,0.2604065239429474
qasper,pra_polarity_calibrated,8,8,1,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,-0.07823564112186432
qasper,pra_polarity_constrained,8,8,1,0.25,0.25,0.25,0.0,0.0,0.0,1.0,1.0,0.25,-0.07823564112186432
qasper,pra_routed_combo,40,8,5,0.0,0.09697864649436658,0.6,0.675,0.325,0.475,20.225,0.85,0.525,0.5666333019733429
qasper,pra_routed_frozen,8,8,1,0.0,0.0483974358974359,0.5,0.875,0.125,0.875,16.75,1.0,0.25,-0.07823564112186432
qasper,pra_routed_lora_r32,40,8,5,0.0,0.05484264117415073,0.55,0.025,0.975,0.075,31.55,0.875,0.55,0.5354477822780609
qasper,pra_routed_residual_16,40,8,5,0.0,0.15243284493284492,0.825,0.95,0.05,0.95,13.0,1.0,0.725,0.24268878549337386
qasper,pra_routed_residual_16_qasper_trained,40,8,5,0.5,0.5111111111111111,0.55,1.0,0.0,1.0,3.4,1.0,0.55,0.14348860681056977
qasper,pra_router_confidence_gate,8,8,1,0.0,0.0483974358974359,0.5,0.875,0.125,0.875,16.75,1.0,0.25,-0.07823564112186432
