dataset,condition,correct,no_displacement,topic_or_relation_near_miss,wrong_related_entity,polarity_inversion,prompt_repetition,truncation,unrelated,rows
hotpotqa,native_direct_evidence,7,0,0,0,0,0,1,0,8
hotpotqa,native_full_context,7,0,1,0,0,0,0,0,8
hotpotqa,native_no_context,1,7,0,0,0,0,0,0,8
hotpotqa,pra_oracle_frozen,1,1,2,1,0,2,1,0,8
hotpotqa,pra_routed_combo,6,0,0,0,0,0,33,1,40
hotpotqa,pra_routed_frozen,2,2,0,0,0,1,2,1,8
hotpotqa,pra_routed_lora_r32,5,0,0,0,0,0,35,0,40
hotpotqa,pra_routed_residual_16,5,5,17,1,0,5,3,4,40
qasper,native_direct_evidence,2,0,0,0,6,0,0,0,8
qasper,native_no_context,3,0,0,0,5,0,0,0,8
qasper,pra_oracle_frozen,5,0,0,0,3,0,0,0,8
qasper,pra_polarity_calibrated,4,0,0,0,4,0,0,0,8
qasper,pra_polarity_constrained,2,0,0,0,6,0,0,0,8
qasper,pra_routed_combo,24,0,1,0,10,1,3,1,40
qasper,pra_routed_frozen,4,0,0,0,4,0,0,0,8
qasper,pra_routed_lora_r32,22,0,0,0,13,0,5,0,40
qasper,pra_routed_residual_16,33,0,0,0,7,0,0,0,40
qasper,pra_routed_residual_16_qasper_trained,22,0,0,0,18,0,0,0,40
qasper,pra_router_confidence_gate,4,0,0,0,4,0,0,0,8
