variant,dataset,condition,seeds,examples_per_seed,gold_mean_token_logprob_mean,gold_mean_token_logprob_std,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_std,gold_first_token_rank_mean,gold_first_token_rank_std,gold_first_token_rank_delta_vs_none_mean,gold_first_token_rank_delta_vs_none_std,gold_first_token_margin_mean,gold_first_token_margin_std,gold_first_token_margin_delta_vs_none_mean,gold_first_token_margin_delta_vs_none_std,f1_mean,f1_std,em_mean,em_std,answer_contained_mean,answer_contained_std,teacher_forced_seconds_mean,teacher_forced_seconds_std,generation_seconds_mean,generation_seconds_std,active_memory_tokens_mean,active_memory_tokens_std,trainable_parameter_count_mean,trainable_parameter_count_std,trainable_parameter_percent_mean,trainable_parameter_percent_std,trainable_memory_bytes_fp32_mean,trainable_memory_bytes_fp32_std
fixed,hotpotqa,direct_text,5,4,-3.368145540356636,0.0,4.6346713453531265,0.0,318.5,0.0,-568.25,0.0,-7.578125,0.0,4.23828125,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.2657919400051469,0.0038785054862292266,0.7973102349991678,0.03828371780757694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.15747611499682534,0.0008309498369708357,0.8576764700002968,0.19267445511943357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,oracle,5,4,-6.999312579631805,0.0,1.0035043060779572,0.0,236.75,0.0,-650.0,0.0,-10.423828125,0.0,1.392578125,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.1657705599995097,0.004515144245429894,0.809991755001829,0.06574299636280326,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,routed,5,4,-7.892500400543213,0.0,0.11031648516654968,0.0,440.5,0.0,-446.25,0.0,-11.712890625,0.0,0.103515625,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.1649269550020108,0.002169415659580999,0.7989852500060806,0.05617876043368413,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,direct_text,5,4,-8.971986055374146,0.0,-1.791483998298645,0.0,21.5,0.0,10.5,0.0,-8.513671875,0.0,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078575300023658,0.005606999988729504,1.0900375999975949,0.05782671721229876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.14851083499961532,0.0009377981177189561,0.8058421849971638,0.04993687381931405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,oracle,5,4,-7.341205358505249,0.0,-0.16070330142974854,0.0,10.5,0.0,-0.5,0.0,-6.80078125,0.0,-0.02734375,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.15834206499566789,0.00235953389019891,0.8917591499950503,0.05598856108987842,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,routed,5,4,-7.6368184089660645,0.0,-0.45631635189056396,0.0,14.75,0.0,3.75,0.0,-7.125,0.0,-0.3515625,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.15656725999724586,0.002118844037718667,0.874693945000763,0.04882040353669877,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_o_r2,hotpotqa,direct_text,5,4,-3.368145540356636,0.0,4.6346713453531265,0.0,318.5,0.0,-568.25,0.0,-7.578125,0.0,4.23828125,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.2760409550042823,0.021709518506470026,0.8470545249962015,0.06892169113755334,0.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r2,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.15816090000153055,0.0016581537613783838,0.787818884983426,0.06103986113949757,0.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r2,hotpotqa,oracle,5,4,-6.208515340089798,0.11124629602845681,1.7943015456199647,0.11124629602845681,176.4,13.421624342828254,-710.35,13.421624342828254,-8.14453125,0.3238702946758741,3.671875,0.3238702946758741,0.022222222222222223,0.02721655269759087,0.0,0.0,0.0,0.0,0.16983990000153426,0.003545368847566947,0.8620828050043201,0.05242060653336746,449.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r2,hotpotqa,routed,5,4,-7.1139855802059175,0.11105812795244621,0.8888313055038453,0.11105812795244621,397.15,20.984875505944753,-489.6,20.984875505944753,-9.477734375,0.3280263988757231,2.338671875,0.3280263988757231,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16751512000337243,0.0022107654836036835,0.8936807950056391,0.07670250714934454,384.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r2,qasper,direct_text,5,4,-8.971986055374146,0.0,-1.791483998298645,0.0,21.5,0.0,10.5,0.0,-8.513671875,0.0,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5109018249961081,0.006136339689438326,1.1205037900042953,0.07733783497856023,0.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r2,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.15000845499744173,0.002111909903359634,0.8201755800109822,0.05835418177006687,0.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r2,qasper,oracle,5,4,-6.485398435592652,0.08051141330076994,0.6951036214828491,0.08051141330076994,9.3,0.18708286933869708,-1.7,0.18708286933869708,-5.997265625,0.0935593765134941,0.776171875,0.0935593765134941,0.125,0.0,0.0,0.0,0.5,0.0,0.16201350000628736,0.002807233455099077,0.9078508950071409,0.05220711223827401,960.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r2,qasper,routed,5,4,-6.675411200523376,0.08209956816273387,0.505090856552124,0.08209956816273387,13.7,0.29154759474226505,2.7,0.29154759474226505,-6.187109375,0.10005949158110264,0.586328125,0.10005949158110264,0.125,0.0,0.0,0.0,0.5,0.0,0.15760583500377834,0.0018588888840507464,0.9037949750054395,0.07775834987902198,384.0,0.0,24576.0,0.0,0.004123144584936778,0.0,98304.0,0.0
lora_o_r4,hotpotqa,direct_text,5,4,-3.368145540356636,0.0,4.6346713453531265,0.0,318.5,0.0,-568.25,0.0,-7.578125,0.0,4.23828125,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.26837163502059413,0.004909274828358617,0.8394711249973625,0.05297730843257015,0.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
lora_o_r4,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.15813137000368443,0.001515942019633475,0.8236646050063428,0.06979355829457926,0.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
