seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
11,fixed,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2596730499935802,0.7408096500148531,0.0,0.0,0.0,0.0
11,fixed,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15661017499223817,1.2377035999961663,0.0,0.0,0.0,0.0
11,fixed,hotpotqa,oracle,4,-6.999312579631805,1.0035043060779572,236.75,-650.0,-10.423828125,1.392578125,0.05555555555555556,0.0,0.0,0.16213589999824762,0.7306418749940349,449.0,0.0,0.0,0.0
11,fixed,hotpotqa,routed,4,-7.892500400543213,0.11031648516654968,440.5,-446.25,-11.712890625,0.103515625,0.05555555555555556,0.0,0.0,0.16134160000365227,0.7316808250179747,384.0,0.0,0.0,0.0
11,fixed,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5033345750125591,1.0057814250030788,0.0,0.0,0.0,0.0
11,fixed,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.147132199985208,0.716553024991299,0.0,0.0,0.0,0.0
11,fixed,qasper,oracle,4,-7.341205358505249,-0.16070330142974854,10.5,-0.5,-6.80078125,-0.02734375,0.125,0.0,0.5,0.1547481999878073,0.7961566249869065,960.0,0.0,0.0,0.0
11,fixed,qasper,routed,4,-7.6368184089660645,-0.45631635189056396,14.75,3.75,-7.125,-0.3515625,0.125,0.0,0.5,0.15421972499461845,0.8266981499909889,384.0,0.0,0.0,0.0
11,lora_o_r2,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.31915089998801704,0.7618222749879351,0.0,24576.0,0.004123144584936778,98304.0
11,lora_o_r2,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15618142501625698,0.6856374249910004,0.0,24576.0,0.004123144584936778,98304.0
