variant,dataset,condition,seeds,examples_per_seed,gold_mean_token_logprob_mean,gold_mean_token_logprob_std,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_std,gold_first_token_rank_mean,gold_first_token_rank_std,gold_first_token_rank_delta_vs_none_mean,gold_first_token_rank_delta_vs_none_std,gold_first_token_margin_mean,gold_first_token_margin_std,gold_first_token_margin_delta_vs_none_mean,gold_first_token_margin_delta_vs_none_std,no_pra_gold_logprob_delta_vs_frozen_mean,no_pra_gold_logprob_delta_vs_frozen_std,no_pra_first_token_rank_delta_vs_frozen_mean,no_pra_first_token_rank_delta_vs_frozen_std,no_pra_first_token_margin_delta_vs_frozen_mean,no_pra_first_token_margin_delta_vs_frozen_std,f1_mean,f1_std,em_mean,em_std,answer_contained_mean,answer_contained_std,teacher_forced_seconds_mean,teacher_forced_seconds_std,generation_seconds_mean,generation_seconds_std,active_memory_tokens_mean,active_memory_tokens_std,trainable_parameter_count_mean,trainable_parameter_count_std,trainable_parameter_percent_mean,trainable_parameter_percent_std,trainable_memory_bytes_mean,trainable_memory_bytes_std,trainable_memory_bytes_fp32_mean,trainable_memory_bytes_fp32_std
final_norm_lm_head,hotpotqa,direct_text,5,4,-3.3411813944578173,0.03508702184105868,4.608901658654213,0.02095847217734121,318.75,0.15811388300841897,-570.0,0.4472135954999579,-7.49609375,0.09732757188998398,4.0921875,0.19532187477501078,0.052733832597732545,0.04104733683651797,2.0,0.31622776601683794,0.228125,0.27515753655292635,0.19166666666666665,0.05443310539518174,0.0,0.0,0.25,0.0,0.26672540500585457,0.003831923850442189,0.7868488800013438,0.005991414127377082,0.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
final_norm_lm_head,hotpotqa,none,5,4,-7.95008305311203,0.04104733683651797,0.0,0.0,888.75,0.31622776601683794,0.0,0.0,-11.58828125,0.27515753655292635,0.0,0.0,0.052733832597732545,0.04104733683651797,2.0,0.31622776601683794,0.228125,0.27515753655292635,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.1570024999906309,0.0006242904660813521,0.6726572400075383,0.018632858724608087,0.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
final_norm_lm_head,hotpotqa,oracle,5,4,-6.987743306159973,0.040269169045978694,0.9623397469520569,0.03618162292391244,239.3,0.29154759474226505,-649.45,0.1,-10.196484375,0.24441266094072336,1.391796875,0.18662556513645176,0.052733832597732545,0.04104733683651797,2.0,0.31622776601683794,0.228125,0.27515753655292635,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.1631883649941301,0.0005522806148813711,0.7274090100050671,0.015752309876485314,449.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
final_norm_lm_head,hotpotqa,routed,5,4,-7.859893703460694,0.03385136827734879,0.09018934965133667,0.025828849933955685,444.0,0.6123724356957945,-444.75,0.4183300132670378,-11.514453125,0.18480154579473895,0.073828125,0.12506346045358332,0.052733832597732545,0.04104733683651797,2.0,0.31622776601683794,0.228125,0.27515753655292635,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.1631118949939264,0.001183040357868548,0.7316093249974074,0.012981531896338095,384.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
final_norm_lm_head,qasper,direct_text,5,4,-8.718190956115723,0.3291906888002094,-1.6512375116348266,0.2621160294809963,21.1,0.2,10.2,0.29154759474226505,-8.231640625,0.43347337856190776,-1.532421875,0.43347337856190776,0.1135486125946045,0.06930531167230988,-0.1,0.25495097567963926,0.07421875,0.0,0.0375,0.030618621784789725,0.0,0.0,0.15,0.1224744871391589,0.5116562550014351,0.0071188738884646035,1.02475857999234,0.018238444314435474,0.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
final_norm_lm_head,qasper,none,5,4,-7.066953444480896,0.06930531167230988,0.0,0.0,10.9,0.25495097567963926,0.0,0.0,-6.69921875,0.0,0.0,0.0,0.1135486125946045,0.06930531167230988,-0.1,0.25495097567963926,0.07421875,0.0,0.1875,0.0,0.0,0.0,0.75,0.0,0.14812611500383355,0.000767285588621913,0.7213216650096002,0.008045880189300317,0.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
final_norm_lm_head,qasper,oracle,5,4,-7.157495999336243,0.0745317349319145,-0.09054255485534668,0.007758390922879502,10.05,0.18708286933869708,-0.85,0.1224744871391589,-6.71875,0.0024705294220065464,-0.01953125,0.0024705294220065464,0.1135486125946045,0.06930531167230988,-0.1,0.25495097567963926,0.07421875,0.0,0.175,0.025,0.0,0.0,0.7,0.1,0.15684798999573105,0.0015866228674691276,0.8186960350023582,0.038168731773864095,960.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
final_norm_lm_head,qasper,routed,5,4,-7.454789876937866,0.06320848161413241,-0.3878364324569702,0.009304485028516963,14.7,0.29154759474226505,3.8,0.5099019513592785,-7.0078125,0.03351189154613628,-0.30859375,0.03351189154613628,0.1135486125946045,0.06930531167230988,-0.1,0.25495097567963926,0.07421875,0.0,0.15,0.030618621784789725,0.0,0.0,0.6,0.1224744871391589,0.15422554000106176,0.0009502891453996525,0.7742567300156225,0.01285272553499304,384.0,0.0,155583488.0,0.0,26.10242578339747,0.0,311166976.0,0.0,622333952.0,0.0
fixed,hotpotqa,direct_text,5,4,-3.368145540356636,0.0,4.6346713453531265,0.0,318.5,0.0,-568.25,0.0,-7.578125,0.0,4.23828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.2640916200005449,0.002938384196143351,0.7527509799983818,0.00910780466688887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.15761061499651988,0.0016210034445385015,0.6873317400022643,0.003418746891433304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,oracle,5,4,-6.999312579631805,0.0,1.0035043060779572,0.0,236.75,0.0,-650.0,0.0,-10.423828125,0.0,1.392578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16346833000425248,0.0009221905547422092,0.7426341400045203,0.007719230659141308,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,hotpotqa,routed,5,4,-7.892500400543213,0.0,0.11031648516654968,0.0,440.5,0.0,-446.25,0.0,-11.712890625,0.0,0.103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16336643499671483,0.0009267649983498188,0.7513102800061461,0.012212367263061297,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,direct_text,5,4,-8.971986055374146,0.0,-1.791483998298645,0.0,21.5,0.0,10.5,0.0,-8.513671875,0.0,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088803350081434,0.005471910951992955,1.0183622350014048,0.007745233956223226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.1473582450009417,0.00024805108061544027,0.7196460349950939,0.0059741125244982506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,oracle,5,4,-7.341205358505249,0.0,-0.16070330142974854,0.0,10.5,0.0,-0.5,0.0,-6.80078125,0.0,-0.02734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.1559409349982161,0.0008223638271044274,0.794064184994204,0.00757652430852742,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,qasper,routed,5,4,-7.6368184089660645,0.0,-0.45631635189056396,0.0,14.75,0.0,3.75,0.0,-7.125,0.0,-0.3515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.1535000250005396,0.000785566886971566,0.7771506499993848,0.008151351444564687,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lm_head,hotpotqa,direct_text,5,4,-3.341789701581001,0.0359025364560581,4.609404918551445,0.020980272755720474,318.75,0.15811388300841897,-570.2,0.4847679857416329,-7.49765625,0.09966986521135664,4.09375,0.1968222895707572,0.051622265577316286,0.04237713355574692,2.2,0.3674234614174767,0.225,0.2789467320060857,0.19166666666666665,0.05443310539518174,0.0,0.0,0.25,0.0,0.2649802600033581,0.0033219224763999826,0.7891792899987194,0.011686550974752482,0.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head,hotpotqa,none,5,4,-7.951194620132446,0.04237713355574692,0.0,0.0,888.95,0.3674234614174767,0.0,0.0,-11.59140625,0.2789467320060857,0.0,0.0,0.051622265577316286,0.04237713355574692,2.2,0.3674234614174767,0.225,0.2789467320060857,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.15663124999555295,0.0010008231339365722,0.6830136199976551,0.02536912948228426,0.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head,hotpotqa,oracle,5,4,-6.988447511196137,0.04073082592361478,0.9627471089363098,0.036541545969949345,239.3,0.29154759474226505,-649.65,0.1224744871391589,-10.198828125,0.24777574995472215,1.392578125,0.18712527659465197,0.051622265577316286,0.04237713355574692,2.2,0.3674234614174767,0.225,0.2789467320060857,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16300432999851183,0.0006098955503633153,0.7256367549998686,0.016923753190104498,449.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head,hotpotqa,routed,5,4,-7.860747611522674,0.034502799140628,0.09044700860977173,0.025892449692709686,444.0,0.6123724356957945,-444.95,0.3674234614174767,-11.516796875,0.1892722235547916,0.074609375,0.12400974949071544,0.051622265577316286,0.04237713355574692,2.2,0.3674234614174767,0.225,0.2789467320060857,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16364202000841033,0.0008864080021383745,0.7250810350029496,0.01576226737211671,384.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head,qasper,direct_text,5,4,-8.721407532691956,0.3330713284132489,-1.6528581857681275,0.2642368099709274,21.1,0.2,10.2,0.29154759474226505,-8.237109375,0.43968761105186943,-1.537890625,0.43968761105186943,0.11195271015167237,0.07104663191799117,-0.1,0.25495097567963926,0.07421875,0.0,0.0375,0.030618621784789725,0.0,0.0,0.15,0.1224744871391589,0.5122887000034098,0.006914278463373251,1.0141469399881315,0.011197050343669343,0.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head,qasper,none,5,4,-7.068549346923828,0.07104663191799117,0.0,0.0,10.9,0.25495097567963926,0.0,0.0,-6.69921875,0.0,0.0,0.0,0.11195271015167237,0.07104663191799117,-0.1,0.25495097567963926,0.07421875,0.0,0.1875,0.0,0.0,0.0,0.75,0.0,0.1481060349935433,0.0010377032147176604,0.7201186300051632,0.011742147463604809,0.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head,qasper,oracle,5,4,-7.1594257116317745,0.07640945083842551,-0.09087636470794677,0.0075906169464843,10.05,0.18708286933869708,-0.85,0.1224744871391589,-6.71875,0.0024705294220065464,-0.01953125,0.0024705294220065464,0.11195271015167237,0.07104663191799117,-0.1,0.25495097567963926,0.07421875,0.0,0.175,0.025,0.0,0.0,0.7,0.1,0.15623468500270973,0.0010789739935294959,0.7891111549979541,0.010858682141917422,960.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head,qasper,routed,5,4,-7.456664633750916,0.06485917909729552,-0.3881152868270874,0.008449526014048754,14.7,0.29154759474226505,3.8,0.5099019513592785,-7.0078125,0.03351189154613628,-0.30859375,0.03351189154613628,0.11195271015167237,0.07104663191799117,-0.1,0.25495097567963926,0.07421875,0.0,0.15,0.030618621784789725,0.0,0.0,0.6,0.1224744871391589,0.153876849997323,0.0006604582583460453,0.7783346200012602,0.006400311048195163,384.0,0.0,155582464.0,0.0,26.102253985706433,0.0,311164928.0,0.0,622329856.0,0.0
lm_head_lora_r8,hotpotqa,direct_text,5,4,-3.3394960433244707,0.03047201702195345,4.577256259322167,0.020218126662766987,307.35,14.846380030162235,-764.45,44.101417210788135,-7.4501749038696286,0.10609191201747979,3.9050716400146483,0.11516052954953573,0.08606458306312562,0.043956690655496865,185.05,31.565170679088684,0.46115970611572266,0.15984117870825235,0.29166666666666663,0.0,0.0,0.0,0.25,0.0,0.2876909400045406,0.005574619181703692,0.7244491550023667,0.007277704622658479,0.0,0.0,1223680.0,0.0,0.20529824079164377,0.0,4894720.0,0.0,4894720.0,0.0
