method,dataset,trainable_parameter_count,routed_logprob_delta_mean,routed_logprob_delta_std,routed_f1_mean,routed_f1_std,no_pra_qa_logprob_delta_mean,no_pra_qa_logprob_delta_std,wikitext_loss_delta_mean,wikitext_loss_delta_std
frozen,hotpotqa,0.0,0.11031648516654968,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0
frozen,qasper,0.0,-0.45631635189056396,0.0,0.125,0.0,0.0,0.0,0.0,0.0
memory_gate,hotpotqa,1.0,-0.18711069226264954,0.006647650479589353,0.05555555555555556,0.0,0.0,0.0,0.0,0.0
memory_gate,qasper,1.0,-0.6625438451766967,0.003657901054271729,0.0625,0.0,0.0,0.0,0.0,0.0
residual_32,hotpotqa,393344.0,1.2097954630851746,0.24830757052585162,0.06285714285714286,0.03331972511340172,0.0,0.0,0.0,0.0
residual_32,qasper,393344.0,0.8371215343475342,0.24129353342845633,0.0125,0.025,0.0,0.0,0.0,0.0
late_o_lora_r8,hotpotqa,98304.0,1.8463867604732513,0.08752380037513466,0.07142857142857144,0.0,0.0,0.0,0.0,0.0
late_o_lora_r8,qasper,98304.0,1.48730309009552,0.062132571320529136,0.0625,0.0,0.0,0.0,0.0,0.0
head_lora_r8,hotpotqa,1223680.0,0.1043324589729309,0.008724000183249305,0.05555555555555556,0.0,0.08606458306312562,0.043956690655496865,0.016072005033493042,0.0070671315155545296
head_lora_r8,qasper,1223680.0,-0.48793754577636717,0.011366462381905912,0.125,0.0,0.791170883178711,0.19696697227134308,0.016072005033493042,0.0070671315155545296
lm_head,hotpotqa,155582464.0,0.09044700860977173,0.025892449692709686,0.05555555555555556,0.0,0.051622265577316286,0.04237713355574692,0.09377542734146119,0.0068994279596624715
lm_head,qasper,155582464.0,-0.3881152868270874,0.008449526014048754,0.15,0.030618621784789725,0.11195271015167237,0.07104663191799117,0.09377542734146119,0.0068994279596624715
norm_lm_head,hotpotqa,155583488.0,0.09018934965133667,0.025828849933955685,0.05555555555555556,0.0,0.052733832597732545,0.04104733683651797,0.09383372068405152,0.006886455840964167
norm_lm_head,qasper,155583488.0,-0.3878364324569702,0.009304485028516963,0.15,0.030618621784789725,0.1135486125946045,0.06930531167230988,0.09383372068405152,0.006886455840964167
