condition,dataset,evidence_attention_mass,examples,layer,local_attention_mass,memory_attention_mass
oracle_early_4,hotpotqa,0.2670864090323448,4,0,0.5910108461976051,0.40898915380239487
oracle_early_4,hotpotqa,0.2843719981610775,4,1,0.5434188470244408,0.45658115297555923
oracle_early_4,hotpotqa,0.20173965767025948,4,2,0.6871500164270401,0.3128499835729599
oracle_early_4,hotpotqa,0.40846845507621765,4,3,0.16912394762039185,0.8308760523796082
oracle_even_4,hotpotqa,0.2670864090323448,4,0,0.5910108461976051,0.40898915380239487
oracle_even_4,hotpotqa,0.37155476212501526,4,9,0.14441581070423126,0.8555841892957687
oracle_even_4,hotpotqa,0.22222238802351058,4,18,0.3497627079486847,0.6502372920513153
oracle_even_4,hotpotqa,0.3794891145080328,4,27,0.09854689240455627,0.9014531075954437
oracle_every_4,hotpotqa,0.2670864090323448,4,0,0.5910108461976051,0.40898915380239487
oracle_every_4,hotpotqa,0.5447816252708435,4,4,0.07320404052734375,0.9267959594726562
oracle_every_4,hotpotqa,0.3649907091166824,4,8,0.07624121010303497,0.923758789896965
oracle_every_4,hotpotqa,0.3512554233893752,4,12,0.0981539785861969,0.9018460214138031
oracle_every_4,hotpotqa,0.3117817481979728,4,16,0.20370611548423767,0.7962938845157623
oracle_every_4,hotpotqa,0.3385794119676575,4,20,0.09408862888813019,0.9059113711118698
oracle_every_4,hotpotqa,0.3632730970130069,4,24,0.024737536907196045,0.975262463092804
oracle_last_4,hotpotqa,0.21180666983127594,4,24,0.43760399520397186,0.5623960047960281
oracle_last_4,hotpotqa,0.21020912192761898,4,25,0.4456784427165985,0.5543215572834015
oracle_last_4,hotpotqa,0.2160666584968567,4,26,0.45226141065359116,0.5477385893464088
oracle_last_4,hotpotqa,0.2565267086029053,4,27,0.38734613358974457,0.6126538664102554
oracle_last_quarter,hotpotqa,0.22023899387568235,4,21,0.4387812614440918,0.5612187385559082
oracle_last_quarter,hotpotqa,0.21979240514338017,4,22,0.43243640661239624,0.5675635933876038
oracle_last_quarter,hotpotqa,0.20151840755715966,4,23,0.4535152018070221,0.5464847981929779
oracle_last_quarter,hotpotqa,0.20699299219995737,4,24,0.44965268671512604,0.550347313284874
oracle_last_quarter,hotpotqa,0.20788938272744417,4,25,0.45434916764497757,0.5456508323550224
oracle_last_quarter,hotpotqa,0.21370253153145313,4,26,0.4613363444805145,0.5386636555194855
oracle_last_quarter,hotpotqa,0.257146829739213,4,27,0.3864261507987976,0.6135738492012024
oracle_middle_4,hotpotqa,0.24972966313362122,4,12,0.45634517073631287,0.5436548292636871
oracle_middle_4,hotpotqa,0.22549493238329887,4,13,0.5241164714097977,0.47588352859020233
oracle_middle_4,hotpotqa,0.1897438634186983,4,14,0.5675318688154221,0.43246813118457794
oracle_middle_4,hotpotqa,0.24820967763662338,4,15,0.4558357745409012,0.5441642254590988
oracle_early_4,qasper,0.49176373332738876,4,0,0.4371725469827652,0.5628274530172348
oracle_early_4,qasper,0.33847976103425026,4,1,0.6272412165999413,0.37275878340005875
oracle_early_4,qasper,0.4213557243347168,4,2,0.5487977564334869,0.45120224356651306
oracle_early_4,qasper,0.6849988102912903,4,3,0.21807999908924103,0.781920000910759
oracle_even_4,qasper,0.49176373332738876,4,0,0.4371725469827652,0.5628274530172348
oracle_even_4,qasper,0.8605929315090179,4,9,0.13233429193496704,0.867665708065033
oracle_even_4,qasper,0.6265081763267517,4,18,0.373208686709404,0.626791313290596
oracle_even_4,qasper,0.8976891189813614,4,27,0.09786221385002136,0.9021377861499786
oracle_every_4,qasper,0.49176373332738876,4,0,0.4371725469827652,0.5628274530172348
oracle_every_4,qasper,0.7977403402328491,4,4,0.07654722034931183,0.9234527796506882
oracle_every_4,qasper,0.950464054942131,4,8,0.046374037861824036,0.953625962138176
oracle_every_4,qasper,0.8820649087429047,4,12,0.11045168340206146,0.8895483165979385
oracle_every_4,qasper,0.8219370692968369,4,16,0.17686675488948822,0.8231332451105118
oracle_every_4,qasper,0.9355124533176422,4,20,0.06354007124900818,0.9364599287509918
oracle_every_4,qasper,0.9880165159702301,4,24,0.011814981698989868,0.9881850183010101
oracle_last_4,qasper,0.5971973091363907,4,24,0.3773186504840851,0.6226813495159149
oracle_last_4,qasper,0.5950695127248764,4,25,0.3820839375257492,0.6179160624742508
oracle_last_4,qasper,0.616994209587574,4,26,0.35572822391986847,0.6442717760801315
oracle_last_4,qasper,0.6507973670959473,4,27,0.34098370373249054,0.6590162962675095
oracle_last_quarter,qasper,0.610068678855896,4,21,0.37343814969062805,0.626561850309372
oracle_last_quarter,qasper,0.6397118121385574,4,22,0.34252119064331055,0.6574788093566895
oracle_last_quarter,qasper,0.5970240533351898,4,23,0.3839671388268471,0.6160328611731529
oracle_last_quarter,qasper,0.5759124308824539,4,24,0.4016636312007904,0.5983363687992096
oracle_last_quarter,qasper,0.5685331523418427,4,25,0.4091843068599701,0.5908156931400299
oracle_last_quarter,qasper,0.5960879772901535,4,26,0.37694504857063293,0.6230549514293671
oracle_last_quarter,qasper,0.644351527094841,4,27,0.3473772555589676,0.6526227444410324
oracle_middle_4,qasper,0.5299537628889084,4,12,0.4498274028301239,0.5501725971698761
oracle_middle_4,qasper,0.47677938640117645,4,13,0.5098126903176308,0.49018730968236923
oracle_middle_4,qasper,0.4944867044687271,4,14,0.4897057116031647,0.5102942883968353
oracle_middle_4,qasper,0.5349799692630768,4,15,0.42469651997089386,0.5753034800291061
