dataset,condition,examples,gold_sequence_logprob,gold_mean_token_logprob,gold_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none,gold_first_token_probability,gold_first_token_rank,memory_attention_mass,evidence_attention_mass,direct_context_attention_mass,f1,em,answer_contained,active_memory_kv_tokens,evidence_parent_chunks,evidence_guaranteed,chunks_budget_rejected,native_limit_violations,teacher_forced_seconds,generation_seconds
combined,no_memory,8,-14.915335178375244,-7.5916594713926315,0.0,0.0,0.0008289865675084373,448.875,,,,0.09027777777777778,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.14769963750222814,0.737379387494002
combined,learned_router,8,-15.141796290874481,-7.816648796200752,-0.22646111249923706,-0.22498932480812073,0.0006553993226498765,359.0,0.48886141180992126,0.06827624683501199,,0.09027777777777778,0.0,0.25,96.0,5.625,0.0,0.0,0.0,0.1612197249996825,0.755418525004643
combined,oracle_last_1,8,-14.909414410591125,-7.601427897810936,0.005920767784118652,-0.009768426418304443,0.0007925787763188568,355.75,0.6292463019490242,0.44894271111115813,,0.09027777777777778,0.0,0.25,176.125,5.625,1.0,0.0,0.0,0.15104211250582011,0.7087320250029734
combined,oracle_last_2,8,-14.769602417945862,-7.547328069806099,0.14573276042938232,0.04433140158653259,0.0007012232812466657,246.75,0.6192958801984787,0.43786162277683616,,0.09027777777777778,0.0,0.25,352.25,5.625,1.0,0.0,0.0,0.1545956500012835,0.729856474994449
combined,oracle_last_4,8,-13.715051651000977,-7.170258969068527,1.2002835273742676,0.4214005023241043,0.001086453482795957,123.625,0.6026244377717376,0.41933344467543066,,0.09027777777777778,0.0,0.25,704.5,5.625,1.0,0.0,0.0,0.1624152249933104,0.7758663625063491
combined,oracle_early_late,8,-15.504748702049255,-7.774486809968948,-0.5894135236740112,-0.18282733857631683,0.001704951731458973,466.125,0.5755835436284542,0.4085983110126108,,0.059027777777777776,0.0,0.125,352.25,5.625,1.0,0.0,0.0,0.15480695000223932,0.7385905874980381
combined,direct_text_oracle,8,-8.474842131137848,-6.170065797865391,6.440493047237396,1.4215936735272408,0.02928204133732764,170.0,,,0.021409012260846794,0.0625,0.0,0.125,0.0,0.0,1.0,0.0,0.0,0.3773674875010329,0.8548173749950365
hotpotqa,no_memory,4,-22.650168299674988,-8.002816885709763,0.0,0.0,0.0005082033571773368,886.75,,,,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1522335500048939,0.758561099988583
hotpotqa,learned_router,4,-22.641865849494934,-7.991570860147476,0.008302450180053711,0.011246025562286377,0.0005089269745259181,702.75,0.4731024131178856,0.03113860043231398,,0.05555555555555556,0.0,0.0,96.0,3.75,0.0,0.0,0.0,0.167633549994207,0.7122152000010828
hotpotqa,oracle_last_1,4,-22.547481894493103,-7.931508868932724,0.10268640518188477,0.07130801677703857,0.00047190322127982007,698.25,0.6048518866300583,0.2524814708158374,,0.05555555555555556,0.0,0.0,112.25,3.75,1.0,0.0,0.0,0.1549499250104418,0.6842473249998875
hotpotqa,oracle_last_2,4,-22.21387493610382,-7.769326239824295,0.436293363571167,0.23349064588546753,0.0003027603168410664,481.25,0.5818878561258316,0.23742613475769758,,0.05555555555555556,0.0,0.0,224.5,3.75,1.0,0.0,0.0,0.1584552749991417,0.7068649999928311
