all_evidence_recall,best_evidence_rank,dataset,examples,mean_selected_normalized_position,mrr,prompt_tokens,query_cosine_to_last,query_pool_tokens,query_strategy,query_vector_norm,question_tokens,recall_at_16,recall_at_3,recall_at_8,score_position_correlation,selected_fraction,target_coverage,top_k,warm_routing_topk_seconds
0.0,2.75,hotpotqa,16,0.4743697039700166,0.6125,40.3125,1.0000000074505806,1.0,last,345.17210960388184,21.3125,1.0,0.8125,0.9375,-0.052598526459870794,0.06624036031356781,0.375,3,0.003708704999735346
0.3125,2.75,hotpotqa,16,0.4825907215229777,0.6125,40.3125,1.0000000074505806,1.0,last,345.17210960388184,21.3125,1.0,0.8125,0.9375,-0.052598526459870794,0.17664096083618083,0.6354166666666666,8,0.0019339175007189624
0.5625,2.75,hotpotqa,16,0.48809946669452314,0.6125,40.3125,1.0000000074505806,1.0,last,345.17210960388184,21.3125,1.0,0.8125,0.9375,-0.052598526459870794,0.35328192167236167,0.7916666666666666,16,0.0022360537495842436
0.0625,4.125,hotpotqa,16,0.5654546147920543,0.36822916666666666,40.3125,0.4834354668855667,21.3125,question_exp_h2.0,271.34772777557373,21.3125,1.0,0.3125,1.0,0.01832858976813272,0.06624036031356781,0.19791666666666666,3,0.0019020399999135408
0.1875,4.125,hotpotqa,16,0.5168302843622757,0.36822916666666666,40.3125,0.4834354668855667,21.3125,question_exp_h2.0,271.34772777557373,21.3125,1.0,0.3125,1.0,0.01832858976813272,0.17664096083618083,0.5885416666666666,8,0.0020337162506621096
0.6875,4.125,hotpotqa,16,0.5175793125782298,0.36822916666666666,40.3125,0.4834354668855667,21.3125,question_exp_h2.0,271.34772777557373,21.3125,1.0,0.3125,1.0,0.01832858976813272,0.35328192167236167,0.8541666666666666,16,0.0019614987504610326
0.0,4.3125,hotpotqa,16,0.5386672105288948,0.556927733214498,40.3125,0.5739173330366611,31.75,uniform_w32,229.79595947265625,21.3125,0.9375,0.5625,0.8125,-0.04739151634939151,0.06624036031356781,0.2864583333333333,3,0.0018663374994503101
0.1875,4.3125,hotpotqa,16,0.510056158028066,0.556927733214498,40.3125,0.5739173330366611,31.75,uniform_w32,229.79595947265625,21.3125,0.9375,0.5625,0.8125,-0.04739151634939151,0.17664096083618083,0.5,8,0.002060506250199978
0.625,4.3125,hotpotqa,16,0.5111840344824417,0.556927733214498,40.3125,0.5739173330366611,31.75,uniform_w32,229.79595947265625,21.3125,0.9375,0.5625,0.8125,-0.04739151634939151,0.35328192167236167,0.7708333333333334,16,0.0020337849993666167
0.0,19.875,qasper,16,0.44200496117936716,0.21283160567061996,28.8125,1.0000000037252903,1.0,last,321.12681770324707,9.8125,0.6875,0.125,0.5,-0.09664620201490302,0.0243599159631255,0.04755434782608696,3,0.002122762499129749
0.3125,19.875,qasper,16,0.44897437939553536,0.21283160567061996,28.8125,1.0000000037252903,1.0,last,321.12681770324707,9.8125,0.6875,0.125,0.5,-0.09664620201490302,0.064959775901668,0.40217391304347827,8,0.0025157800006127217
0.4375,19.875,qasper,16,0.46009229077263175,0.21283160567061996,28.8125,1.0000000037252903,1.0,last,321.12681770324707,9.8125,0.6875,0.125,0.5,-0.09664620201490302,0.129919551803336,0.5665760869565217,16,0.002440643750014715
0.1875,14.9375,qasper,16,0.4587980934568997,0.1900689160799455,28.8125,0.4349703062325716,9.8125,question_exp_h2.0,269.39892959594727,9.8125,0.625,0.1875,0.375,-0.045542132113133384,0.0243599159631255,0.1875,3,0.0019607750004070113
0.3125,14.9375,qasper,16,0.4887071665867999,0.1900689160799455,28.8125,0.4349703062325716,9.8125,question_exp_h2.0,269.39892959594727,9.8125,0.625,0.1875,0.375,-0.045542132113133384,0.064959775901668,0.328125,8,0.0019993762485682963
0.5625,14.9375,qasper,16,0.4990470542737562,0.1900689160799455,28.8125,0.4349703062325716,9.8125,question_exp_h2.0,269.39892959594727,9.8125,0.625,0.1875,0.375,-0.045542132113133384,0.129919551803336,0.578125,16,0.0020737537492095726
0.0625,15.6875,qasper,16,0.4463631780443203,0.13962301861150545,28.8125,0.5786029547452927,28.5625,uniform_w32,213.0967206954956,9.8125,0.6875,0.0625,0.125,-0.1044935878604758,0.0243599159631255,0.0625,3,0.001986078750996967
0.125,15.6875,qasper,16,0.4523318616168152,0.13962301861150545,28.8125,0.5786029547452927,28.5625,uniform_w32,213.0967206954956,9.8125,0.6875,0.0625,0.125,-0.1044935878604758,0.064959775901668,0.125,8,0.002088443749016733
0.5625,15.6875,qasper,16,0.46489968124667747,0.13962301861150545,28.8125,0.5786029547452927,28.5625,uniform_w32,213.0967206954956,9.8125,0.6875,0.0625,0.125,-0.1044935878604758,0.129919551803336,0.5964673913043478,16,0.002172669999708887
