active_kv_bytes,all_evidence_recall,any_evidence_recall,candidate_gists,dataset,examples,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_representation,score_position_correlation,selected_fraction,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
393216.0,0.0,0.625,52.375,hotpotqa,8,0.015777304276643152,1,segment_mean,0.05938917126801041,0.2916666666666667,96.0,1.0,0.5636996527561587,0.33839689722042665,0.023983612503798213,0.125,0.875,0.625,0.625,32,attention_input_hidden_state,0.00412903362737837,0.05938917126801041,0.2916666666666667,3,7.19919998664409e-05,0.011086697499558795,0.625
524288.0,0.125,0.625,52.375,hotpotqa,8,0.015777304276643152,1,segment_mean,0.07918556169068056,0.3958333333333333,128.0,1.0,0.49664278012482155,0.33839689722042665,0.023983612503798213,0.125,0.875,0.625,0.625,32,attention_input_hidden_state,0.00412903362737837,0.1583711233813611,0.3958333333333333,8,6.527399978949689e-05,0.0022125325005617922,0.625
524288.0,0.625,0.875,52.375,hotpotqa,8,0.015777304276643152,1,segment_mean,0.07918556169068056,0.3958333333333333,128.0,1.0,0.5084293322599568,0.33839689722042665,0.023983612503798213,0.125,0.875,0.625,0.625,32,attention_input_hidden_state,0.00412903362737837,0.3167422467627222,0.7708333333333334,16,6.742500016116536e-05,0.0023231824998219963,0.875
393216.0,0.0,0.625,1660.25,hotpotqa,8,0.5,32,segment_mean,0.05938917126801041,0.3125,96.0,31.69178187847045,0.5574712172543748,0.4689903846153846,0.0711334374936996,0.25,0.875,0.625,0.75,32,attention_input_hidden_state,0.02063310425121831,0.05938917126801041,0.3125,3,6.00505001784768e-05,0.002224412500800099,0.375
524288.0,0.125,0.75,1660.25,hotpotqa,8,0.5,32,segment_mean,0.07918556169068056,0.3125,128.0,31.69178187847045,0.5449906243477735,0.4689903846153846,0.0711334374936996,0.25,0.875,0.625,0.75,32,attention_input_hidden_state,0.02063310425121831,0.1583711233813611,0.375,8,6.681149985524825e-05,0.0021052549993328283,0.5
524288.0,0.375,0.875,1660.25,hotpotqa,8,0.5,32,segment_mean,0.07918556169068056,0.3125,128.0,31.69178187847045,0.5404585318586786,0.4689903846153846,0.0711334374936996,0.25,0.875,0.625,0.75,32,attention_input_hidden_state,0.02063310425121831,0.3167422467627222,0.6041666666666666,16,6.364700035192073e-05,0.002072602499538334,0.75
393216.0,0.125,0.25,151.875,qasper,8,0.015659980811523658,1,segment_mean,0.020610307752003,0.1875,96.0,1.0,0.4319875352603438,0.21255675747863248,0.008895837501768256,0.125,0.625,0.25,0.375,32,attention_input_hidden_state,-0.046057770991818424,0.020610307752003,0.1875,3,7.225450011901558e-05,0.004185000001598382,0.25
508416.0,0.125,0.375,151.875,qasper,8,0.015659980811523658,1,segment_mean,0.027480410336004,0.1875,124.125,1.0,0.5005542342168983,0.21255675747863248,0.008895837501768256,0.125,0.625,0.25,0.375,32,attention_input_hidden_state,-0.046057770991818424,0.054960820672008,0.25,8,5.1664500206243246e-05,0.0025043574991286733,0.375
508416.0,0.5,0.625,151.875,qasper,8,0.015659980811523658,1,segment_mean,0.027480410336004,0.1875,124.125,1.0,0.48791250261415336,0.21255675747863248,0.008895837501768256,0.125,0.625,0.25,0.375,32,attention_input_hidden_state,-0.046057770991818424,0.109921641344016,0.5625,16,5.778000020654872e-05,0.0023376224999083206,0.625
393216.0,0.125,0.125,4849.0,qasper,8,0.5,32,segment_mean,0.020610307752003,0.125,96.0,31.9285871346209,0.48830747107160405,0.15954097985347984,0.00902331249017152,0.0,0.75,0.125,0.5,32,attention_input_hidden_state,-0.025704261245592195,0.020610307752003,0.125,3,4.669000001740642e-05,0.002232032500614878,0.125
524288.0,0.5,0.5,4849.0,qasper,8,0.5,32,segment_mean,0.027480410336004,0.25,128.0,31.9285871346209,0.4299500171791533,0.15954097985347984,0.00902331249017152,0.0,0.75,0.125,0.5,32,attention_input_hidden_state,-0.025704261245592195,0.054960820672008,0.5,8,4.7142500116024166e-05,0.002015762499650009,0.5
524288.0,0.625,0.75,4849.0,qasper,8,0.5,32,segment_mean,0.027480410336004,0.25,128.0,31.9285871346209,0.4682498355650374,0.15954097985347984,0.00902331249017152,0.0,0.75,0.125,0.5,32,attention_input_hidden_state,-0.025704261245592195,0.109921641344016,0.6875,16,4.6749000175623224e-05,0.0023392599992803297,0.75
