dataset,family,k_total,full_channels,removed_channel,ablated_channels,n,full_recall,ablated_recall,marginal_delta,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,resolved_positive,unit
hotpotqa,union_round_robin,4,L+E+S+QK,L,E+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,union_round_robin,4,L+E+S+QK,E,L+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,union_round_robin,4,L+E+S+QK,S,L+E+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,union_round_robin,4,L+E+S+QK,QK,L+E+S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,union_agreement,4,L+E+S+QK,L,E+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,union_agreement,4,L+E+S+QK,E,L+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,union_agreement,4,L+E+S+QK,S,L+E+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,union_agreement,4,L+E+S+QK,QK,L+E+S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,4,L+E+S+QK,L,E+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,4,L+E+S+QK,E,L+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,4,L+E+S+QK,S,L+E+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,4,L+E+S+QK,QK,L+E+S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,4,L+E+S+QK,L,E+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,4,L+E+S+QK,E,L+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,4,L+E+S+QK,S,L+E+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,4,L+E+S+QK,QK,L+E+S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
qasper,union_round_robin,4,L+E+S+QK,L,E+S+QK,8,0.5875,0.45,0.1375,0.0,0.3875,2,6,0,False,held_out_identity
qasper,union_round_robin,4,L+E+S+QK,E,L+S+QK,8,0.5875,0.525,0.0625,0.0,0.1875,1,7,0,False,held_out_identity
qasper,union_round_robin,4,L+E+S+QK,S,L+E+QK,8,0.5875,0.575,0.0125,0.0,0.037500000000000006,1,7,0,False,held_out_identity
qasper,union_round_robin,4,L+E+S+QK,QK,L+E+S,8,0.5875,0.3375,0.25,-0.1875,0.625,4,3,1,False,held_out_identity
qasper,union_agreement,4,L+E+S+QK,L,E+S+QK,8,0.475,0.5875,-0.1125,-0.375,0.03749999999999999,1,6,1,False,held_out_identity
qasper,union_agreement,4,L+E+S+QK,E,L+S+QK,8,0.475,0.725,-0.25,-0.625,0.0,0,6,2,False,held_out_identity
qasper,union_agreement,4,L+E+S+QK,S,L+E+QK,8,0.475,0.575,-0.1,-0.375,0.075,1,6,1,False,held_out_identity
qasper,union_agreement,4,L+E+S+QK,QK,L+E+S,8,0.475,0.4,0.075,0.0,0.2,2,6,0,False,held_out_identity
qasper,rrf,4,L+E+S+QK,L,E+S+QK,8,0.475,0.5875,-0.1125,-0.375,0.03749999999999999,1,6,1,False,held_out_identity
qasper,rrf,4,L+E+S+QK,E,L+S+QK,8,0.475,0.6625,-0.1875,-0.5,0.125,1,5,2,False,held_out_identity
qasper,rrf,4,L+E+S+QK,S,L+E+QK,8,0.475,0.5875,-0.1125,-0.375,0.03749999999999999,1,6,1,False,held_out_identity
qasper,rrf,4,L+E+S+QK,QK,L+E+S,8,0.475,0.4625,0.012499999999999997,0.0,0.03749999999999999,1,7,0,False,held_out_identity
qasper,normalized_fusion,4,L+E+S+QK,L,E+S+QK,8,0.5375,0.5875,-0.05,-0.1875,0.03749999999999999,1,6,1,False,held_out_identity
qasper,normalized_fusion,4,L+E+S+QK,E,L+S+QK,8,0.5375,0.4125,0.125,0.0,0.375,1,7,0,False,held_out_identity
qasper,normalized_fusion,4,L+E+S+QK,S,L+E+QK,8,0.5375,0.5875,-0.05,-0.1875,0.03749999999999999,1,6,1,False,held_out_identity
qasper,normalized_fusion,4,L+E+S+QK,QK,L+E+S,8,0.5375,0.2,0.3375,0.0625,0.65,4,4,0,True,held_out_identity
2wikimultihopqa,union_round_robin,4,L+E+S+QK,L,E+S+QK,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,4,L+E+S+QK,E,L+S+QK,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,4,L+E+S+QK,S,L+E+QK,4,0.9166666666666666,1.0,-0.08333333333333334,-0.25,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,union_round_robin,4,L+E+S+QK,QK,L+E+S,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_agreement,4,L+E+S+QK,L,E+S+QK,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_agreement,4,L+E+S+QK,E,L+S+QK,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_agreement,4,L+E+S+QK,S,L+E+QK,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_agreement,4,L+E+S+QK,QK,L+E+S,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,rrf,4,L+E+S+QK,L,E+S+QK,4,0.9166666666666666,1.0,-0.08333333333333334,-0.25,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,rrf,4,L+E+S+QK,E,L+S+QK,4,0.9166666666666666,1.0,-0.08333333333333334,-0.25,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,rrf,4,L+E+S+QK,S,L+E+QK,4,0.9166666666666666,1.0,-0.08333333333333334,-0.25,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,rrf,4,L+E+S+QK,QK,L+E+S,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,4,L+E+S+QK,L,E+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,4,L+E+S+QK,E,L+S+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,4,L+E+S+QK,S,L+E+QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,normalized_fusion,4,L+E+S+QK,QK,L+E+S,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
musique,union_round_robin,4,L+E+S+QK,L,E+S+QK,8,0.6145833333333334,0.46875,0.14583333333333334,0.03125,0.3125,3,5,0,True,held_out_identity
musique,union_round_robin,4,L+E+S+QK,E,L+S+QK,8,0.6145833333333334,0.6145833333333334,0.0,0.0,0.0,0,8,0,False,held_out_identity
musique,union_round_robin,4,L+E+S+QK,S,L+E+QK,8,0.6145833333333334,0.5416666666666666,0.07291666666666666,0.0,0.16666666666666666,2,6,0,False,held_out_identity
musique,union_round_robin,4,L+E+S+QK,QK,L+E+S,8,0.6145833333333334,0.6145833333333334,0.0,0.0,0.0,0,8,0,False,held_out_identity
musique,union_agreement,4,L+E+S+QK,L,E+S+QK,8,0.5729166666666666,0.46875,0.10416666666666667,0.0,0.25,2,6,0,False,held_out_identity
musique,union_agreement,4,L+E+S+QK,E,L+S+QK,8,0.5729166666666666,0.47916666666666663,0.09375,0.0,0.21875,2,6,0,False,held_out_identity
musique,union_agreement,4,L+E+S+QK,S,L+E+QK,8,0.5729166666666666,0.6041666666666666,-0.03125,-0.09375,0.0,0,7,1,False,held_out_identity
musique,union_agreement,4,L+E+S+QK,QK,L+E+S,8,0.5729166666666666,0.59375,-0.02083333333333333,-0.1875,0.14583333333333334,2,4,2,False,held_out_identity
musique,rrf,4,L+E+S+QK,L,E+S+QK,8,0.5729166666666666,0.5,0.07291666666666667,0.0,0.16666666666666669,2,6,0,False,held_out_identity
musique,rrf,4,L+E+S+QK,E,L+S+QK,8,0.5729166666666666,0.5416666666666666,0.03125,0.0,0.09375,1,7,0,False,held_out_identity
musique,rrf,4,L+E+S+QK,S,L+E+QK,8,0.5729166666666666,0.5729166666666666,0.0,0.0,0.0,0,8,0,False,held_out_identity
musique,rrf,4,L+E+S+QK,QK,L+E+S,8,0.5729166666666666,0.6041666666666666,-0.03125,-0.1875,0.09375,1,6,1,False,held_out_identity
musique,normalized_fusion,4,L+E+S+QK,L,E+S+QK,8,0.5729166666666666,0.46875,0.10416666666666667,0.0,0.20833333333333334,3,5,0,False,held_out_identity
musique,normalized_fusion,4,L+E+S+QK,E,L+S+QK,8,0.5729166666666666,0.5416666666666666,0.03125,0.0,0.09375,1,7,0,False,held_out_identity
musique,normalized_fusion,4,L+E+S+QK,S,L+E+QK,8,0.5729166666666666,0.5416666666666666,0.03125,0.0,0.09375,1,7,0,False,held_out_identity
musique,normalized_fusion,4,L+E+S+QK,QK,L+E+S,8,0.5729166666666666,0.6041666666666666,-0.03125,-0.1875,0.09375,1,6,1,False,held_out_identity
