dataset,queries_per_ingestion,base_stack_bytes,full_stack_bytes,summary_increment_bytes,summary_increment_ingestion_seconds_per_query,shared_backing_memory_copies
hotpotqa,1,93621.25,94273.0,651.75,131.09126105019823,1
hotpotqa,10,93621.25,94273.0,651.75,13.109126105019822,1
hotpotqa,100,93621.25,94273.0,651.75,1.3109126105019824,1
hotpotqa,1000,93621.25,94273.0,651.75,0.13109126105019822,1
qasper,1,332221.375,334426.375,2205.0,46.64790672514937,1
qasper,10,332221.375,334426.375,2205.0,4.664790672514937,1
qasper,100,332221.375,334426.375,2205.0,0.4664790672514937,1
qasper,1000,332221.375,334426.375,2205.0,0.04664790672514937,1
2wikimultihopqa,1,131886.25,132851.75,965.5,176.82234930020059,1
2wikimultihopqa,10,131886.25,132851.75,965.5,17.68223493002006,1
2wikimultihopqa,100,131886.25,132851.75,965.5,1.7682234930020058,1
2wikimultihopqa,1000,131886.25,132851.75,965.5,0.17682234930020058,1
musique,1,183568.125,200360.75,16792.625,25.65006522499607,1
musique,10,183568.125,200360.75,16792.625,2.565006522499607,1
musique,100,183568.125,200360.75,16792.625,0.2565006522499607,1
musique,1000,183568.125,200360.75,16792.625,0.02565006522499607,1
