dataset,example_id,left_channel,right_channel,k_total,selection_jaccard,left_evidence_recovered,right_evidence_recovered,shared_evidence_recovered,left_only_evidence,right_only_evidence
hotpotqa,5adc3aff5542996e685252eb,L,E,4,0.6,2,1,1,1,0
hotpotqa,5adc3aff5542996e685252eb,L,S,4,0.6,2,1,1,1,0
hotpotqa,5adc3aff5542996e685252eb,L,QK,4,1.0,2,2,2,0,0
hotpotqa,5adc3aff5542996e685252eb,E,S,4,0.6,1,1,0,1,1
hotpotqa,5adc3aff5542996e685252eb,E,QK,4,0.6,1,2,1,0,1
hotpotqa,5adc3aff5542996e685252eb,S,QK,4,0.6,1,2,1,0,1
hotpotqa,5ab56db7554299494045efc6,L,E,4,1.0,2,2,2,0,0
hotpotqa,5ab56db7554299494045efc6,L,S,4,0.6,2,2,2,0,0
hotpotqa,5ab56db7554299494045efc6,L,QK,4,1.0,2,2,2,0,0
hotpotqa,5ab56db7554299494045efc6,E,S,4,0.6,2,2,2,0,0
hotpotqa,5ab56db7554299494045efc6,E,QK,4,1.0,2,2,2,0,0
hotpotqa,5ab56db7554299494045efc6,S,QK,4,0.6,2,2,2,0,0
hotpotqa,5ab2b863554299295394685a,L,E,4,0.6,2,2,2,0,0
hotpotqa,5ab2b863554299295394685a,L,S,4,0.6,2,2,2,0,0
hotpotqa,5ab2b863554299295394685a,L,QK,4,0.3333333333333333,2,1,1,1,0
hotpotqa,5ab2b863554299295394685a,E,S,4,1.0,2,2,2,0,0
hotpotqa,5ab2b863554299295394685a,E,QK,4,0.6,2,1,1,1,0
hotpotqa,5ab2b863554299295394685a,S,QK,4,0.6,2,1,1,1,0
hotpotqa,5a710a915542994082a3e504,L,E,4,0.6,2,2,2,0,0
hotpotqa,5a710a915542994082a3e504,L,S,4,1.0,2,2,2,0,0
hotpotqa,5a710a915542994082a3e504,L,QK,4,1.0,2,2,2,0,0
hotpotqa,5a710a915542994082a3e504,E,S,4,0.6,2,2,2,0,0
hotpotqa,5a710a915542994082a3e504,E,QK,4,0.6,2,2,2,0,0
hotpotqa,5a710a915542994082a3e504,S,QK,4,1.0,2,2,2,0,0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,L,E,4,0.0,0,0,0,0,0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,L,S,4,0.14285714285714285,0,0,0,0,0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,L,QK,4,0.0,0,1,0,0,1
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,E,S,4,0.3333333333333333,0,0,0,0,0
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,E,QK,4,0.14285714285714285,0,1,0,0,1
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,S,QK,4,0.0,0,1,0,0,1
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,L,E,4,0.14285714285714285,1,0,0,1,0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,L,S,4,0.3333333333333333,1,1,1,0,0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,L,QK,4,0.6,1,1,1,0,0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,E,S,4,0.14285714285714285,0,1,0,0,1
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,E,QK,4,0.0,0,1,0,0,1
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,S,QK,4,0.14285714285714285,1,1,1,0,0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,L,E,4,0.14285714285714285,1,0,0,1,0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,L,S,4,0.14285714285714285,1,1,1,0,0
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,L,QK,4,0.14285714285714285,1,2,1,0,1
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,E,S,4,0.3333333333333333,0,1,0,0,1
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,E,QK,4,0.0,0,2,0,0,2
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,S,QK,4,0.14285714285714285,1,2,1,0,1
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,L,E,4,0.6,0,0,0,0,0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,L,S,4,0.0,0,1,0,0,1
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,L,QK,4,0.14285714285714285,0,0,0,0,0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,E,S,4,0.0,0,1,0,0,1
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,E,QK,4,0.14285714285714285,0,0,0,0,0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,S,QK,4,0.3333333333333333,1,0,0,1,0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,L,E,4,0.3333333333333333,1,0,0,1,0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,L,S,4,0.3333333333333333,1,1,1,0,0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,L,QK,4,0.14285714285714285,1,1,1,0,0
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,E,S,4,0.14285714285714285,0,1,0,0,1
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,E,QK,4,0.3333333333333333,0,1,0,0,1
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,S,QK,4,0.3333333333333333,1,1,1,0,0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,L,E,4,0.3333333333333333,0,2,0,0,2
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,L,S,4,0.3333333333333333,0,1,0,0,1
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,L,QK,4,0.0,0,2,0,0,2
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,E,S,4,0.3333333333333333,2,1,1,1,0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,E,QK,4,0.3333333333333333,2,2,2,0,0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,S,QK,4,0.14285714285714285,1,2,1,0,1
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,L,E,4,0.3333333333333333,0,0,0,0,0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,L,S,4,0.3333333333333333,0,0,0,0,0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,L,QK,4,0.14285714285714285,0,1,0,0,1
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E,S,4,0.3333333333333333,0,0,0,0,0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,E,QK,4,0.14285714285714285,0,1,0,0,1
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,S,QK,4,0.14285714285714285,0,1,0,0,1
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,L,E,4,0.0,1,1,0,1,1
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,L,S,4,0.0,1,1,0,1,1
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,L,QK,4,0.14285714285714285,1,2,0,1,2
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,E,S,4,0.0,1,1,0,1,1
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,E,QK,4,0.14285714285714285,1,2,1,0,1
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,S,QK,4,0.0,1,2,0,1,2
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,L,E,4,1.0,2,2,2,0,0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,L,S,4,0.6,2,1,1,1,0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,L,QK,4,0.6,2,2,2,0,0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,E,S,4,0.6,2,1,1,1,0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,E,QK,4,0.6,2,2,2,0,0
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,S,QK,4,0.6,1,2,1,0,1
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,L,E,4,1.0,3,3,3,0,0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,L,S,4,1.0,3,3,3,0,0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,L,QK,4,1.0,3,3,3,0,0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,E,S,4,1.0,3,3,3,0,0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,E,QK,4,1.0,3,3,3,0,0
2wikimultihopqa,04f33eff08fa11ebbdabac1f6bf848b6,S,QK,4,1.0,3,3,3,0,0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,L,E,4,1.0,2,2,2,0,0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,L,S,4,1.0,2,2,2,0,0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,L,QK,4,1.0,2,2,2,0,0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,E,S,4,1.0,2,2,2,0,0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,E,QK,4,1.0,2,2,2,0,0
2wikimultihopqa,0bdeb6f80bdc11eba7f7acde48001122,S,QK,4,1.0,2,2,2,0,0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,L,E,4,1.0,2,2,2,0,0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,L,S,4,0.3333333333333333,2,1,1,1,0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,L,QK,4,0.14285714285714285,2,2,1,1,1
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,E,S,4,0.3333333333333333,2,1,1,1,0
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,E,QK,4,0.14285714285714285,2,2,1,1,1
2wikimultihopqa,0c8a27700bde11eba7f7acde48001122,S,QK,4,0.0,1,2,0,1,2
musique,2hop__107905_110222,L,E,4,0.14285714285714285,2,1,1,1,0
musique,2hop__107905_110222,L,S,4,0.3333333333333333,2,2,1,1,1
musique,2hop__107905_110222,L,QK,4,0.3333333333333333,2,0,0,2,0
musique,2hop__107905_110222,E,S,4,0.3333333333333333,1,2,1,0,1
musique,2hop__107905_110222,E,QK,4,0.14285714285714285,1,0,0,1,0
musique,2hop__107905_110222,S,QK,4,0.3333333333333333,2,0,0,2,0
musique,2hop__115515_779396,L,E,4,0.6,1,1,1,0,0
musique,2hop__115515_779396,L,S,4,0.3333333333333333,1,2,1,0,1
musique,2hop__115515_779396,L,QK,4,0.0,1,0,0,1,0
musique,2hop__115515_779396,E,S,4,0.3333333333333333,1,2,1,0,1
musique,2hop__115515_779396,E,QK,4,0.0,1,0,0,1,0
musique,2hop__115515_779396,S,QK,4,0.0,2,0,0,2,0
musique,2hop__128945_47686,L,E,4,0.14285714285714285,1,2,1,0,1
musique,2hop__128945_47686,L,S,4,0.14285714285714285,1,0,0,1,0
musique,2hop__128945_47686,L,QK,4,0.6,1,0,0,1,0
musique,2hop__128945_47686,E,S,4,0.14285714285714285,2,0,0,2,0
musique,2hop__128945_47686,E,QK,4,0.14285714285714285,2,0,0,2,0
musique,2hop__128945_47686,S,QK,4,0.3333333333333333,0,0,0,0,0
musique,2hop__131951_643670,L,E,4,0.6,2,2,2,0,0
musique,2hop__131951_643670,L,S,4,0.3333333333333333,2,3,2,0,1
musique,2hop__131951_643670,L,QK,4,0.3333333333333333,2,2,1,1,1
musique,2hop__131951_643670,E,S,4,0.6,2,3,2,0,1
musique,2hop__131951_643670,E,QK,4,0.6,2,2,1,1,1
musique,2hop__131951_643670,S,QK,4,0.6,3,2,2,1,0
musique,2hop__133116_533882,L,E,4,0.3333333333333333,3,1,1,2,0
musique,2hop__133116_533882,L,S,4,0.3333333333333333,3,2,2,1,0
musique,2hop__133116_533882,L,QK,4,0.6,3,3,3,0,0
musique,2hop__133116_533882,E,S,4,0.3333333333333333,1,2,1,0,1
musique,2hop__133116_533882,E,QK,4,0.3333333333333333,1,3,1,0,2
musique,2hop__133116_533882,S,QK,4,0.6,2,3,2,0,1
musique,2hop__13353_85402,L,E,4,0.14285714285714285,1,1,1,0,0
musique,2hop__13353_85402,L,S,4,0.14285714285714285,1,2,1,0,1
musique,2hop__13353_85402,L,QK,4,0.14285714285714285,1,1,1,0,0
musique,2hop__13353_85402,E,S,4,0.6,1,2,1,0,1
musique,2hop__13353_85402,E,QK,4,0.3333333333333333,1,1,1,0,0
musique,2hop__13353_85402,S,QK,4,0.3333333333333333,2,1,1,1,0
musique,2hop__159741_161674,L,E,4,0.6,3,3,2,1,1
musique,2hop__159741_161674,L,S,4,0.3333333333333333,3,1,1,2,0
musique,2hop__159741_161674,L,QK,4,0.14285714285714285,3,2,1,2,1
musique,2hop__159741_161674,E,S,4,0.3333333333333333,3,1,1,2,0
musique,2hop__159741_161674,E,QK,4,0.3333333333333333,3,2,2,1,0
musique,2hop__159741_161674,S,QK,4,0.14285714285714285,1,2,0,1,2
musique,2hop__16581_16569,L,E,4,0.3333333333333333,3,2,2,1,0
musique,2hop__16581_16569,L,S,4,0.14285714285714285,3,1,1,2,0
musique,2hop__16581_16569,L,QK,4,0.3333333333333333,3,1,1,2,0
musique,2hop__16581_16569,E,S,4,0.3333333333333333,2,1,1,1,0
musique,2hop__16581_16569,E,QK,4,0.14285714285714285,2,1,0,2,1
musique,2hop__16581_16569,S,QK,4,0.14285714285714285,1,1,0,1,1
