dataset,condition,frozen_condition,examples,evidence_recall,complete_recovery,precision,mrr,routing_index_bytes_per_source,embedding_index_bytes_per_source,summary_tokens_per_source,ingestion_seconds_per_source,routing_seconds_per_query,native_kv_tokens_materialized
hotpotqa,native_mean,native_mean,4,0.875,0.75,0.4375,0.6458333333333334,21504.0,0.0,0.0,0.0,0.0004595750360749662,1006.5
hotpotqa,source_bm25,source_bm25,4,1.0,1.0,0.5,1.0,4855.0,0.0,0.0,0.0,0.0020574500085785985,1006.5
hotpotqa,rank16,rank16,4,0.875,0.75,0.4375,0.5833333333333334,86016.0,0.0,0.0,0.0,0.0948809000547044,1006.5
hotpotqa,rank8_centroid8,rank8_centroid8,4,0.75,0.5,0.375,0.6458333333333334,10752.0,0.0,0.0,0.0,3.954626425052993,976.25
hotpotqa,oracle_identity,oracle_identity,4,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.590006286278367e-05,1008.25
hotpotqa,summary,teacher_8b_generic_1x32_summary_exact,4,0.875,0.75,0.4375,0.7083333333333334,651.75,0.0,165.75,131.09126105019823,0.00018610002007335424,1020.0
qasper,native_mean,native_mean,8,0.35,0.25,0.1875,0.3054487179487179,75264.0,0.0,0.0,0.0,0.0023660124861635268,1012.5
qasper,source_bm25,source_bm25,8,0.325,0.25,0.125,0.40208333333333335,21744.875,0.0,0.0,0.0,0.00530061250901781,1018.75
qasper,rank16,rank16,8,0.775,0.75,0.3125,0.6875,301056.0,0.0,0.0,0.0,0.3790371250070166,994.5
qasper,rank8_centroid8,rank8_centroid8,8,0.7,0.625,0.25,0.59375,37632.0,0.0,0.0,0.0,12.587302837491734,1010.375
qasper,oracle_identity,oracle_identity,8,0.925,0.875,0.40625,1.0,0.0,0.0,0.0,0.0,1.6787467757239938e-05,1024.0
qasper,summary,subb_600m_retrieval_1x32_summary_exact,8,0.5125,0.375,0.1875,0.446875,2205.0,0.0,482.75,46.64790672514937,0.0005612249951809645,1019.875
2wikimultihopqa,native_mean,native_mean,4,0.9166666666666666,0.75,0.5625,1.0,30720.0,0.0,0.0,0.0,0.024607724917586893,955.25
2wikimultihopqa,source_bm25,source_bm25,4,0.9166666666666666,0.75,0.5625,1.0,5470.75,0.0,0.0,0.0,0.0014879500376991928,955.25
2wikimultihopqa,rank16,rank16,4,0.9166666666666666,0.75,0.5625,0.75,122880.0,0.0,0.0,0.0,0.2324801500653848,904.0
2wikimultihopqa,rank8_centroid8,rank8_centroid8,4,0.9166666666666666,0.75,0.5625,1.0,15360.0,0.0,0.0,0.0,5.154406000103336,904.0
2wikimultihopqa,oracle_identity,oracle_identity,4,1.0,1.0,0.625,1.0,0.0,0.0,0.0,0.0,2.7225003577768803e-05,955.25
2wikimultihopqa,summary,teacher_8b_retrieval_1x32_summary_bm25,4,0.7083333333333334,0.5,0.4375,0.75,965.5,0.0,240.0,176.82234930020059,0.0004528750432655215,904.0
musique,native_mean,native_mean,8,0.6145833333333334,0.25,0.4375,0.625,41984.0,0.0,0.0,0.0,0.0007429249817505479,1013.25
musique,source_bm25,source_bm25,8,0.6458333333333334,0.125,0.5,0.8125,9980.875,0.0,0.0,0.0,0.003213100048014894,1012.625
musique,rank16,rank16,8,0.34375,0.125,0.28125,0.44285714285714284,167936.0,0.0,0.0,0.0,0.3691214624850545,998.625
musique,rank8_centroid8,rank8_centroid8,8,0.4583333333333333,0.125,0.3125,0.5041666666666667,20992.0,0.0,0.0,0.0,8.435256612487137,956.5
musique,oracle_identity,oracle_identity,8,1.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,1.5612487914040685e-05,1012.625
musique,summary,subb_600m_retrieval_1x32_summary_hybrid_a0.50,8,0.5625,0.25,0.40625,0.7541666666666667,16792.625,15744.0,280.125,25.33359893746092,0.37141544991754927,902.875
