model,model_revision,precision_mode,seed,condition,examples,token_f1,official_score,gold_answer_nll,first_step_js,request_composition_ms,request_local_native_tokens,request_composition_flops_estimate
mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,INT4,11,A_FULL_CAUSAL_RAG,3,0.22222222222222224,1.0,0.0,,0.0,0.0,0.0
mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,INT4,11,C_PRA_PRE_ROPE_EXACT_PACKED_OFFSETS,3,0.21933621933621936,1.0,0.35833333333333334,3.0490659865912648e-05,0.0,0.0,0.0
mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,INT4,11,D_GIST_SA_APPEND,3,0.0,0.0,4.479166666666667,0.6628090577879849,125.1615696431448,4.0,2359296.0
mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,INT4,11,E_GIST_SA_BOUNDARY_8,3,0.06666666666666667,0.3333333333333333,6.195833333333333,0.6752082069126288,79.69643059186637,64.0,7077888.0
mlx-community/Qwen3-4B-4bit,4dcb3d101c2a062e5c1d4bb173588c54ea6c4d25,INT4,11,F_GIST_SA_BOUNDARY_32,3,0.0,0.0,5.320833333333334,0.6685587196186846,74.64580610394478,256.0,21233664.0
mlx-community/Qwen3-8B-4bit,545dc4251c05440727734bcd94334791f6ab0192,INT4,11,A_FULL_CAUSAL_RAG,3,0.24242424242424243,1.0,0.0,,0.0,0.0,0.0
mlx-community/Qwen3-8B-4bit,545dc4251c05440727734bcd94334791f6ab0192,INT4,11,C_PRA_PRE_ROPE_EXACT_PACKED_OFFSETS,3,0.2031746031746032,1.0,0.09999999999999999,0.000218983886360295,0.0,0.0,0.0
mlx-community/Qwen3-8B-4bit,545dc4251c05440727734bcd94334791f6ab0192,INT4,11,D_GIST_SA_APPEND,3,0.0,0.0,1.875,0.536736157698967,17.69702765159309,4.0,2359296.0
mlx-community/Qwen3-8B-4bit,545dc4251c05440727734bcd94334791f6ab0192,INT4,11,E_GIST_SA_BOUNDARY_8,3,0.11111111111111112,0.0,3.829166666666667,0.6029753138021628,17.380597011651844,64.0,7077888.0
mlx-community/Qwen3-8B-4bit,545dc4251c05440727734bcd94334791f6ab0192,INT4,11,F_GIST_SA_BOUNDARY_32,3,0.16666666666666666,0.3333333333333333,3.0666666666666664,0.5871582643844827,19.418486025339615,256.0,21233664.0
mlx-community/Llama-3.1-8B-Instruct-4bit,90215b22ec18e72f623dde2ea7af4097025160e2,INT4,11,A_FULL_CAUSAL_RAG,3,0.2586894586894587,0.6666666666666666,0.09791666666666667,,0.0,0.0,0.0
mlx-community/Llama-3.1-8B-Instruct-4bit,90215b22ec18e72f623dde2ea7af4097025160e2,INT4,11,C_PRA_PRE_ROPE_EXACT_PACKED_OFFSETS,3,0.5333333333333333,0.6666666666666666,0.08645833333333335,3.780536122299543e-07,0.0,0.0,0.0
mlx-community/Llama-3.1-8B-Instruct-4bit,90215b22ec18e72f623dde2ea7af4097025160e2,INT4,11,D_GIST_SA_APPEND,3,0.2772727272727273,1.0,0.140625,0.03218805174965645,45.48231966327876,4.0,2097152.0
mlx-community/Llama-3.1-8B-Instruct-4bit,90215b22ec18e72f623dde2ea7af4097025160e2,INT4,11,E_GIST_SA_BOUNDARY_8,3,0.24949494949494952,1.0,0.11875000000000001,0.025931608519848062,40.058041689917445,64.0,6291456.0
mlx-community/Llama-3.1-8B-Instruct-4bit,90215b22ec18e72f623dde2ea7af4097025160e2,INT4,11,F_GIST_SA_BOUNDARY_32,3,0.3606060606060606,0.6666666666666666,0.13333333333333333,0.028895463310876973,18.93787532268713,256.0,18874368.0
