condition,cumulative_unique_native_tokens,cumulative_visible_tokens,cumulative_wall_ms,example_id
PRA_NATIVE_MEMORY_NO_ADAPTOR,116,0,191.62187399342656,fixture:bridge:0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,116,116,205.41491697076708,fixture:bridge:0
PRA_NATIVE_MEMORY_NO_ADAPTOR,232,116,368.0024159839377,fixture:bridge:1
PRA_SELECTED_CONTEXT_NO_ADAPTOR,232,232,376.8137079314329,fixture:bridge:1
PRA_NATIVE_MEMORY_NO_ADAPTOR,348,232,552.1148740081117,fixture:bridge:2
PRA_SELECTED_CONTEXT_NO_ADAPTOR,348,348,544.588208955247,fixture:bridge:2
PRA_NATIVE_MEMORY_NO_ADAPTOR,464,348,727.7417070581578,fixture:bridge:3
PRA_SELECTED_CONTEXT_NO_ADAPTOR,464,464,712.1555840130895,fixture:bridge:3
PRA_NATIVE_MEMORY_NO_ADAPTOR,580,464,904.2332070530392,fixture:bridge:4
PRA_SELECTED_CONTEXT_NO_ADAPTOR,580,580,885.529209044762,fixture:bridge:4
PRA_NATIVE_MEMORY_NO_ADAPTOR,696,580,1079.9892070353962,fixture:lookup:0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,696,696,1055.7774591143243,fixture:lookup:0
PRA_NATIVE_MEMORY_NO_ADAPTOR,824,696,1258.6468320223503,fixture:lookup:1
PRA_SELECTED_CONTEXT_NO_ADAPTOR,824,824,1224.976750148926,fixture:lookup:1
PRA_NATIVE_MEMORY_NO_ADAPTOR,952,824,1440.2809979510494,fixture:lookup:2
PRA_SELECTED_CONTEXT_NO_ADAPTOR,952,952,1411.4933331729844,fixture:lookup:2
PRA_NATIVE_MEMORY_NO_ADAPTOR,1067,952,1616.6764989611693,fixture:lookup:3
PRA_SELECTED_CONTEXT_NO_ADAPTOR,1067,1067,1579.240542196203,fixture:lookup:3
PRA_NATIVE_MEMORY_NO_ADAPTOR,1183,1067,1799.5611239457503,fixture:lookup:4
PRA_SELECTED_CONTEXT_NO_ADAPTOR,1183,1183,1753.5246252082288,fixture:lookup:4
PRA_NATIVE_MEMORY_NO_ADAPTOR,1311,1183,1991.3822069065645,fixture:synthesis:0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,1311,1311,1943.2432502508163,fixture:synthesis:0
PRA_NATIVE_MEMORY_NO_ADAPTOR,1439,1311,2187.269289919641,fixture:synthesis:1
PRA_SELECTED_CONTEXT_NO_ADAPTOR,1439,1439,2129.8795001930557,fixture:synthesis:1
PRA_NATIVE_MEMORY_NO_ADAPTOR,1567,1439,2384.1601649764925,fixture:synthesis:2
PRA_SELECTED_CONTEXT_NO_ADAPTOR,1567,1567,2319.62354114512,fixture:synthesis:2
PRA_NATIVE_MEMORY_NO_ADAPTOR,1695,1567,2603.1192069640383,fixture:synthesis:3
PRA_SELECTED_CONTEXT_NO_ADAPTOR,1695,1695,2518.939625180792,fixture:synthesis:3
PRA_NATIVE_MEMORY_NO_ADAPTOR,1823,1695,2799.382039986085,fixture:synthesis:4
PRA_SELECTED_CONTEXT_NO_ADAPTOR,1823,1823,2707.742792146746,fixture:synthesis:4
