split,dataset,example_id,initial_recall,oracle_recall,oracle_action,policy,predicted_action,selected_root_method,selected_successor_method,final_recall,action_correct
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,0.0,0.0,stop,initial_no_retry,stop,bm25,native_semantic,0.0,
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,bm25_state,0.0,
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,0.0,0.0,stop,learned_targeted_retry,change_root_method,semantic,native_semantic,0.0,0
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,0.0,0.0,stop,oracle_correction,stop,semantic,approximate_new_address,0.0,1
test,2wikimultihopqa,002f12240bde11eba7f7acde48001122,0.0,0.0,stop,initial_no_retry,stop,semantic,bm25_state,0.0,
test,2wikimultihopqa,002f12240bde11eba7f7acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,002f12240bde11eba7f7acde48001122,0.0,0.0,stop,learned_targeted_retry,change_successor_method,semantic,approximate_new_address,0.0,0
test,2wikimultihopqa,002f12240bde11eba7f7acde48001122,0.0,0.0,stop,oracle_correction,stop,approx,hybrid_state,0.0,1
test,2wikimultihopqa,003285a80bde11eba7f7acde48001122,0.0,0.5,change_successor_method,initial_no_retry,stop,hybrid,native_semantic,0.0,
test,2wikimultihopqa,003285a80bde11eba7f7acde48001122,0.0,0.5,change_successor_method,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,003285a80bde11eba7f7acde48001122,0.0,0.5,change_successor_method,learned_targeted_retry,change_root_method,exact,native_semantic,0.0,0
test,2wikimultihopqa,003285a80bde11eba7f7acde48001122,0.0,0.5,change_successor_method,oracle_correction,change_successor_method,semantic,native_semantic,0.5,1
test,2wikimultihopqa,005238da0bde11eba7f7acde48001122,0.0,0.0,stop,initial_no_retry,stop,bm25,native_semantic,0.0,
test,2wikimultihopqa,005238da0bde11eba7f7acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,bm25_state,0.0,
test,2wikimultihopqa,005238da0bde11eba7f7acde48001122,0.0,0.0,stop,learned_targeted_retry,change_root_method,exact,native_semantic,0.0,0
test,2wikimultihopqa,005238da0bde11eba7f7acde48001122,0.0,0.0,stop,oracle_correction,stop,semantic,native_semantic,0.0,1
test,2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,0.5,0.5,stop,initial_no_retry,stop,bm25,native_semantic,0.5,
test,2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,0.5,0.5,stop,always_switch_channel,always_switch_channel,bm25,bm25_state,0.0,
test,2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,0.5,0.5,stop,learned_targeted_retry,stop,bm25,native_semantic,0.5,1
test,2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,0.5,0.5,stop,oracle_correction,stop,exact,native_semantic,0.5,1
test,2wikimultihopqa,0083038e0bde11eba7f7acde48001122,0.0,0.0,stop,initial_no_retry,stop,bm25,native_semantic,0.0,
test,2wikimultihopqa,0083038e0bde11eba7f7acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,bm25_state,0.0,
test,2wikimultihopqa,0083038e0bde11eba7f7acde48001122,0.0,0.0,stop,learned_targeted_retry,change_root_method,bm25,native_semantic,0.0,0
test,2wikimultihopqa,0083038e0bde11eba7f7acde48001122,0.0,0.0,stop,oracle_correction,stop,approx,native_semantic,0.0,1
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,0.0,0.5,change_successor_method,initial_no_retry,stop,semantic,approximate_new_address,0.0,
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,0.0,0.5,change_successor_method,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,0.0,0.5,change_successor_method,learned_targeted_retry,stop,semantic,approximate_new_address,0.0,0
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,0.0,0.5,change_successor_method,oracle_correction,change_successor_method,semantic,hybrid_state,0.5,1
test,2wikimultihopqa,008b58060baf11ebab90acde48001122,0.0,0.0,stop,initial_no_retry,stop,exact,bm25_state,0.0,
test,2wikimultihopqa,008b58060baf11ebab90acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,008b58060baf11ebab90acde48001122,0.0,0.0,stop,learned_targeted_retry,stop,exact,bm25_state,0.0,1
test,2wikimultihopqa,008b58060baf11ebab90acde48001122,0.0,0.0,stop,oracle_correction,stop,hybrid,bm25_state,0.0,1
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,0.0,0.25,change_root_method,initial_no_retry,stop,exact,bm25_state,0.0,
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,0.0,0.25,change_root_method,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,0.0,0.25,change_root_method,learned_targeted_retry,change_root_method,bm25,bm25_state,0.0,1
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,0.0,0.25,change_root_method,oracle_correction,change_root_method,semantic,bm25_state,0.25,1
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,0.25,0.5,change_successor_method,initial_no_retry,stop,bm25,bm25_state,0.25,
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,0.25,0.5,change_successor_method,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,0.25,0.5,change_successor_method,learned_targeted_retry,stop,bm25,bm25_state,0.25,0
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,0.25,0.5,change_successor_method,oracle_correction,change_successor_method,semantic,exact_new_address,0.5,1
test,2wikimultihopqa,00fc38720bb011ebab90acde48001122,0.0,0.0,stop,initial_no_retry,stop,bm25,bm25_state,0.0,
test,2wikimultihopqa,00fc38720bb011ebab90acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,00fc38720bb011ebab90acde48001122,0.0,0.0,stop,learned_targeted_retry,change_root_method,bm25,bm25_state,0.0,0
test,2wikimultihopqa,00fc38720bb011ebab90acde48001122,0.0,0.0,stop,oracle_correction,stop,semantic,native_semantic,0.0,1
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,0.0,0.25,change_successor_method,initial_no_retry,stop,exact,bm25_state,0.0,
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,0.0,0.25,change_successor_method,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,0.0,0.25,change_successor_method,learned_targeted_retry,change_root_method,bm25,bm25_state,0.0,0
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,0.0,0.25,change_successor_method,oracle_correction,change_successor_method,exact,native_semantic,0.25,1
test,2wikimultihopqa,01057cde0bb011ebab90acde48001122,0.0,0.0,stop,initial_no_retry,stop,semantic,native_semantic,0.0,
test,2wikimultihopqa,01057cde0bb011ebab90acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,01057cde0bb011ebab90acde48001122,0.0,0.0,stop,learned_targeted_retry,change_root_method,bm25,native_semantic,0.0,0
test,2wikimultihopqa,01057cde0bb011ebab90acde48001122,0.0,0.0,stop,oracle_correction,stop,exact,exact_new_address,0.0,1
test,2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,0.0,0.2,change_successor_method,initial_no_retry,stop,exact,approximate_new_address,0.0,
test,2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,0.0,0.2,change_successor_method,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,0.0,0.2,change_successor_method,learned_targeted_retry,stop,exact,approximate_new_address,0.0,0
test,2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,0.0,0.2,change_successor_method,oracle_correction,change_successor_method,approx,bm25_state,0.2,1
test,2wikimultihopqa,024761e80bb011ebab90acde48001122,0.0,0.0,stop,initial_no_retry,stop,semantic,approximate_new_address,0.0,
test,2wikimultihopqa,024761e80bb011ebab90acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,024761e80bb011ebab90acde48001122,0.0,0.0,stop,learned_targeted_retry,change_successor_method,semantic,approximate_new_address,0.0,0
test,2wikimultihopqa,024761e80bb011ebab90acde48001122,0.0,0.0,stop,oracle_correction,stop,approx,approximate_new_address,0.0,1
test,2wikimultihopqa,0360770a0baf11ebab90acde48001122,0.0,0.0,stop,initial_no_retry,stop,exact,exact_new_address,0.0,
test,2wikimultihopqa,0360770a0baf11ebab90acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,0360770a0baf11ebab90acde48001122,0.0,0.0,stop,learned_targeted_retry,change_root_method,bm25,exact_new_address,0.0,0
test,2wikimultihopqa,0360770a0baf11ebab90acde48001122,0.0,0.0,stop,oracle_correction,stop,semantic,approximate_new_address,0.0,1
test,2wikimultihopqa,036c82480baf11ebab90acde48001122,0.0,0.0,stop,initial_no_retry,stop,semantic,native_semantic,0.0,
test,2wikimultihopqa,036c82480baf11ebab90acde48001122,0.0,0.0,stop,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,2wikimultihopqa,036c82480baf11ebab90acde48001122,0.0,0.0,stop,learned_targeted_retry,stop,semantic,native_semantic,0.0,1
test,2wikimultihopqa,036c82480baf11ebab90acde48001122,0.0,0.0,stop,oracle_correction,stop,semantic,approximate_new_address,0.0,1
test,2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,0.2,0.4,change_successor_method,initial_no_retry,stop,semantic,native_semantic,0.2,
test,2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,0.2,0.4,change_successor_method,always_switch_channel,always_switch_channel,bm25,native_semantic,0.2,
test,2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,0.2,0.4,change_successor_method,learned_targeted_retry,change_successor_method,semantic,native_semantic,0.2,1
test,2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,0.2,0.4,change_successor_method,oracle_correction,change_successor_method,approx,exact_new_address,0.4,1
test,hotpotqa,5a710a915542994082a3e504,0.0,0.25,combined_method_switch,initial_no_retry,stop,bm25,bm25_state,0.0,
test,hotpotqa,5a710a915542994082a3e504,0.0,0.25,combined_method_switch,always_switch_channel,always_switch_channel,bm25,native_semantic,0.0,
test,hotpotqa,5a710a915542994082a3e504,0.0,0.25,combined_method_switch,learned_targeted_retry,stop,bm25,bm25_state,0.0,0
