split,dataset,example_id,root_method,successor_method,recall,precision
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,semantic,approximate_new_address,0.0,0.0
test,2wikimultihopqa,002f12240bde11eba7f7acde48001122,approx,hybrid_state,0.0,0.0
test,2wikimultihopqa,003285a80bde11eba7f7acde48001122,semantic,native_semantic,0.5,0.5
test,2wikimultihopqa,005238da0bde11eba7f7acde48001122,semantic,native_semantic,0.0,0.0
test,2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,exact,native_semantic,0.5,0.5
test,2wikimultihopqa,0083038e0bde11eba7f7acde48001122,approx,native_semantic,0.0,0.0
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,semantic,hybrid_state,0.5,0.5
test,2wikimultihopqa,008b58060baf11ebab90acde48001122,hybrid,bm25_state,0.0,0.0
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,semantic,bm25_state,0.25,0.5
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,semantic,exact_new_address,0.5,1.0
test,2wikimultihopqa,00fc38720bb011ebab90acde48001122,semantic,native_semantic,0.0,0.0
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,exact,native_semantic,0.25,0.5
test,2wikimultihopqa,01057cde0bb011ebab90acde48001122,exact,exact_new_address,0.0,0.0
test,2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,approx,bm25_state,0.2,0.5
test,2wikimultihopqa,024761e80bb011ebab90acde48001122,approx,approximate_new_address,0.0,0.0
test,2wikimultihopqa,0360770a0baf11ebab90acde48001122,semantic,approximate_new_address,0.0,0.0
test,2wikimultihopqa,036c82480baf11ebab90acde48001122,semantic,approximate_new_address,0.0,0.0
test,2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,approx,exact_new_address,0.4,1.0
test,hotpotqa,5a710a915542994082a3e504,approx,native_semantic,0.25,0.5
test,hotpotqa,5a714b645542994082a3e78b,hybrid,bm25_state,0.2,0.5
test,hotpotqa,5a7e513a5542994959419996,hybrid,native_semantic,0.5,1.0
test,hotpotqa,5a80d6be55429938b6142206,semantic,approximate_new_address,0.25,0.5
test,hotpotqa,5a84c4bb5542991dd0999dec,semantic,native_semantic,0.16666666666666666,0.5
test,hotpotqa,5a8888e35542997e5c09a5f6,bm25,native_semantic,0.25,0.5
test,hotpotqa,5a8c8502554299585d9e36d0,semantic,exact_new_address,0.2,0.5
test,hotpotqa,5ab2b863554299295394685a,semantic,native_semantic,0.3333333333333333,0.5
test,hotpotqa,5ab56db7554299494045efc6,approx,native_semantic,0.3333333333333333,0.5
test,hotpotqa,5ab7f97a5542991d322237ef,bm25,approximate_new_address,0.3333333333333333,0.5
test,hotpotqa,5ab88c075542991b5579efbe,semantic,hybrid_state,0.25,0.5
test,hotpotqa,5abbd4035542993f40c73bcb,exact,native_semantic,0.14285714285714285,0.5
test,hotpotqa,5abce85755429959677d6b3e,exact,approximate_new_address,0.16666666666666666,0.5
test,hotpotqa,5adc3aff5542996e685252eb,bm25,native_semantic,0.0,0.0
test,hotpotqa,5adc93a4554299438c868e01,approx,approximate_new_address,0.2,0.5
test,hotpotqa,5ae6143f5542996de7b71b2d,bm25,exact_new_address,0.2,0.5
test,musique,2hop__10114_599630,approx,native_semantic,0.0,0.0
test,musique,2hop__103889_86452,semantic,native_semantic,0.0,0.0
test,musique,2hop__104095_40501,hybrid,bm25_state,0.14285714285714285,0.5
test,musique,2hop__104095_40502,hybrid,native_semantic,0.0,0.0
test,musique,2hop__10620_49084,approx,native_semantic,0.0,0.0
test,musique,2hop__107238_64918,bm25,native_semantic,0.0,0.0
test,musique,3hop1__102087_214799_259594,exact,native_semantic,0.25,1.0
test,musique,3hop1__103197_214799_259594,semantic,bm25_state,0.125,0.5
test,musique,3hop1__103254_214799_259594,hybrid,native_semantic,0.0,0.0
test,musique,3hop2__101809_30152_20999,semantic,native_semantic,0.0,0.0
test,musique,3hop2__106842_30645_84681,semantic,native_semantic,0.0,0.0
test,musique,3hop2__11282_57233_56883,approx,native_semantic,0.0,0.0
test,musique,4hop1__105401_17130_70784_61381,bm25,native_semantic,0.034482758620689655,0.5
test,musique,4hop1__105688_17130_70784_61381,exact,exact_new_address,0.07407407407407407,1.0
test,musique,4hop1__105688_17130_70784_79935,bm25,native_semantic,0.043478260869565216,0.5
test,musique,4hop2__103790_14670_8987_8974,bm25,approximate_new_address,0.0,0.0
test,musique,4hop2__103790_39078_8987_8529,semantic,native_semantic,0.3333333333333333,1.0
test,musique,4hop2__105527_14670_8987_8529,semantic,exact_new_address,0.14285714285714285,0.5
test,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,hybrid,exact_new_address,0.14285714285714285,0.5
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,hybrid,native_semantic,0.0,0.0
test,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,hybrid,hybrid_state,0.16666666666666666,0.5
test,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,bm25,native_semantic,0.3333333333333333,0.5
test,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,exact,exact_new_address,0.14285714285714285,0.5
test,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,exact,exact_new_address,0.0,0.0
