partition,dataset,example_id,seed,root_method,successor_method,search_parent_budget,kv_parent_budget,materialized_kv_tokens,conceptual_chain_complete,physical_chain_complete,paper2_6_method_materialization_performed
validation,hotpotqa,5adc3aff5542996e685252eb,11,bm25,native_semantic,2,2,449.0,1.0,1.0,0
validation,hotpotqa,5adc3aff5542996e685252eb,23,bm25,native_semantic,4,4,961.0,1.0,1.0,0
validation,hotpotqa,5adc3aff5542996e685252eb,37,bm25,native_semantic,2,2,449.0,1.0,1.0,0
validation,hotpotqa,5adc3aff5542996e685252eb,53,bm25,native_semantic,2,2,449.0,1.0,1.0,0
validation,hotpotqa,5adc3aff5542996e685252eb,71,bm25,native_semantic,4,4,961.0,1.0,1.0,0
validation,hotpotqa,5ab56db7554299494045efc6,11,approx,native_semantic,4,4,1024.0,1.0,1.0,0
validation,hotpotqa,5ab56db7554299494045efc6,23,approx,native_semantic,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5ab56db7554299494045efc6,37,approx,native_semantic,4,4,768.0,1.0,1.0,0
validation,hotpotqa,5ab56db7554299494045efc6,53,approx,native_semantic,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5ab56db7554299494045efc6,71,approx,native_semantic,4,4,768.0,1.0,1.0,0
test,hotpotqa,5ab2b863554299295394685a,11,semantic,native_semantic,2,2,256.0,1.0,1.0,0
test,hotpotqa,5ab2b863554299295394685a,23,semantic,native_semantic,2,2,256.0,1.0,1.0,0
test,hotpotqa,5ab2b863554299295394685a,37,semantic,native_semantic,2,2,256.0,1.0,1.0,0
test,hotpotqa,5ab2b863554299295394685a,53,semantic,native_semantic,2,2,256.0,1.0,1.0,0
test,hotpotqa,5ab2b863554299295394685a,71,semantic,native_semantic,2,2,512.0,1.0,1.0,0
test,hotpotqa,5a710a915542994082a3e504,11,approx,native_semantic,4,4,768.0,1.0,1.0,0
test,hotpotqa,5a710a915542994082a3e504,23,approx,native_semantic,4,4,1024.0,1.0,1.0,0
test,hotpotqa,5a710a915542994082a3e504,37,approx,native_semantic,4,4,768.0,1.0,1.0,0
test,hotpotqa,5a710a915542994082a3e504,53,approx,native_semantic,4,4,768.0,1.0,1.0,0
test,hotpotqa,5a710a915542994082a3e504,71,approx,native_semantic,4,4,896.0,1.0,1.0,0
test,hotpotqa,5adc93a4554299438c868e01,11,approx,approximate_new_address,2,2,512.0,1.0,1.0,0
test,hotpotqa,5adc93a4554299438c868e01,23,approx,approximate_new_address,4,4,685.0,1.0,1.0,0
test,hotpotqa,5adc93a4554299438c868e01,37,approx,approximate_new_address,2,2,512.0,1.0,1.0,0
test,hotpotqa,5adc93a4554299438c868e01,53,approx,approximate_new_address,2,2,512.0,1.0,1.0,0
test,hotpotqa,5adc93a4554299438c868e01,71,approx,approximate_new_address,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5ab7f97a5542991d322237ef,11,bm25,approximate_new_address,8,8,1983.0,1.0,1.0,0
validation,hotpotqa,5ab7f97a5542991d322237ef,23,bm25,approximate_new_address,8,8,2048.0,0.0,0.0,0
validation,hotpotqa,5ab7f97a5542991d322237ef,37,bm25,approximate_new_address,8,8,1983.0,1.0,1.0,0
validation,hotpotqa,5ab7f97a5542991d322237ef,53,bm25,approximate_new_address,8,8,1983.0,1.0,1.0,0
validation,hotpotqa,5ab7f97a5542991d322237ef,71,bm25,approximate_new_address,8,8,1983.0,1.0,1.0,0
test,hotpotqa,5a8888e35542997e5c09a5f6,11,bm25,native_semantic,2,2,466.0,1.0,1.0,0
test,hotpotqa,5a8888e35542997e5c09a5f6,23,bm25,native_semantic,4,4,722.0,1.0,1.0,0
test,hotpotqa,5a8888e35542997e5c09a5f6,37,bm25,native_semantic,4,4,722.0,1.0,1.0,0
test,hotpotqa,5a8888e35542997e5c09a5f6,53,bm25,native_semantic,4,4,978.0,1.0,1.0,0
test,hotpotqa,5a8888e35542997e5c09a5f6,71,bm25,native_semantic,4,4,722.0,1.0,1.0,0
test,hotpotqa,5a8c8502554299585d9e36d0,11,semantic,exact_new_address,4,4,1024.0,1.0,1.0,0
test,hotpotqa,5a8c8502554299585d9e36d0,23,semantic,exact_new_address,8,8,1739.0,1.0,1.0,0
test,hotpotqa,5a8c8502554299585d9e36d0,37,semantic,exact_new_address,4,4,1024.0,1.0,1.0,0
test,hotpotqa,5a8c8502554299585d9e36d0,53,semantic,exact_new_address,4,4,1024.0,1.0,1.0,0
test,hotpotqa,5a8c8502554299585d9e36d0,71,semantic,exact_new_address,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5a84c4bb5542991dd0999dec,11,semantic,native_semantic,4,4,709.0,1.0,1.0,0
validation,hotpotqa,5a84c4bb5542991dd0999dec,23,semantic,native_semantic,4,4,709.0,1.0,1.0,0
validation,hotpotqa,5a84c4bb5542991dd0999dec,37,semantic,native_semantic,4,4,709.0,1.0,1.0,0
validation,hotpotqa,5a84c4bb5542991dd0999dec,53,semantic,native_semantic,4,4,709.0,1.0,1.0,0
validation,hotpotqa,5a84c4bb5542991dd0999dec,71,semantic,native_semantic,4,4,709.0,1.0,1.0,0
validation,hotpotqa,5abbd4035542993f40c73bcb,11,exact,native_semantic,2,2,293.0,1.0,1.0,0
validation,hotpotqa,5abbd4035542993f40c73bcb,23,exact,native_semantic,2,2,293.0,1.0,1.0,0
validation,hotpotqa,5abbd4035542993f40c73bcb,37,exact,native_semantic,4,4,549.0,1.0,1.0,0
validation,hotpotqa,5abbd4035542993f40c73bcb,53,exact,native_semantic,2,2,256.0,1.0,1.0,0
validation,hotpotqa,5abbd4035542993f40c73bcb,71,exact,native_semantic,2,2,256.0,1.0,1.0,0
validation,hotpotqa,5ae6143f5542996de7b71b2d,11,bm25,exact_new_address,4,4,985.0,1.0,1.0,0
validation,hotpotqa,5ae6143f5542996de7b71b2d,23,bm25,exact_new_address,4,4,985.0,1.0,1.0,0
validation,hotpotqa,5ae6143f5542996de7b71b2d,37,bm25,exact_new_address,4,4,985.0,1.0,1.0,0
validation,hotpotqa,5ae6143f5542996de7b71b2d,53,bm25,exact_new_address,4,4,985.0,1.0,1.0,0
validation,hotpotqa,5ae6143f5542996de7b71b2d,71,bm25,exact_new_address,4,4,985.0,1.0,1.0,0
validation,hotpotqa,5a7e513a5542994959419996,11,hybrid,native_semantic,4,4,919.0,1.0,1.0,0
validation,hotpotqa,5a7e513a5542994959419996,23,hybrid,native_semantic,4,4,919.0,1.0,1.0,0
validation,hotpotqa,5a7e513a5542994959419996,37,hybrid,native_semantic,4,4,919.0,1.0,1.0,0
validation,hotpotqa,5a7e513a5542994959419996,53,hybrid,native_semantic,4,4,919.0,1.0,1.0,0
validation,hotpotqa,5a7e513a5542994959419996,71,hybrid,native_semantic,2,2,407.0,1.0,1.0,0
test,hotpotqa,5a80d6be55429938b6142206,11,semantic,approximate_new_address,8,8,1217.0,1.0,1.0,0
test,hotpotqa,5a80d6be55429938b6142206,23,semantic,approximate_new_address,8,8,1473.0,1.0,1.0,0
test,hotpotqa,5a80d6be55429938b6142206,37,semantic,approximate_new_address,8,8,1473.0,1.0,1.0,0
test,hotpotqa,5a80d6be55429938b6142206,53,semantic,approximate_new_address,8,8,1473.0,1.0,1.0,0
test,hotpotqa,5a80d6be55429938b6142206,71,semantic,approximate_new_address,8,8,1473.0,1.0,1.0,0
test,hotpotqa,5ab88c075542991b5579efbe,11,semantic,hybrid_state,8,8,1280.0,1.0,1.0,0
test,hotpotqa,5ab88c075542991b5579efbe,23,semantic,hybrid_state,4,4,1024.0,1.0,1.0,0
test,hotpotqa,5ab88c075542991b5579efbe,37,semantic,hybrid_state,4,4,1024.0,1.0,1.0,0
test,hotpotqa,5ab88c075542991b5579efbe,53,semantic,hybrid_state,2,2,512.0,1.0,1.0,0
test,hotpotqa,5ab88c075542991b5579efbe,71,semantic,hybrid_state,4,4,1024.0,1.0,1.0,0
validation,hotpotqa,5a714b645542994082a3e78b,11,hybrid,bm25_state,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5a714b645542994082a3e78b,23,hybrid,bm25_state,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5a714b645542994082a3e78b,37,hybrid,bm25_state,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5a714b645542994082a3e78b,53,hybrid,bm25_state,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5a714b645542994082a3e78b,71,hybrid,bm25_state,2,2,512.0,1.0,1.0,0
validation,hotpotqa,5abce85755429959677d6b3e,11,exact,approximate_new_address,8,8,1450.0,1.0,1.0,0
validation,hotpotqa,5abce85755429959677d6b3e,23,exact,approximate_new_address,8,8,1962.0,1.0,1.0,0
validation,hotpotqa,5abce85755429959677d6b3e,37,exact,approximate_new_address,8,8,1962.0,1.0,1.0,0
validation,hotpotqa,5abce85755429959677d6b3e,53,exact,approximate_new_address,8,8,1450.0,1.0,1.0,0
validation,hotpotqa,5abce85755429959677d6b3e,71,exact,approximate_new_address,8,8,1962.0,1.0,1.0,0
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,11,bm25,native_semantic,2,2,256.0,1.0,1.0,0
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,23,bm25,native_semantic,2,2,256.0,1.0,1.0,0
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,37,bm25,native_semantic,2,2,256.0,1.0,1.0,0
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,53,bm25,native_semantic,2,2,256.0,1.0,1.0,0
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,71,bm25,native_semantic,2,2,256.0,1.0,1.0,0
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,11,hybrid,exact_new_address,2,2,512.0,1.0,1.0,0
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,23,hybrid,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,37,hybrid,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,53,hybrid,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,71,hybrid,exact_new_address,4,4,768.0,1.0,1.0,0
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,11,approx,exact_new_address,4,4,768.0,1.0,1.0,0
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,23,approx,exact_new_address,4,4,768.0,1.0,1.0,0
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,37,approx,exact_new_address,4,4,768.0,1.0,1.0,0
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,53,approx,exact_new_address,4,4,768.0,1.0,1.0,0
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,71,approx,exact_new_address,2,2,256.0,1.0,1.0,0
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,11,exact,exact_new_address,4,4,1024.0,1.0,1.0,0
