split,dataset,example_id,conditioned_root_method,oracle_successor_method,oracle_recall,oracle_precision,oracle_mrr,combined_root_method,combined_successor_method,combined_recall,combined_precision,combined_mrr,comparisons,latency_ms,mapping_semantics
test,2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,approx,native_semantic,0.0,0.0,0.16666666666666666,semantic,approximate_new_address,0.0,0.0,0.2,60,43.91530016437173,annotated_dependency
test,2wikimultihopqa,002f12240bde11eba7f7acde48001122,semantic,approximate_new_address,0.0,0.0,0.125,approx,hybrid_state,0.0,0.0,0.25,62,54.85319998115301,annotated_dependency
test,2wikimultihopqa,003285a80bde11eba7f7acde48001122,semantic,native_semantic,0.5,0.5,1.0,semantic,native_semantic,0.5,0.5,1.0,120,87.96690008603036,annotated_dependency
test,2wikimultihopqa,005238da0bde11eba7f7acde48001122,approx,native_semantic,0.0,0.0,0.038461538461538464,semantic,native_semantic,0.0,0.0,0.047619047619047616,88,58.55750013142824,annotated_dependency
test,2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,exact,native_semantic,0.5,0.5,0.5,exact,native_semantic,0.5,0.5,0.5,114,64.17559995315969,annotated_dependency
test,2wikimultihopqa,0083038e0bde11eba7f7acde48001122,hybrid,exact_new_address,0.0,0.0,0.0625,approx,native_semantic,0.0,0.0,0.3333333333333333,76,62.022700207307935,annotated_dependency
test,2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,approx,bm25_state,0.0,0.0,0.05,semantic,hybrid_state,0.5,0.5,1.0,102,103.4039999358356,annotated_dependency
test,2wikimultihopqa,008b58060baf11ebab90acde48001122,semantic,native_semantic,0.0,0.0,0.14285714285714285,hybrid,bm25_state,0.0,0.0,0.3333333333333333,84,73.5464000608772,annotated_dependency
test,2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,semantic,bm25_state,0.25,0.5,1.0,semantic,bm25_state,0.25,0.5,1.0,48,44.64510013349354,annotated_dependency
test,2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,bm25,hybrid_state,0.5,1.0,1.0,semantic,exact_new_address,0.5,1.0,1.0,62,64.59319987334311,annotated_dependency
test,2wikimultihopqa,00fc38720bb011ebab90acde48001122,exact,hybrid_state,0.0,0.0,0.25,semantic,native_semantic,0.0,0.0,0.25,86,77.40759989246726,annotated_dependency
test,2wikimultihopqa,00fe8ebc08e311ebbda4ac1f6bf848b6,semantic,hybrid_state,0.0,0.0,0.3333333333333333,exact,native_semantic,0.25,0.5,0.5,60,75.17229998484254,annotated_dependency
test,2wikimultihopqa,01057cde0bb011ebab90acde48001122,semantic,exact_new_address,0.0,0.0,0.125,exact,exact_new_address,0.0,0.0,0.2,76,48.43929992057383,annotated_dependency
test,2wikimultihopqa,01245b60088411ebbd6dac1f6bf848b6,exact,bm25_state,0.2,0.5,1.0,approx,bm25_state,0.2,0.5,1.0,82,96.62279998883605,annotated_dependency
test,2wikimultihopqa,024761e80bb011ebab90acde48001122,hybrid,approximate_new_address,0.0,0.0,0.16666666666666666,approx,approximate_new_address,0.0,0.0,0.16666666666666666,110,59.397200122475624,annotated_dependency
test,2wikimultihopqa,0360770a0baf11ebab90acde48001122,exact,hybrid_state,0.0,0.0,0.14285714285714285,semantic,approximate_new_address,0.0,0.0,0.2,90,78.18410010077059,annotated_dependency
test,2wikimultihopqa,036c82480baf11ebab90acde48001122,approx,approximate_new_address,0.0,0.0,0.05263157894736842,semantic,approximate_new_address,0.0,0.0,0.1111111111111111,140,113.77269984222949,annotated_dependency
test,2wikimultihopqa,03e971d208d911ebbd9cac1f6bf848b6,semantic,bm25_state,0.4,1.0,1.0,approx,exact_new_address,0.4,1.0,1.0,66,86.78200002759695,annotated_dependency
test,hotpotqa,5a710a915542994082a3e504,approx,native_semantic,0.25,0.5,0.5,approx,native_semantic,0.25,0.5,0.5,72,70.65950008109212,unordered_evidence_remainder
test,hotpotqa,5a714b645542994082a3e78b,bm25,bm25_state,0.0,0.0,0.09090909090909091,hybrid,bm25_state,0.2,0.5,1.0,80,84.44339991547167,unordered_evidence_remainder
test,hotpotqa,5a7e513a5542994959419996,semantic,native_semantic,0.25,0.5,0.5,hybrid,native_semantic,0.5,1.0,1.0,58,275.81619983538985,unordered_evidence_remainder
test,hotpotqa,5a80d6be55429938b6142206,bm25,approximate_new_address,0.0,0.0,0.3333333333333333,semantic,approximate_new_address,0.25,0.5,1.0,94,78.28240003436804,unordered_evidence_remainder
test,hotpotqa,5a84c4bb5542991dd0999dec,semantic,native_semantic,0.16666666666666666,0.5,0.5,semantic,native_semantic,0.16666666666666666,0.5,0.5,94,76.48410019464791,unordered_evidence_remainder
