partition,dataset,example_id,model_seed,policy,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta,K_search,K_admit,KV_active,search_cost,output_quality,search_R_E,search_P_E,search_C_E,search_K_over_N,search_K_over_E,admit_recovered,admit_R_E,admit_P_E,admit_C_E,admit_K_over_N,admit_K_over_E,allocation_outcome_physical
test,hotpotqa,5ab2b863554299295394685a,11,fixed_E1,6,2,4,2,1.0,0.5,1,0.6666666666666666,2.0,0.33333333333333337,1.5,4,4,1017.0,20.0,,1.0,0.5,1,0.6666666666666666,2.0,2,1.0,0.5,1,0.6666666666666666,2.0,over_allocation
test,hotpotqa,5ab2b863554299295394685a,23,fixed_E1,6,2,4,2,1.0,0.5,1,0.6666666666666666,2.0,0.33333333333333337,1.5,4,4,1017.0,20.0,,1.0,0.5,1,0.6666666666666666,2.0,2,1.0,0.5,1,0.6666666666666666,2.0,over_allocation
test,hotpotqa,5ab2b863554299295394685a,37,fixed_E1,6,2,4,2,1.0,0.5,1,0.6666666666666666,2.0,0.33333333333333337,1.5,4,4,1017.0,20.0,,1.0,0.5,1,0.6666666666666666,2.0,2,1.0,0.5,1,0.6666666666666666,2.0,over_allocation
test,hotpotqa,5ab2b863554299295394685a,53,fixed_E1,6,2,4,2,1.0,0.5,1,0.6666666666666666,2.0,0.33333333333333337,1.5,4,4,1017.0,20.0,,1.0,0.5,1,0.6666666666666666,2.0,2,1.0,0.5,1,0.6666666666666666,2.0,over_allocation
test,hotpotqa,5ab2b863554299295394685a,71,fixed_E1,6,2,4,1,0.5,0.25,0,0.6666666666666666,2.0,0.33333333333333337,0.75,4,4,1017.0,20.0,,0.5,0.25,0,0.6666666666666666,2.0,1,0.5,0.25,0,0.6666666666666666,2.0,over_allocation
test,hotpotqa,5a710a915542994082a3e504,11,fixed_E1,5,2,4,2,1.0,0.5,1,0.8,2.0,0.19999999999999996,1.25,4,4,896.0,18.0,,1.0,0.5,1,0.8,2.0,2,1.0,0.5,1,0.8,2.0,over_allocation
test,hotpotqa,5a710a915542994082a3e504,23,fixed_E1,5,2,4,1,0.5,0.25,0,0.8,2.0,0.19999999999999996,0.625,4,4,896.0,18.0,,0.5,0.25,0,0.8,2.0,1,0.5,0.25,0,0.8,2.0,action_space_failure
test,hotpotqa,5a710a915542994082a3e504,37,fixed_E1,5,2,4,2,1.0,0.5,1,0.8,2.0,0.19999999999999996,1.25,4,4,896.0,18.0,,1.0,0.5,1,0.8,2.0,2,1.0,0.5,1,0.8,2.0,over_allocation
test,hotpotqa,5a710a915542994082a3e504,53,fixed_E1,5,2,4,2,1.0,0.5,1,0.8,2.0,0.19999999999999996,1.25,4,4,896.0,18.0,,1.0,0.5,1,0.8,2.0,2,1.0,0.5,1,0.8,2.0,over_allocation
test,hotpotqa,5a710a915542994082a3e504,71,fixed_E1,5,2,4,2,1.0,0.5,1,0.8,2.0,0.19999999999999996,1.25,4,4,896.0,18.0,,1.0,0.5,1,0.8,2.0,2,1.0,0.5,1,0.8,2.0,efficient
test,hotpotqa,5adc93a4554299438c868e01,11,fixed_E1,5,3,4,3,1.0,0.75,1,0.8,1.3333333333333333,0.19999999999999996,1.25,4,4,1024.0,18.0,,1.0,0.75,1,0.8,1.3333333333333333,3,1.0,0.75,1,0.8,1.3333333333333333,over_allocation
test,hotpotqa,5adc93a4554299438c868e01,23,fixed_E1,5,3,4,2,0.6666666666666666,0.5,0,0.8,1.3333333333333333,0.19999999999999996,0.8333333333333333,4,4,941.0,18.0,,0.6666666666666666,0.5,0,0.8,1.3333333333333333,2,0.6666666666666666,0.5,0,0.8,1.3333333333333333,over_allocation
test,hotpotqa,5adc93a4554299438c868e01,37,fixed_E1,5,3,4,3,1.0,0.75,1,0.8,1.3333333333333333,0.19999999999999996,1.25,4,4,1024.0,18.0,,1.0,0.75,1,0.8,1.3333333333333333,3,1.0,0.75,1,0.8,1.3333333333333333,over_allocation
test,hotpotqa,5adc93a4554299438c868e01,53,fixed_E1,5,3,4,3,1.0,0.75,1,0.8,1.3333333333333333,0.19999999999999996,1.25,4,4,1024.0,18.0,,1.0,0.75,1,0.8,1.3333333333333333,3,1.0,0.75,1,0.8,1.3333333333333333,over_allocation
test,hotpotqa,5adc93a4554299438c868e01,71,fixed_E1,5,3,4,3,1.0,0.75,1,0.8,1.3333333333333333,0.19999999999999996,1.25,4,4,1024.0,18.0,,1.0,0.75,1,0.8,1.3333333333333333,3,1.0,0.75,1,0.8,1.3333333333333333,over_allocation
test,hotpotqa,5a8888e35542997e5c09a5f6,11,fixed_E1,5,2,4,2,1.0,0.5,1,0.8,2.0,0.19999999999999996,1.25,4,4,978.0,18.0,,1.0,0.5,1,0.8,2.0,2,1.0,0.5,1,0.8,2.0,over_allocation
test,hotpotqa,5a8888e35542997e5c09a5f6,23,fixed_E1,5,2,4,2,1.0,0.5,1,0.8,2.0,0.19999999999999996,1.25,4,4,978.0,18.0,,1.0,0.5,1,0.8,2.0,2,1.0,0.5,1,0.8,2.0,over_allocation
