active_kv_budget,benchmark_seconds_shared,controlled_proxy,examples,matched_budget,method,salient_token_recall,third_party_kernel_used
32,0.04301949997898191,True,200,True,H2O_proxy,0.915,False
32,0.04301949997898191,True,200,True,SnapKV_proxy,1.0,False
32,0.04301949997898191,True,200,True,StreamingLLM_proxy,0.12,False
32,0.04301949997898191,True,200,True,ClusterKV_proxy,0.045,False
32,0.04301949997898191,True,200,True,PRA_native_qk_proxy,1.0,False
64,0.04990039998665452,True,200,True,H2O_proxy,0.945,False
64,0.04990039998665452,True,200,True,SnapKV_proxy,1.0,False
64,0.04990039998665452,True,200,True,StreamingLLM_proxy,0.115,False
64,0.04990039998665452,True,200,True,ClusterKV_proxy,0.09,False
64,0.04990039998665452,True,200,True,PRA_native_qk_proxy,1.0,False
128,0.05734810000285506,True,200,True,H2O_proxy,1.0,False
128,0.05734810000285506,True,200,True,SnapKV_proxy,1.0,False
128,0.05734810000285506,True,200,True,StreamingLLM_proxy,0.24,False
128,0.05734810000285506,True,200,True,ClusterKV_proxy,0.255,False
128,0.05734810000285506,True,200,True,PRA_native_qk_proxy,1.0,False
