dataset,left_parameter,right_parameter,left_value,right_value,count,conditional_surface_fraction
hotpotqa,facets,roots,1,1,49,0.6125
hotpotqa,facets,roots,1,2,14,0.175
hotpotqa,facets,roots,1,4,13,0.1625
hotpotqa,facets,roots,2,2,1,0.0125
hotpotqa,facets,roots,2,4,2,0.025
hotpotqa,facets,roots,4,4,1,0.0125
hotpotqa,roots,neighbors,1,2,33,0.4125
hotpotqa,roots,neighbors,1,4,7,0.0875
hotpotqa,roots,neighbors,1,8,9,0.1125
hotpotqa,roots,neighbors,2,2,13,0.1625
hotpotqa,roots,neighbors,2,4,2,0.025
hotpotqa,roots,neighbors,4,2,16,0.2
hotpotqa,neighbors,hops,2,0,32,0.4
hotpotqa,neighbors,hops,2,1,26,0.325
hotpotqa,neighbors,hops,2,3,4,0.05
hotpotqa,neighbors,hops,4,1,9,0.1125
hotpotqa,neighbors,hops,8,1,9,0.1125
hotpotqa,hops,search_budget,0,2,16,0.2
hotpotqa,hops,search_budget,0,4,16,0.2
hotpotqa,hops,search_budget,1,2,11,0.1375
hotpotqa,hops,search_budget,1,4,20,0.25
hotpotqa,hops,search_budget,1,8,13,0.1625
hotpotqa,hops,search_budget,3,8,4,0.05
qasper,facets,roots,1,1,57,0.7125
qasper,facets,roots,1,2,14,0.175
qasper,facets,roots,1,4,6,0.075
qasper,facets,roots,2,2,2,0.025
qasper,facets,roots,4,4,1,0.0125
qasper,roots,neighbors,1,2,55,0.6875
qasper,roots,neighbors,1,4,2,0.025
qasper,roots,neighbors,2,2,14,0.175
qasper,roots,neighbors,2,4,2,0.025
qasper,roots,neighbors,4,2,7,0.0875
qasper,neighbors,hops,2,0,65,0.8125
qasper,neighbors,hops,2,1,6,0.075
qasper,neighbors,hops,2,2,4,0.05
qasper,neighbors,hops,2,3,1,0.0125
qasper,neighbors,hops,4,1,4,0.05
qasper,hops,search_budget,0,2,58,0.725
qasper,hops,search_budget,0,4,7,0.0875
qasper,hops,search_budget,1,4,8,0.1
qasper,hops,search_budget,1,8,2,0.025
qasper,hops,search_budget,2,8,4,0.05
qasper,hops,search_budget,3,8,1,0.0125
