dataset,parameter,value,count,fraction
hotpotqa,facets,1,76,0.95
hotpotqa,facets,2,3,0.0375
hotpotqa,facets,4,1,0.0125
hotpotqa,roots,1,49,0.6125
hotpotqa,roots,2,15,0.1875
hotpotqa,roots,4,16,0.2
hotpotqa,neighbors,2,62,0.775
hotpotqa,neighbors,4,9,0.1125
hotpotqa,neighbors,8,9,0.1125
hotpotqa,hops,0,32,0.4
hotpotqa,hops,1,44,0.55
hotpotqa,hops,3,4,0.05
hotpotqa,search_budget,2,27,0.3375
hotpotqa,search_budget,4,36,0.45
hotpotqa,search_budget,8,17,0.2125
hotpotqa,kv_budget,2,27,0.3375
hotpotqa,kv_budget,4,36,0.45
hotpotqa,kv_budget,8,17,0.2125
qasper,facets,1,77,0.9625
qasper,facets,2,2,0.025
qasper,facets,4,1,0.0125
qasper,roots,1,57,0.7125
qasper,roots,2,16,0.2
qasper,roots,4,7,0.0875
qasper,neighbors,2,76,0.95
qasper,neighbors,4,4,0.05
qasper,hops,0,65,0.8125
qasper,hops,1,10,0.125
qasper,hops,2,4,0.05
qasper,hops,3,1,0.0125
qasper,search_budget,2,58,0.725
qasper,search_budget,4,15,0.1875
qasper,search_budget,8,7,0.0875
qasper,kv_budget,2,58,0.725
qasper,kv_budget,4,15,0.1875
qasper,kv_budget,8,7,0.0875
