dataset,config_id,rows,chain_complete,conceptual_chain_complete,evidence_kv_recall,evidence_kv_precision,conceptual_evidence_recall,abstract_cost,selected_kv_tokens,transition_comparisons,control_wall_seconds,facets,roots,neighbors,hops,search_budget,kv_budget
hotpotqa,F1_R1_K2_H0_Bs2_Bkv2,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,6.705859375,237.175,0.0,6.0563746956177056e-05,1,1,2,0,2,2
hotpotqa,F1_R1_K2_H0_Bs2_Bkv4,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,6.705859375,237.175,0.0,5.0481254584155975e-05,1,1,2,0,2,4
hotpotqa,F1_R1_K2_H0_Bs2_Bkv8,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,6.705859375,237.175,0.0,4.989625012967736e-05,1,1,2,0,2,8
hotpotqa,F1_R1_K2_H0_Bs4_Bkv2,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,8.705859375,237.175,0.0,5.237999430391937e-05,1,1,2,0,4,2
hotpotqa,F1_R1_K2_H0_Bs4_Bkv4,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,8.705859375,237.175,0.0,4.614501667674631e-05,1,1,2,0,4,4
hotpotqa,F1_R1_K2_H0_Bs4_Bkv8,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,8.705859375,237.175,0.0,4.984624974895269e-05,1,1,2,0,4,8
hotpotqa,F1_R1_K2_H0_Bs8_Bkv2,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,12.705859375,237.175,0.0,4.562248650472611e-05,1,1,2,0,8,2
hotpotqa,F1_R1_K2_H0_Bs8_Bkv4,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,12.705859375,237.175,0.0,4.6736231888644396e-05,1,1,2,0,8,4
hotpotqa,F1_R1_K2_H0_Bs8_Bkv8,80,0.075,0.075,0.20024734448920709,0.4625,0.20024734448920709,12.705859375,237.175,0.0,4.3462493340484795e-05,1,1,2,0,8,8
hotpotqa,F1_R1_K2_H1_Bs2_Bkv2,80,0.2375,0.2375,0.41654511024099783,0.4647389231908967,0.41654511024099783,12.5013671875,480.0875,2.0,0.08033062749018427,1,1,2,1,2,2
hotpotqa,F1_R1_K2_H1_Bs2_Bkv4,80,0.2375,0.2375,0.41654511024099783,0.4647389231908967,0.41654511024099783,12.5013671875,480.0875,2.0,0.0006478375027654693,1,1,2,1,2,4
hotpotqa,F1_R1_K2_H1_Bs2_Bkv8,80,0.2375,0.2375,0.41654511024099783,0.4647389231908967,0.41654511024099783,12.5013671875,480.0875,2.0,0.0006343237735563889,1,1,2,1,2,8
hotpotqa,F1_R1_K2_H1_Bs4_Bkv2,80,0.2375,0.45,0.41654511024099783,0.4647389231908967,0.574884036664246,14.5013671875,480.0875,2.0,0.000790446245810017,1,1,2,1,4,2
hotpotqa,F1_R1_K2_H1_Bs4_Bkv4,80,0.45,0.45,0.574884036664246,0.4202031277303416,0.574884036664246,18.3033203125,723.4125,2.0,0.0007253487448906526,1,1,2,1,4,4
