actual_tokens_after_query,displacement_tokens_requested,method,n,root_recall_at_1,search_effort,span_iou
0.0,0,explicit,24,1.0,8.0,1.0
0.0,0,head,24,1.0,8.0,1.0
0.0,0,structural,24,1.0,8.0,1.0
32.0,32,explicit,24,1.0,8.0,1.0
32.0,32,head,24,0.0,8.0,0.0
32.0,32,structural,24,1.0,8.0,1.0
128.0,128,explicit,24,1.0,8.0,1.0
128.0,128,head,24,0.0,8.0,0.0
128.0,128,structural,24,1.0,8.0,1.0
512.0,512,explicit,24,1.0,8.0,1.0
512.0,512,head,24,0.0,8.0,0.0
512.0,512,structural,24,1.0,8.0,1.0
2048.0,2048,explicit,24,1.0,8.0,1.0
2048.0,2048,head,24,0.0,8.0,0.0
2048.0,2048,structural,24,1.0,8.0,1.0
8192.0,8192,explicit,24,1.0,8.0,1.0
8192.0,8192,head,24,0.0,8.0,0.0
8192.0,8192,structural,24,1.0,8.0,1.0
