added_active_kv,added_search_effort,attempts,correct_to_broken,layout,n,no_change,payload_type,wrong_to_corrected
0.0,0.0,1.0,0.0,L0_context_query,24,1.0,logs,0.0
0.0,0.0,1.0,0.0,L0_context_query,24,1.0,prose,0.0
0.0,0.0,1.0,0.0,L0_context_query,24,1.0,urls,0.0
0.0,8.0,2.0,0.0,L1_query_context,24,0.0,logs,1.0
0.0,8.0,2.0,0.0,L1_query_context,24,0.0,prose,1.0
0.0,8.0,2.0,0.0,L1_query_context,24,0.0,urls,1.0
0.0,8.0,2.0,0.0,L2_context_query_context,24,0.0,logs,1.0
0.0,8.0,2.0,0.0,L2_context_query_context,24,0.0,prose,1.0
0.0,8.0,2.0,0.0,L2_context_query_context,24,0.0,urls,1.0
0.0,0.0,1.0,0.0,L3_instruction_context_query,24,1.0,logs,0.0
0.0,0.0,1.0,0.0,L3_instruction_context_query,24,1.0,prose,0.0
0.0,0.0,1.0,0.0,L3_instruction_context_query,24,1.0,urls,0.0
0.0,8.0,2.0,0.0,L4_query_long_payload,24,0.0,logs,1.0
0.0,8.0,2.0,0.0,L4_query_long_payload,24,0.0,prose,1.0
0.0,8.0,2.0,0.0,L4_query_long_payload,24,0.0,urls,1.0
