active_native_kv,attempts,dataset,effort_cost,example_id,final_effort,initial_effort,initially_correct_broken,initially_wrong_corrected,method,no_change_retry,oracle_recall,partition,quality,routing_seconds,seed
256,1,hotpotqa,8.0,5a710a915542994082a3e504,E0_low,E0_low,0,0,fixed_E0_low,0,0.0,test,0.0,0.0001742999884299934,11
256,1,hotpotqa,28.0,5a710a915542994082a3e504,E1_medium,E1_medium,0,0,fixed_E1_medium,0,0.0,test,0.0,0.0001742999884299934,11
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,fixed_E2_high,0,0.5,test,0.0,0.0002251000260002911,11
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,hand_rule_direct,0,0.5,test,0.0,0.0002251000260002911,11
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,learned_direct,0,0.5,test,0.0,0.0002251000260002911,11
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,hand_rule_retry,0,0.5,test,0,0.0002251000260002911,11
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,learned_retry,0,0.5,test,0,0.0002251000260002911,11
512,3,hotpotqa,156.0,5a710a915542994082a3e504,E2_high,E0_low,0,0,cheap_default_retry,1,0.5,test,0,0.0005737000028602779,11
256,1,hotpotqa,8.0,5a710a915542994082a3e504,E0_low,E0_low,0,0,fixed_E0_low,0,0.0,test,0.0,0.00017420004587620497,23
256,1,hotpotqa,28.0,5a710a915542994082a3e504,E1_medium,E1_medium,0,0,fixed_E1_medium,0,0.0,test,0.0,0.00017989997286349535,23
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,fixed_E2_high,0,0.5,test,0.0,0.00022530002752318978,23
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,hand_rule_direct,0,0.5,test,0.0,0.00022530002752318978,23
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,learned_direct,0,0.5,test,0.0,0.00022530002752318978,23
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,hand_rule_retry,0,0.5,test,0,0.00022530002752318978,23
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,learned_retry,0,0.5,test,0,0.00022530002752318978,23
512,3,hotpotqa,156.0,5a710a915542994082a3e504,E2_high,E0_low,0,0,cheap_default_retry,1,0.5,test,0,0.0005794000462628901,23
256,1,hotpotqa,8.0,5a710a915542994082a3e504,E0_low,E0_low,0,0,fixed_E0_low,0,0.0,test,0.0,0.00017439998919144273,37
256,1,hotpotqa,28.0,5a710a915542994082a3e504,E1_medium,E1_medium,0,0,fixed_E1_medium,0,0.0,test,0.0,0.00017250003293156624,37
512,1,hotpotqa,152.0,5a710a915542994082a3e504,E2_high,E2_high,0,0,fixed_E2_high,0,0.5,test,0.0,0.0003991000121459365,37
