protocol,baseline,feature_ablation,dataset,rows,evidence_recall,precision,mrr,complete_recovery,active_fraction,comparisons,graph_calls,facet_latency_ms,retrieval_latency_ms,callback_invoked,graph_refined,recall_delta_vs_one_shot,corrected_vs_one_shot,harmed_vs_one_shot
lodo_2wikimultihopqa,B0_validation_fixed,default,2wikimultihopqa,120,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,0.0,0.37899585246729356,86.6936875487833,0.0,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0b_structural_graph_fixed,default,2wikimultihopqa,120,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,1.0,29.634308293073747,115.5320791779862,0.0,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B1_one_shot_no_graph,default,2wikimultihopqa,120,0.2086574074074074,0.2604166666666667,0.5424380658172494,0.0,0.10355713981967528,125.625,0.0,0.42353418927329284,87.3103608416083,0.0,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B2_one_shot_graph,default,2wikimultihopqa,120,0.21643518518518517,0.25625,0.5215849804551685,0.0,0.10355713981967528,125.625,0.10833333333333334,3.2924933553052447,89.6380566933658,0.0,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B3_callback_no_graph,compact_state,2wikimultihopqa,120,0.19740740740740742,0.24166666666666667,0.5331417467148958,0.0,0.10355713981967528,125.625,0.0,0.39726752050531405,85.05562915233895,1.0,0.0,-0.01125,0.03333333333333333,0.09166666666666666
lodo_2wikimultihopqa,B4_callback_graph,compact_state,2wikimultihopqa,120,0.20011574074074073,0.23125,0.5217874781209014,0.0,0.10355713981967528,125.625,0.1,3.112583353261774,86.91069083094287,1.0,0.0,-0.016319444444444445,0.016666666666666666,0.08333333333333333
lodo_2wikimultihopqa,B5_conditional_graph,compact_state,2wikimultihopqa,120,0.19740740740740742,0.24166666666666667,0.5331417467148958,0.0,0.10355713981967528,125.625,0.0,0.39726752050531405,85.94208415209626,1.0,0.0,-0.01125,0.03333333333333333,0.09166666666666666
lodo_2wikimultihopqa,B5t_threshold_graph,default,2wikimultihopqa,120,0.2097685185185185,0.26458333333333334,0.5317528578260069,0.0,0.10355713981967528,125.625,0.15,5.067729181610048,90.39896998632078,1.0,0.15,0.0011111111111111111,0.175,0.2
lodo_2wikimultihopqa,B6_complete_action_oracle,default,2wikimultihopqa,120,0.40868055555555555,0.4895833333333333,0.7480835137085137,0.0,0.10355713981967528,125.625,0.041666666666666664,1.726637516791622,96.69626249039236,0.0,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B7_stagewise_oracle,default,2wikimultihopqa,120,0.40868055555555555,0.4895833333333333,0.7480835137085137,0.0,0.10355713981967528,125.625,0.041666666666666664,1.726637516791622,96.69626249039236,1.0,0.041666666666666664,0.0,0.0,0.0
lodo_hotpotqa,B0_validation_fixed,default,hotpotqa,80,0.3327380952380953,0.375,0.5935290404040404,0.0,0.08832048041809042,150.375,0.0,0.5071750056231394,143.21853754518088,0.0,0.0,0.0,0.0,0.0
lodo_hotpotqa,B0b_structural_graph_fixed,default,hotpotqa,80,0.3327380952380953,0.375,0.5935290404040404,0.0,0.08832048041809042,150.375,1.0,33.53404998779297,171.4844125235686,0.0,0.0,0.0,0.0,0.0
lodo_hotpotqa,B1_one_shot_no_graph,default,hotpotqa,80,0.2628869047619048,0.3,0.6658491161616162,0.0,0.08832048041809042,150.375,0.0,0.5071750056231394,119.55472876143176,0.0,0.0,0.0,0.0,0.0
