cost,cost_regret,dataset,example_id,joint_exact,mean_head_accuracy,model_seed,oracle_cost,oracle_level,oracle_profile,oracle_quality,overprediction,quality,quality_regret,router_latency_seconds,seed,selected_level,selected_profile,underprediction,variant
152.0,0.0,hotpotqa,5a710a915542994082a3e504,1,1.0,11,152.0,2,E2_high,0.0,0,0.0,0.0,0.0009966000216081738,1,2,E2_high,0,R3A_autoregressive
8.0,-144.0,hotpotqa,5a710a915542994082a3e504,0,0.0,23,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008647000649943948,1,0,E0_low,1,R3A_autoregressive
152.0,0.0,hotpotqa,5a710a915542994082a3e504,1,1.0,37,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008584000170230865,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a710a915542994082a3e504,1,1.0,53,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008420000085607171,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a710a915542994082a3e504,1,1.0,71,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008379999781027436,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a80d6be55429938b6142206,1,1.0,11,152.0,2,E2_high,0.0,0,0.0,0.0,0.0020502000115811825,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a80d6be55429938b6142206,1,1.0,23,152.0,2,E2_high,0.0,0,0.0,0.0,0.000949900015257299,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a80d6be55429938b6142206,1,1.0,37,152.0,2,E2_high,0.0,0,0.0,0.0,0.0015981000615283847,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a80d6be55429938b6142206,1,1.0,53,152.0,2,E2_high,0.0,0,0.0,0.0,0.0011679999297484756,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a80d6be55429938b6142206,1,1.0,71,152.0,2,E2_high,0.0,0,0.0,0.0,0.0010637999512255192,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,1,1.0,11,152.0,2,E2_high,1.0,0,1.0,0.0,0.001046599936671555,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,1,1.0,23,152.0,2,E2_high,0.0,0,0.0,0.0,0.000929499976336956,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,1,1.0,37,152.0,2,E2_high,0.0,0,0.0,0.0,0.0009945000056177378,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,1,1.0,53,152.0,2,E2_high,0.0,0,0.0,0.0,0.0010347000788897276,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8888e35542997e5c09a5f6,1,1.0,71,152.0,2,E2_high,0.0,0,0.0,0.0,0.0009875999530777335,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8c8502554299585d9e36d0,1,1.0,11,152.0,2,E2_high,1.0,0,1.0,0.0,0.0009850000496953726,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8c8502554299585d9e36d0,1,1.0,23,152.0,2,E2_high,1.0,0,1.0,0.0,0.0009830000344663858,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8c8502554299585d9e36d0,1,1.0,37,152.0,2,E2_high,1.0,0,1.0,0.0,0.0009831999195739627,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5a8c8502554299585d9e36d0,1,1.0,53,152.0,2,E2_high,1.0,0,1.0,0.0,0.0009528000373393297,1,2,E2_high,0,R3A_autoregressive
152.0,144.0,hotpotqa,5a8c8502554299585d9e36d0,0,0.0,71,8.0,0,E0_low,1.0,1,1.0,0.0,0.000838399981148541,1,2,E2_high,0,R3A_autoregressive
152.0,124.0,hotpotqa,5ab2b863554299295394685a,0,0.0,11,28.0,1,E1_medium,1.0,1,1.0,0.0,0.0013907999964430928,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5ab2b863554299295394685a,1,1.0,23,152.0,2,E2_high,0.0,0,0.0,0.0,0.00172330008354038,1,2,E2_high,0,R3A_autoregressive
152.0,144.0,hotpotqa,5ab2b863554299295394685a,0,0.0,37,8.0,0,E0_low,1.0,1,1.0,0.0,0.0008728000102564692,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5ab2b863554299295394685a,1,1.0,53,152.0,2,E2_high,1.0,0,1.0,0.0,0.0008498999522998929,1,2,E2_high,0,R3A_autoregressive
152.0,124.0,hotpotqa,5ab2b863554299295394685a,0,0.0,71,28.0,1,E1_medium,1.0,1,1.0,0.0,0.0008426998974755406,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5ab88c075542991b5579efbe,1,1.0,11,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008569000056013465,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5ab88c075542991b5579efbe,1,1.0,23,152.0,2,E2_high,1.0,0,1.0,0.0,0.0008820999646559358,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5ab88c075542991b5579efbe,1,1.0,37,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008403999963775277,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5ab88c075542991b5579efbe,1,1.0,53,152.0,2,E2_high,1.0,0,1.0,0.0,0.0008378999773412943,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5ab88c075542991b5579efbe,1,1.0,71,152.0,2,E2_high,1.0,0,1.0,0.0,0.0008454999187961221,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5adc93a4554299438c868e01,1,1.0,11,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008364999666810036,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5adc93a4554299438c868e01,1,1.0,23,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008365000830963254,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5adc93a4554299438c868e01,1,1.0,37,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008357000770047307,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5adc93a4554299438c868e01,1,1.0,53,152.0,2,E2_high,0.0,0,0.0,0.0,0.002058900077827275,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,hotpotqa,5adc93a4554299438c868e01,1,1.0,71,152.0,2,E2_high,0.0,0,0.0,0.0,0.0017053000628948212,1,2,E2_high,0,R3A_autoregressive
8.0,-144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,0,0.0,11,152.0,2,E2_high,1.0,0,0.0,1.0,0.0010306000476703048,1,0,E0_low,1,R3A_autoregressive
152.0,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,0,0.0,23,8.0,0,E0_low,1.0,1,1.0,0.0,0.0008582000155001879,1,2,E2_high,0,R3A_autoregressive
8.0,0.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,1,1.0,37,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008373000891879201,1,0,E0_low,0,R3A_autoregressive
152.0,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,0,0.0,53,8.0,0,E0_low,1.0,1,1.0,0.0,0.0008382999803870916,1,2,E2_high,0,R3A_autoregressive
152.0,144.0,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,0,0.0,71,8.0,0,E0_low,1.0,1,1.0,0.0,0.00083430006634444,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,1,1.0,11,152.0,2,E2_high,0.0,0,0.0,0.0,0.0010054000886157155,1,2,E2_high,0,R3A_autoregressive
8.0,-144.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,0,0.0,23,152.0,2,E2_high,1.0,0,0.0,1.0,0.0008474000496789813,1,0,E0_low,1,R3A_autoregressive
152.0,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,1,1.0,37,152.0,2,E2_high,1.0,0,1.0,0.0,0.0008691999828442931,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,1,1.0,53,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008325999369844794,1,2,E2_high,0,R3A_autoregressive
152.0,0.0,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,1,1.0,71,152.0,2,E2_high,0.0,0,0.0,0.0,0.0008379999781027436,1,2,E2_high,0,R3A_autoregressive
8.0,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,1,1.0,11,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008373000891879201,1,0,E0_low,0,R3A_autoregressive
152.0,144.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,0,0.0,23,8.0,0,E0_low,1.0,1,1.0,0.0,0.0008336000610142946,1,2,E2_high,0,R3A_autoregressive
8.0,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,1,1.0,37,8.0,0,E0_low,1.0,0,1.0,0.0,0.000837799976579845,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,1,1.0,53,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008337999461218715,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,1,1.0,71,8.0,0,E0_low,1.0,0,1.0,0.0,0.0016195999924093485,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,1,1.0,11,8.0,0,E0_low,1.0,0,1.0,0.0,0.0013688000617548823,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,1,1.0,23,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008196999551728368,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,1,1.0,37,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008033000631257892,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,1,1.0,53,8.0,0,E0_low,1.0,0,1.0,0.0,0.0007974999025464058,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,1,1.0,71,8.0,0,E0_low,1.0,0,1.0,0.0,0.0007928000995889306,1,0,E0_low,0,R3A_autoregressive
28.0,20.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0,0.0,11,8.0,0,E0_low,1.0,1,1.0,0.0,0.0008520999690517783,1,1,E1_medium,0,R3A_autoregressive
8.0,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,1,1.0,23,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008409000001847744,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,1,1.0,37,8.0,0,E0_low,1.0,0,1.0,0.0,0.000843399902805686,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,1,1.0,53,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008357999613508582,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,1,1.0,71,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008414000039920211,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,1,1.0,11,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008452000329270959,1,0,E0_low,0,R3A_autoregressive
8.0,0.0,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,1,1.0,23,8.0,0,E0_low,1.0,0,1.0,0.0,0.0008403999963775277,1,0,E0_low,0,R3A_autoregressive
