dataset,example_id,policy,N,E,K_search,K_admit,search_K_over_N,admit_K_over_N,search_R_E,admit_R_E,KV_active
hotpotqa,5ab2b863554299295394685a,fixed_E1,6,2,4,4,0.6666666666666666,0.6666666666666666,1.0,1.0,1017.0
hotpotqa,5ab2b863554299295394685a,fixed_E1,6,2,4,4,0.6666666666666666,0.6666666666666666,1.0,1.0,1017.0
hotpotqa,5ab2b863554299295394685a,fixed_E1,6,2,4,4,0.6666666666666666,0.6666666666666666,1.0,1.0,1017.0
hotpotqa,5ab2b863554299295394685a,fixed_E1,6,2,4,4,0.6666666666666666,0.6666666666666666,1.0,1.0,1017.0
hotpotqa,5ab2b863554299295394685a,fixed_E1,6,2,4,4,0.6666666666666666,0.6666666666666666,0.5,0.5,1017.0
hotpotqa,5a710a915542994082a3e504,fixed_E1,5,2,4,4,0.8,0.8,1.0,1.0,896.0
hotpotqa,5a710a915542994082a3e504,fixed_E1,5,2,4,4,0.8,0.8,0.5,0.5,896.0
hotpotqa,5a710a915542994082a3e504,fixed_E1,5,2,4,4,0.8,0.8,1.0,1.0,896.0
hotpotqa,5a710a915542994082a3e504,fixed_E1,5,2,4,4,0.8,0.8,1.0,1.0,896.0
hotpotqa,5a710a915542994082a3e504,fixed_E1,5,2,4,4,0.8,0.8,1.0,1.0,896.0
hotpotqa,5adc93a4554299438c868e01,fixed_E1,5,3,4,4,0.8,0.8,1.0,1.0,1024.0
hotpotqa,5adc93a4554299438c868e01,fixed_E1,5,3,4,4,0.8,0.8,0.6666666666666666,0.6666666666666666,941.0
hotpotqa,5adc93a4554299438c868e01,fixed_E1,5,3,4,4,0.8,0.8,1.0,1.0,1024.0
hotpotqa,5adc93a4554299438c868e01,fixed_E1,5,3,4,4,0.8,0.8,1.0,1.0,1024.0
hotpotqa,5adc93a4554299438c868e01,fixed_E1,5,3,4,4,0.8,0.8,1.0,1.0,1024.0
hotpotqa,5a8888e35542997e5c09a5f6,fixed_E1,5,2,4,4,0.8,0.8,1.0,1.0,978.0
