representation,dataset,quality,retrieval_cost,total_cost,oracle_regret,under_allocation,over_allocation,prefill_cost,prefill_latency_seconds,rows
S0_observable,hotpotqa,0.7028571428571428,32.941071428571426,32.941071428571426,12.959375,0.29714285714285715,0.7028571428571428,0.0,0.0,175
S0_observable,qasper,0.7,22.769791666666666,22.769791666666666,12.340625,0.13333333333333333,0.5066666666666667,0.0,0.0,150
S1_signed_hash,hotpotqa,0.5657142857142857,28.60875,28.60875,8.627053571428572,0.4342857142857143,0.5485714285714286,0.0,0.0,175
S1_signed_hash,qasper,0.66,21.935416666666665,21.935416666666665,11.50625,0.17333333333333334,0.4,0.0,0.0,150
S2_embed_last,hotpotqa,0.6457142857142857,31.349285714285713,31.37224489795918,11.390548469387754,0.35428571428571426,0.6457142857142857,0.02295918367346939,1.4226285740733147e-05,175
S2_embed_last,qasper,0.6933333333333334,22.315625,22.33134300595238,11.902176339285715,0.14,0.4866666666666667,0.015718005952380952,1.6416000047077735e-05,150
S2_embed_mean,hotpotqa,0.7657142857142857,34.70142857142857,34.724387755102036,14.742691326530613,0.2342857142857143,0.7657142857142857,0.02295918367346939,1.4226285740733147e-05,175
S2_embed_mean,qasper,0.66,15.233020833333333,15.248738839285712,4.819572172619047,0.17333333333333334,0.32,0.015718005952380952,1.6416000047077735e-05,150
S3_hidden_l4_mean,hotpotqa,0.7142857142857143,33.67383928571429,33.765676020408165,13.783979591836735,0.2857142857142857,0.7142857142857143,0.09183673469387756,0.019347309385027205,175
S3_hidden_l4_mean,qasper,0.6733333333333333,19.7959375,19.858809523809523,9.429642857142857,0.16,0.44666666666666666,0.06287202380952381,0.01794491736094157,150
S3_hidden_l7_mean,hotpotqa,0.7142857142857143,33.57,33.730714285714285,13.749017857142857,0.2857142857142857,0.7085714285714285,0.16071428571428573,0.03196169580732073,175
S3_hidden_l7_mean,qasper,0.68,19.329375,19.439401041666667,9.010234375,0.15333333333333332,0.48,0.11002604166666667,0.029544645309448246,150
S4_hidden_l14_last,hotpotqa,0.6514285714285715,32.433839285714285,32.755267857142854,12.773571428571428,0.3485714285714286,0.6514285714285715,0.32142857142857145,0.06146881375994001,175
S4_hidden_l14_last,qasper,0.66,16.817604166666666,17.03765625,6.608489583333333,0.17333333333333334,0.3466666666666667,0.22005208333333334,0.05667878405253093,150
S4_hidden_l14_mean,hotpotqa,0.6342857142857142,32.19857142857143,32.52,12.538303571428571,0.3657142857142857,0.6342857142857142,0.32142857142857145,0.06146881375994001,175
S4_hidden_l14_mean,qasper,0.7,19.788333333333334,20.008385416666666,9.57921875,0.13333333333333333,0.47333333333333333,0.22005208333333334,0.05667878405253093,150
S4_hidden_l18_mean,hotpotqa,0.6,31.25357142857143,31.666836734693877,11.685140306122449,0.4,0.6,0.413265306122449,0.07841772024972099,175
S4_hidden_l18_mean,qasper,0.6533333333333333,19.768229166666668,20.051153273809522,9.621986607142858,0.18,0.4533333333333333,0.28292410714285715,0.07219793701171874,150
S5_hidden_l28_last,hotpotqa,0.5657142857142857,29.3,29.942857142857143,9.961160714285715,0.4342857142857143,0.5657142857142857,0.6428571428571429,0.12034934561593191,175
S5_hidden_l28_last,qasper,0.64,14.6446875,15.084791666666666,4.655625,0.19333333333333333,0.3,0.4401041666666667,0.11105598958333333,150
S5_hidden_l28_mean,hotpotqa,0.5428571428571428,30.36375,31.006607142857142,11.024910714285713,0.45714285714285713,0.5428571428571428,0.6428571428571429,0.12034934561593191,175
S5_hidden_l28_mean,qasper,0.6266666666666667,17.96677083333333,18.406875,7.977708333333333,0.20666666666666667,0.3466666666666667,0.4401041666666667,0.11105598958333333,150
S6_native_q_l13_mean,hotpotqa,0.6742857142857143,32.88857142857143,33.21,13.22830357142857,0.32571428571428573,0.6742857142857143,0.32142857142857145,0.06146881375994001,175
S6_native_q_l13_mean,qasper,0.68,20.523645833333333,20.743697916666665,10.31453125,0.15333333333333332,0.4666666666666667,0.22005208333333334,0.05667878405253093,150
S6_native_q_l23_mean,hotpotqa,0.6228571428571429,31.74517857142857,32.296198979591836,12.314502551020409,0.37714285714285717,0.6228571428571429,0.5510204081632654,0.10353081948416573,175
