dataset,profile,geometry,n,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_sd,gold_mean_logprob_delta_vs_none_ci_low,gold_mean_logprob_delta_vs_none_ci_high,gold_first_token_rank_mean,gold_first_token_rank_sd,evidence_attention_mass_mean,evidence_attention_mass_sd,memory_attention_mass_mean,memory_attention_mass_sd,residual_divergence_mean_mean,residual_divergence_mean_sd,residual_divergence_final_mean,residual_divergence_final_sd,native_kv_token_states_mean,native_kv_token_states_sd,native_kv_bytes_mean,native_kv_bytes_sd,materialized_unique_tokens_mean,materialized_unique_tokens_sd,teacher_forced_seconds_mean,teacher_forced_seconds_sd,consumer_layer_count,consumer_layer_fraction
2wikimultihopqa,all,exact_core,16,-6.35851764898689,5.098768697866088,-8.907361358651542,-3.8625320649007335,58892.8125,42939.67501801037,0.17397305969149915,0.24959578932139667,0.17397305969149915,0.24959578932139667,0.30053231306374073,0.1781502943800551,0.5444848760962486,0.32592279979376354,2219.0,1046.7048294528884,9089024.0,4287302.981439031,79.25,37.38231533760315,0.511012768765795,0.04583120327091986,28,1.0
2wikimultihopqa,all,expanded_window,16,-5.114854393163114,4.972202721125435,-7.571128309791675,-2.8213307704863837,46075.5625,43118.54456606918,0.17481650741121615,0.2457316792094457,0.24342450610892488,0.26680113196690286,0.2411575639354331,0.18981550204693715,0.45079490169882774,0.34348902374363105,2478.0,1124.2793247231757,10149888.0,4605048.114066128,88.5,40.152833025827704,0.5209243874996901,0.051775205861739164,28,1.0
2wikimultihopqa,all,full_selected_record,16,-2.289655717657297,4.837840251638232,-4.704266491098679,-0.043410043232142925,30162.6875,41257.469546008804,0.1574281496276139,0.2236990816489846,0.3579897129097195,0.26638391151592067,0.1688645440819008,0.1780215095551281,0.3107859417796135,0.31478956491721927,4144.0,1702.2526251999143,16973824.0,6972426.752818849,148.0,60.794736614282655,0.48122568128746934,0.0626811335989338,28,1.0
2wikimultihopqa,all,whole_parent,16,-2.289655717657297,4.837840251638232,-4.821782565850299,0.02694266932667233,30162.6875,41257.469546008804,0.1574281496276139,0.2236990816489846,0.3579897129097195,0.26638391151592067,0.1688645440819008,0.1780215095551281,0.3107859417796135,0.31478956491721927,4144.0,1702.2526251999143,16973824.0,6972426.752818849,148.0,60.794736614282655,0.5007241062703542,0.07704099574987812,28,1.0
2wikimultihopqa,even_8,exact_core,16,-0.7562470298780681,3.0628983477421152,-2.438839554786682,0.32706593770490144,11289.4375,33819.375088417786,0.13206614382897897,0.17596517298947845,0.13206614382897897,0.17596517298947845,0.04647503886371851,0.11284213602780511,0.09396549314260483,0.22355903350231549,634.0,299.0585227008252,2596864.0,1224943.70898258,79.25,37.38231533760315,0.30425184380146675,0.03950447209554465,8,0.2857142857142857
2wikimultihopqa,even_8,expanded_window,16,-1.4679172181186004,3.5651714266126824,-3.4008170133565727,0.04572986112907529,19144.75,43927.31781804462,0.14487670312610135,0.2110242612185728,0.18867000581713,0.21306750781586747,0.07195685364838157,0.12800970710106865,0.15751765668392181,0.2624144429876608,708.0,321.22266420662163,2899968.0,1315728.0325903222,88.5,40.152833025827704,0.287936418724712,0.03245509877802351,8,0.2857142857142857
2wikimultihopqa,even_8,full_selected_record,16,-2.6140280217259715,5.597463171111991,-5.67115776663195,-0.2084147139066772,30183.125,54387.24252280469,0.13310550021458312,0.2039174298526116,0.28828003602757235,0.23070711265221316,0.09468494315764733,0.15378987368213745,0.19719674810767174,0.326055895090242,1184.0,486.35789291426124,4849664.0,1992121.929376814,148.0,60.794736614282655,0.3005877874820726,0.050680152927360306,8,0.2857142857142857
2wikimultihopqa,even_8,whole_parent,16,-2.6140280217259715,5.597463171111991,-5.807959212004789,-0.17668840390979312,30183.125,54387.24252280469,0.13310550021458312,0.2039174298526116,0.28828003602757235,0.23070711265221316,0.09468494315764733,0.15378987368213745,0.19719674810767174,0.326055895090242,1184.0,486.35789291426124,4849664.0,1992121.929376814,148.0,60.794736614282655,0.3094981500180438,0.04367506184589402,8,0.2857142857142857
2wikimultihopqa,last_14,exact_core,16,0.9979296168603469,1.3513414859664505,0.3832902209687745,1.6733080244157463,25.9375,51.92358417665329,0.14707148660558492,0.18250993006693575,0.14707148660558492,0.18250993006693575,0.0034829954217587195,0.004887842273152203,0.02050665020942688,0.024760312746888384,1109.5,523.3524147264442,4544512.0,2143651.4907195154,79.25,37.38231533760315,0.36041948750789743,0.03429194921304922,14,0.5
2wikimultihopqa,last_14,expanded_window,16,1.016361491929274,1.3498705692063615,0.40704309655120596,1.713617113797227,25.375,50.57651999693138,0.14708913103199198,0.18233996390677257,0.1931871232913441,0.18767500936112191,0.0038138568135244505,0.004749199717784428,0.022196337580680847,0.023945887946156704,1239.0,562.1396623615879,5074944.0,2302524.057033064,88.5,40.152833025827704,0.36772501876112074,0.029454597886997464,14,0.5
