address_layers,attention_entropy,condition,consumer_layer_count,consumer_layer_fraction,consumer_layers,cross_shard_interval_count,dataset,detail_kv_layers,evidence_attention_mass,example_id,geometry,gold_first_token_probability,gold_first_token_rank,gold_mean_logprob_delta_vs_none,gold_mean_token_logprob,gold_sequence_logprob,interval_resolution_seconds,logical_gather_seconds,logical_h2d_seconds,materialized_unique_tokens,memory_attention_mass,native_kv_bytes,native_kv_token_states,non_evidence_attention_mass,position_mode,profile,query_position_offset,radius,residual_divergence_by_layer,residual_divergence_final,residual_divergence_mean,routing_layers,source_tokens,teacher_forced_seconds
[27],1.8702532393591744,whole_parent__all,28,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.6538943097527538,2hop__10114_599630,whole_parent,4.8917449021246284e-05,7,2.5822153091430664,-2.077983856201172,-10.38991928100586,0.0,0.07065080013126135,0.035934699699282646,224,0.6739387125042933,25690112.0,6272,0.020044403119495006,corrected,all,2686,,"[0.0002593994140625, 0.0011228322982788086, 0.010034382343292236, 0.01867455244064331, 0.025295257568359375, 0.03847604990005493, 0.039431214332580566, 0.08749985694885254, 0.07757222652435303, 0.07566678524017334, 0.09224176406860352, 0.09701162576675415, 0.09844136238098145, 0.12533003091812134, 0.07276582717895508, 0.084941565990448, 0.09677618741989136, 0.09361851215362549, 0.10418051481246948, 0.12204188108444214, 0.11238682270050049, 0.1241188645362854, 0.11767452955245972, 0.13053709268569946, 0.11774259805679321, 0.07828295230865479, 0.0746225118637085, 0.14461493492126465]",0.14461493492126465,0.08076293340751103,[27],2686,0.8052540000062436
[27],2.044317051768303,whole_parent__last_24,24,0.8571428571428571,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.5219276969631513,2hop__10114_599630,whole_parent,8.224733028328046e-05,11,2.608978033065796,-2.0512211322784424,-10.256105422973633,0.0,0.049742299830541015,0.025635300436988473,224,0.5425734284023443,22020096.0,5376,0.020645726857765112,corrected,last_24,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.006313443183898926, 0.011990010738372803, 0.009737551212310791, 0.012024760246276855, 0.014652490615844727, 0.019667744636535645, 0.017299413681030273, 0.018011927604675293, 0.02048468589782715, 0.02926051616668701, 0.02668982744216919, 0.0352291464805603, 0.03953272104263306, 0.04457056522369385, 0.04611176252365112, 0.054993391036987305, 0.04736518859863281, 0.051048219203948975, 0.04917556047439575, 0.05537605285644531, 0.05017119646072388, 0.03595709800720215, 0.03636819124221802, 0.06723892688751221]",0.06723892688751221,0.028545386024883816,[27],2686,0.5126171999145299
[27],2.024773198366165,whole_parent__last_20,20,0.7142857142857143,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.5219512701034545,2hop__10114_599630,whole_parent,0.00014856262714602053,10,2.389446258544922,-2.2707529067993164,-11.353764533996582,0.0,0.04260700033046305,0.02177759981714189,224,0.5422880187630653,18350080.0,4480,0.020336758885241578,corrected,last_20,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 2.980232238769531e-07, 1.1920928955078125e-07, 0.0, 0.004259347915649414, 0.008032679557800293, 0.008275747299194336, 0.008157312870025635, 0.009229481220245361, 0.012390434741973877, 0.012190282344818115, 0.015477240085601807, 0.017074227333068848, 0.02052837610244751, 0.022064507007598877, 0.027747511863708496, 0.02373206615447998, 0.023665189743041992, 0.021953463554382324, 0.022864162921905518, 0.02105921506881714, 0.01678001880645752, 0.01760268211364746, 0.03809988498687744]",0.03809988498687744,0.012542309505598885,[27],2686,0.4253699001856148
[27],1.9238380938768387,whole_parent__last_16,16,0.5714285714285714,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.5420020371675491,2hop__10114_599630,whole_parent,0.00039581547025591135,13,1.455747365951538,-3.2044517993927,-16.022258758544922,0.0,0.0447847000323236,0.023665999993681908,224,0.5576780494302511,14680064.0,3584,0.015676007024012506,corrected,last_16,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 2.980232238769531e-07, 1.1920928955078125e-07, 0.0, 0.0, 2.980232238769531e-07, 5.960464477539063e-08, 0.0, 0.001759648323059082, 0.0031586885452270508, 0.0038403868675231934, 0.006271064281463623, 0.0069310665130615234, 0.009884178638458252, 0.010071158409118652, 0.010913252830505371, 0.009360969066619873, 0.009229898452758789, 0.009424924850463867, 0.009925901889801025, 0.009901225566864014, 0.008149206638336182, 0.009292364120483398, 0.022336840629577637]",0.022336840629577637,0.0050161417041506085,[27],2686,0.42168509983457625
[27],1.8316274796213423,whole_parent__last_14,14,0.5,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.5553969889879227,2hop__10114_599630,whole_parent,0.0006798963877372444,18,1.5969135761260986,-3.0632855892181396,-15.316428184509277,0.0,0.03054839908145368,0.016162800136953592,224,0.5688284124646869,12845056.0,3136,0.013431428172875062,corrected,last_14,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 2.980232238769531e-07, 1.1920928955078125e-07, 0.0, 0.0, 2.980232238769531e-07, 5.960464477539063e-08, 0.0, 5.960464477539063e-08, 2.980232238769531e-07, 0.0020563602447509766, 0.004363715648651123, 0.005221068859100342, 0.00865083932876587, 0.009251415729522705, 0.009951233863830566, 0.008713126182556152, 0.008780062198638916, 0.008915185928344727, 0.009179830551147461, 0.009140491485595703, 0.007622838020324707, 0.008678257465362549, 0.02222001552581787]",0.02222001552581787,0.004383785384041923,[27],2686,0.5241378000937402
[27],1.7769468824068706,whole_parent__last_12,12,0.42857142857142855,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.5715294008453687,2hop__10114_599630,whole_parent,0.0006042988388799131,17,1.5889170169830322,-3.071282148361206,-15.35641098022461,0.0,0.020149200223386288,0.008693001000210643,224,0.5843441883722941,11010048.0,2688,0.012814769848773722,corrected,last_12,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 2.980232238769531e-07, 1.1920928955078125e-07, 0.0, 0.0, 2.980232238769531e-07, 5.960464477539063e-08, 0.0, 5.960464477539063e-08, 2.980232238769531e-07, 0.0, 5.960464477539063e-08, 0.0023819804191589355, 0.006150603294372559, 0.007034182548522949, 0.008316218852996826, 0.007900714874267578, 0.007927298545837402, 0.008261501789093018, 0.008567094802856445, 0.00859159231185913, 0.007096707820892334, 0.008363485336303711, 0.02088940143585205]",0.02088940143585205,0.0036243711199079242,[27],2686,0.36238990002311766
[27],1.5717404633760452,whole_parent__last_8,8,0.2857142857142857,"[20, 21, 22, 23, 24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.6069726273417473,2hop__10114_599630,whole_parent,0.0003567876701708883,19,1.272819995880127,-3.3873791694641113,-16.9368953704834,0.0,0.015133800217881799,0.007877100259065628,224,0.6167775765061378,7340032.0,1792,0.009804940993490163,corrected,last_8,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 2.980232238769531e-07, 1.1920928955078125e-07, 0.0, 0.0, 2.980232238769531e-07, 5.960464477539063e-08, 0.0, 5.960464477539063e-08, 2.980232238769531e-07, 0.0, 5.960464477539063e-08, 2.384185791015625e-07, 1.7881393432617188e-07, 0.0, 1.1920928955078125e-07, 0.00258791446685791, 0.004137217998504639, 0.005803942680358887, 0.006759464740753174, 0.006920754909515381, 0.00597691535949707, 0.006828784942626953, 0.01638162136077881]",0.01638162136077881,0.0019785272223608835,[27],2686,0.2847011999692768
[27],1.4873636066913605,whole_parent__last_4,4,0.14285714285714285,"[24, 25, 26, 27]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.613359123468399,2hop__10114_599630,whole_parent,0.0004199057584628463,9,0.8312535285949707,-3.8289456367492676,-19.14472770690918,0.0,0.009790100157260895,0.00573329976759851,224,0.6199831962585449,3670016.0,896,0.0066240779851796106,corrected,last_4,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 2.980232238769531e-07, 1.1920928955078125e-07, 0.0, 0.0, 2.980232238769531e-07, 5.960464477539063e-08, 0.0, 5.960464477539063e-08, 2.980232238769531e-07, 0.0, 5.960464477539063e-08, 2.384185791015625e-07, 1.7881393432617188e-07, 0.0, 1.1920928955078125e-07, 0.0, 2.384185791015625e-07, 2.384185791015625e-07, 0.0, 0.0010106563568115234, 0.0014615058898925781, 0.002196073532104492, 0.00853639841079712]",0.00853639841079712,0.00047168774264199395,[27],2686,0.27733239997178316
[27],1.3194575309753418,whole_parent__last_1,1,0.03571428571428571,[27],0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.6030787825584412,2hop__10114_599630,whole_parent,8.959594561019912e-05,16,0.04831695556640625,-4.611882209777832,-23.059410095214844,0.0,0.0017538000829517841,0.000781400129199028,224,0.6032976508140564,917504.0,224,0.0002188645303249359,corrected,last_1,2686,,"[1.1920928955078125e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 2.980232238769531e-07, 1.1920928955078125e-07, 0.0, 0.0, 2.980232238769531e-07, 5.960464477539063e-08, 0.0, 5.960464477539063e-08, 2.980232238769531e-07, 0.0, 5.960464477539063e-08, 2.384185791015625e-07, 1.7881393432617188e-07, 0.0, 1.1920928955078125e-07, 0.0, 2.384185791015625e-07, 2.384185791015625e-07, 0.0, 5.960464477539063e-08, 0.0, 0.0, 0.005558490753173828]",0.005558490753173828,0.0001986133200781686,[27],2686,0.26476849988102913
[27],1.9257684350013733,whole_parent__early_4,4,0.14285714285714285,"[0, 1, 2, 3]",0.0,musique,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.30071105249226093,2hop__10114_599630,whole_parent,4.754481253144149e-09,97316,-11.85408878326416,-16.5142879486084,-82.57144165039062,0.0,0.008303500013425946,0.00421059993095696,224,0.3152525695040822,3670016.0,896,0.014541490119881928,corrected,early_4,2686,,"[0.0002593994140625, 0.0011228322982788086, 0.010034382343292236, 0.01867455244064331, 0.07951962947845459, 0.21876561641693115, 0.2681621313095093, 0.2510445713996887, 0.31247448921203613, 0.32801002264022827, 0.3367006182670593, 0.31178373098373413, 0.36131733655929565, 0.35067814588546753, 0.3492954969406128, 0.4926028251647949, 0.49166202545166016, 0.49148768186569214, 0.5689792633056641, 0.546027421951294, 0.5396436452865601, 0.537506103515625, 0.5144017338752747, 0.5452373623847961, 0.5185117721557617, 0.5372017621994019, 0.5656263828277588, 0.7023027539253235]",0.7023027539253235,0.3660369174821036,[27],2686,0.28196740010753274
