dataset,profile,geometry,layer,n,residual_divergence_mean,residual_divergence_sd
2wikimultihopqa,all,exact_core,0,16,0.0004933401942253113,0.00047510712136342566
2wikimultihopqa,all,exact_core,1,16,0.0011166781187057495,0.0006696554778638675
2wikimultihopqa,all,exact_core,2,16,0.0055339038372039795,0.003020851392172805
2wikimultihopqa,all,exact_core,3,16,0.06703579798340797,0.038856771246523536
2wikimultihopqa,all,exact_core,4,16,0.08503692969679832,0.04726714946076954
2wikimultihopqa,all,exact_core,5,16,0.17352494597434998,0.09894848688755811
2wikimultihopqa,all,exact_core,6,16,0.1785377524793148,0.1043092171486223
2wikimultihopqa,all,exact_core,7,16,0.20181714370846748,0.11914783451872069
2wikimultihopqa,all,exact_core,8,16,0.2465163990855217,0.14033717392841624
2wikimultihopqa,all,exact_core,9,16,0.24203049391508102,0.14003042636206464
2wikimultihopqa,all,exact_core,10,16,0.23866982385516167,0.13742472743417386
2wikimultihopqa,all,exact_core,11,16,0.2367960400879383,0.13901596839728272
2wikimultihopqa,all,exact_core,12,16,0.24549128115177155,0.1401169754848781
2wikimultihopqa,all,exact_core,13,16,0.25777072086930275,0.14885791638934998
2wikimultihopqa,all,exact_core,14,16,0.25344010442495346,0.15402840316887537
2wikimultihopqa,all,exact_core,15,16,0.3709309548139572,0.21923782563738145
2wikimultihopqa,all,exact_core,16,16,0.40810010582208633,0.24618465355911825
2wikimultihopqa,all,exact_core,17,16,0.41180233284831047,0.2443994472561094
2wikimultihopqa,all,exact_core,18,16,0.4489024803042412,0.2672113824275136
2wikimultihopqa,all,exact_core,19,16,0.43950623646378517,0.2611042413701514
2wikimultihopqa,all,exact_core,20,16,0.4536110386252403,0.2727664895141209
2wikimultihopqa,all,exact_core,21,16,0.4828314073383808,0.2978424588283197
2wikimultihopqa,all,exact_core,22,16,0.47498318552970886,0.2973272662040337
2wikimultihopqa,all,exact_core,23,16,0.5023935250937939,0.31527533445015443
2wikimultihopqa,all,exact_core,24,16,0.4863696023821831,0.3074054453379873
2wikimultihopqa,all,exact_core,25,16,0.4785826504230499,0.29754242995134406
2wikimultihopqa,all,exact_core,26,16,0.4785950146615505,0.29671616474877904
2wikimultihopqa,all,exact_core,27,16,0.5444848760962486,0.32592279979376354
2wikimultihopqa,all,expanded_window,0,16,0.000606294721364975,0.0005991721571427958
2wikimultihopqa,all,expanded_window,1,16,0.0012993216514587402,0.0007565595138540319
2wikimultihopqa,all,expanded_window,2,16,0.0059437379240989685,0.0030325373354436734
2wikimultihopqa,all,expanded_window,3,16,0.05364420637488365,0.042182640379973275
2wikimultihopqa,all,expanded_window,4,16,0.06833362951874733,0.052799237254288006
2wikimultihopqa,all,expanded_window,5,16,0.14003389701247215,0.11319706105930884
2wikimultihopqa,all,expanded_window,6,16,0.1442503146827221,0.11736062445718629
2wikimultihopqa,all,expanded_window,7,16,0.1635286994278431,0.13413210569622389
2wikimultihopqa,all,expanded_window,8,16,0.19666551426053047,0.15816120266425032
2wikimultihopqa,all,expanded_window,9,16,0.1894521340727806,0.15203446234377954
2wikimultihopqa,all,expanded_window,10,16,0.18677137792110443,0.1472742524692968
2wikimultihopqa,all,expanded_window,11,16,0.1859014891088009,0.14775442175164272
2wikimultihopqa,all,expanded_window,12,16,0.1907903254032135,0.14950642739745068
2wikimultihopqa,all,expanded_window,13,16,0.2011391595005989,0.15741036073837048
2wikimultihopqa,all,expanded_window,14,16,0.19500048831105232,0.16075119536034935
2wikimultihopqa,all,expanded_window,15,16,0.289850153028965,0.23687329812771787
2wikimultihopqa,all,expanded_window,16,16,0.3197484351694584,0.2651763804820543
2wikimultihopqa,all,expanded_window,17,16,0.3260216824710369,0.2612300189750349
2wikimultihopqa,all,expanded_window,18,16,0.3571048229932785,0.28774185764500154
2wikimultihopqa,all,expanded_window,19,16,0.3502184860408306,0.2780992370001785
2wikimultihopqa,all,expanded_window,20,16,0.36352166905999184,0.2907738005177201
2wikimultihopqa,all,expanded_window,21,16,0.3883451223373413,0.3121348687842042
2wikimultihopqa,all,expanded_window,22,16,0.38619082793593407,0.31303816990513184
2wikimultihopqa,all,expanded_window,23,16,0.4095498397946358,0.3336560078913299
2wikimultihopqa,all,expanded_window,24,16,0.40160826966166496,0.328803716396267
2wikimultihopqa,all,expanded_window,25,16,0.3946731723845005,0.31769845849590816
2wikimultihopqa,all,expanded_window,26,16,0.3914238177239895,0.3135692096661223
2wikimultihopqa,all,expanded_window,27,16,0.45079490169882774,0.34348902374363105
2wikimultihopqa,all,full_selected_record,0,16,0.001369476318359375,0.0014820552817839325
2wikimultihopqa,all,full_selected_record,1,16,0.002667192369699478,0.0018436036943963417
2wikimultihopqa,all,full_selected_record,2,16,0.00878322497010231,0.0036178414260593147
2wikimultihopqa,all,full_selected_record,3,16,0.042887065559625626,0.04081534015743656
2wikimultihopqa,all,full_selected_record,4,16,0.0489380918443203,0.04752505659044701
2wikimultihopqa,all,full_selected_record,5,16,0.0982368066906929,0.10651902259805243
2wikimultihopqa,all,full_selected_record,6,16,0.09906388074159622,0.10749168534809156
2wikimultihopqa,all,full_selected_record,7,16,0.11209910735487938,0.1251760538989398
2wikimultihopqa,all,full_selected_record,8,16,0.13578808680176735,0.147889303329612
2wikimultihopqa,all,full_selected_record,9,16,0.13126708939671516,0.1375397982108323
2wikimultihopqa,all,full_selected_record,10,16,0.1301121637225151,0.13525984468502214
2wikimultihopqa,all,full_selected_record,11,16,0.13124734908342361,0.13239544848706686
2wikimultihopqa,all,full_selected_record,12,16,0.13646522909402847,0.1388218385126485
2wikimultihopqa,all,full_selected_record,13,16,0.14585595577955246,0.14687011207029382
2wikimultihopqa,all,full_selected_record,14,16,0.14115417376160622,0.1459631895752709
2wikimultihopqa,all,full_selected_record,15,16,0.20902669057250023,0.2214488916271616
2wikimultihopqa,all,full_selected_record,16,16,0.2274186797440052,0.24514696585213275
2wikimultihopqa,all,full_selected_record,17,16,0.23286235705018044,0.24442573288943142
2wikimultihopqa,all,full_selected_record,18,16,0.25125792250037193,0.26970479639126477
2wikimultihopqa,all,full_selected_record,19,16,0.2480274885892868,0.26306948058462304
2wikimultihopqa,all,full_selected_record,20,16,0.2586917579174042,0.2768932975058479
2wikimultihopqa,all,full_selected_record,21,16,0.2698626108467579,0.29410504105502705
2wikimultihopqa,all,full_selected_record,22,16,0.2654067128896713,0.29430987965870037
2wikimultihopqa,all,full_selected_record,23,16,0.2789974734187126,0.3135625158813606
2wikimultihopqa,all,full_selected_record,24,16,0.27361779659986496,0.31015795438847715
2wikimultihopqa,all,full_selected_record,25,16,0.2688499428331852,0.30280831245467127
2wikimultihopqa,all,full_selected_record,26,16,0.2674669660627842,0.29791451374934
2wikimultihopqa,all,full_selected_record,27,16,0.3107859417796135,0.31478956491721927
2wikimultihopqa,all,whole_parent,0,16,0.001369476318359375,0.0014820552817839325
2wikimultihopqa,all,whole_parent,1,16,0.002667192369699478,0.0018436036943963417
2wikimultihopqa,all,whole_parent,2,16,0.00878322497010231,0.0036178414260593147
2wikimultihopqa,all,whole_parent,3,16,0.042887065559625626,0.04081534015743656
2wikimultihopqa,all,whole_parent,4,16,0.0489380918443203,0.04752505659044701
2wikimultihopqa,all,whole_parent,5,16,0.0982368066906929,0.10651902259805243
2wikimultihopqa,all,whole_parent,6,16,0.09906388074159622,0.10749168534809156
2wikimultihopqa,all,whole_parent,7,16,0.11209910735487938,0.1251760538989398
2wikimultihopqa,all,whole_parent,8,16,0.13578808680176735,0.147889303329612
2wikimultihopqa,all,whole_parent,9,16,0.13126708939671516,0.1375397982108323
2wikimultihopqa,all,whole_parent,10,16,0.1301121637225151,0.13525984468502214
2wikimultihopqa,all,whole_parent,11,16,0.13124734908342361,0.13239544848706686
2wikimultihopqa,all,whole_parent,12,16,0.13646522909402847,0.1388218385126485
2wikimultihopqa,all,whole_parent,13,16,0.14585595577955246,0.14687011207029382
2wikimultihopqa,all,whole_parent,14,16,0.14115417376160622,0.1459631895752709
2wikimultihopqa,all,whole_parent,15,16,0.20902669057250023,0.2214488916271616
2wikimultihopqa,all,whole_parent,16,16,0.2274186797440052,0.24514696585213275
2wikimultihopqa,all,whole_parent,17,16,0.23286235705018044,0.24442573288943142
2wikimultihopqa,all,whole_parent,18,16,0.25125792250037193,0.26970479639126477
2wikimultihopqa,all,whole_parent,19,16,0.2480274885892868,0.26306948058462304
2wikimultihopqa,all,whole_parent,20,16,0.2586917579174042,0.2768932975058479
2wikimultihopqa,all,whole_parent,21,16,0.2698626108467579,0.29410504105502705
2wikimultihopqa,all,whole_parent,22,16,0.2654067128896713,0.29430987965870037
2wikimultihopqa,all,whole_parent,23,16,0.2789974734187126,0.3135625158813606
2wikimultihopqa,all,whole_parent,24,16,0.27361779659986496,0.31015795438847715
2wikimultihopqa,all,whole_parent,25,16,0.2688499428331852,0.30280831245467127
2wikimultihopqa,all,whole_parent,26,16,0.2674669660627842,0.29791451374934
2wikimultihopqa,all,whole_parent,27,16,0.3107859417796135,0.31478956491721927
2wikimultihopqa,early_4,whole_parent,0,16,0.001369476318359375,0.0014820552817839325
2wikimultihopqa,early_4,whole_parent,1,16,0.002667192369699478,0.0018436036943963417
2wikimultihopqa,early_4,whole_parent,2,16,0.00878322497010231,0.0036178414260593147
2wikimultihopqa,early_4,whole_parent,3,16,0.042887065559625626,0.04081534015743656
2wikimultihopqa,early_4,whole_parent,4,16,0.08535367995500565,0.026081921767325926
2wikimultihopqa,early_4,whole_parent,5,16,0.20747649297118187,0.05393360139434488
2wikimultihopqa,early_4,whole_parent,6,16,0.2286774255335331,0.062334872216443266
2wikimultihopqa,early_4,whole_parent,7,16,0.2571179121732712,0.07175682816650421
2wikimultihopqa,early_4,whole_parent,8,16,0.311768114566803,0.07794129342080797
2wikimultihopqa,early_4,whole_parent,9,16,0.33043163642287254,0.09124959313977447
2wikimultihopqa,early_4,whole_parent,10,16,0.3353637307882309,0.09164415400613826
2wikimultihopqa,early_4,whole_parent,11,16,0.3295656330883503,0.09777019279668422
2wikimultihopqa,early_4,whole_parent,12,16,0.34708067029714584,0.09241784420378968
2wikimultihopqa,early_4,whole_parent,13,16,0.3547024577856064,0.09674086277990854
2wikimultihopqa,early_4,whole_parent,14,16,0.34705881401896477,0.10490254954480367
2wikimultihopqa,early_4,whole_parent,15,16,0.48846086114645004,0.13126350401416423
2wikimultihopqa,early_4,whole_parent,16,16,0.5132586024701595,0.1398077473185533
2wikimultihopqa,early_4,whole_parent,17,16,0.5209155417978764,0.12835944740191665
2wikimultihopqa,early_4,whole_parent,18,16,0.5685821510851383,0.12667776784805543
2wikimultihopqa,early_4,whole_parent,19,16,0.5370243452489376,0.10937545403448724
2wikimultihopqa,early_4,whole_parent,20,16,0.5655327849090099,0.11398217846788998
2wikimultihopqa,early_4,whole_parent,21,16,0.594198290258646,0.1411823206824355
2wikimultihopqa,early_4,whole_parent,22,16,0.5790614895522594,0.1463682096501531
2wikimultihopqa,early_4,whole_parent,23,16,0.6090681441128254,0.143927182588151
2wikimultihopqa,early_4,whole_parent,24,16,0.5898925289511681,0.1455983972424486
2wikimultihopqa,early_4,whole_parent,25,16,0.593185231089592,0.13302767969961207
2wikimultihopqa,early_4,whole_parent,26,16,0.6071354188024998,0.13458110531883097
2wikimultihopqa,early_4,whole_parent,27,16,0.697385348379612,0.15281708098833174
2wikimultihopqa,even_4,whole_parent,0,16,0.001369476318359375,0.0014820552817839325
2wikimultihopqa,even_4,whole_parent,1,16,0.0021584033966064453,0.0018029410817826652
2wikimultihopqa,even_4,whole_parent,2,16,0.006267797201871872,0.004979291512808684
2wikimultihopqa,even_4,whole_parent,3,16,0.032115738838911057,0.047494194333183644
2wikimultihopqa,even_4,whole_parent,4,16,0.03786199167370796,0.05990928660306863
2wikimultihopqa,even_4,whole_parent,5,16,0.0690448023378849,0.11280059016727433
2wikimultihopqa,even_4,whole_parent,6,16,0.07151616364717484,0.11750898869935815
2wikimultihopqa,even_4,whole_parent,7,16,0.08119016140699387,0.13187077558805566
2wikimultihopqa,even_4,whole_parent,8,16,0.09024794399738312,0.14806388087730654
2wikimultihopqa,even_4,whole_parent,9,16,0.08440478146076202,0.13416195238248105
2wikimultihopqa,even_4,whole_parent,10,16,0.0799359567463398,0.12529394490440365
2wikimultihopqa,even_4,whole_parent,11,16,0.07522769644856453,0.1190922994638127
2wikimultihopqa,even_4,whole_parent,12,16,0.08551550656557083,0.136929211331142
2wikimultihopqa,even_4,whole_parent,13,16,0.08743005990982056,0.13958237936048593
2wikimultihopqa,even_4,whole_parent,14,16,0.08871182426810265,0.14676845034872366
2wikimultihopqa,even_4,whole_parent,15,16,0.12560030072927475,0.20841287389537044
2wikimultihopqa,even_4,whole_parent,16,16,0.131974495947361,0.22117230225236412
2wikimultihopqa,even_4,whole_parent,17,16,0.13812441006302834,0.22706016364051146
2wikimultihopqa,even_4,whole_parent,18,16,0.14157488569617271,0.23086324757332613
2wikimultihopqa,even_4,whole_parent,19,16,0.1348854936659336,0.21977084907856517
2wikimultihopqa,even_4,whole_parent,20,16,0.1361054740846157,0.2227727138349128
2wikimultihopqa,even_4,whole_parent,21,16,0.14197568595409393,0.23595231865385063
2wikimultihopqa,even_4,whole_parent,22,16,0.1374635137617588,0.22958371470074274
2wikimultihopqa,even_4,whole_parent,23,16,0.1376962661743164,0.23013168647328425
2wikimultihopqa,even_4,whole_parent,24,16,0.1334582008421421,0.22499073287067428
2wikimultihopqa,even_4,whole_parent,25,16,0.1322069875895977,0.2247526222482576
2wikimultihopqa,even_4,whole_parent,26,16,0.14366095513105392,0.24663919585112848
2wikimultihopqa,even_4,whole_parent,27,16,0.17798689007759094,0.2943122791014706
2wikimultihopqa,even_8,exact_core,0,16,0.0004933401942253113,0.00047510712136342566
2wikimultihopqa,even_8,exact_core,1,16,0.0008210204541683197,0.0007118761376791836
2wikimultihopqa,even_8,exact_core,2,16,0.0025414451956748962,0.0022245925066686646
2wikimultihopqa,even_8,exact_core,3,16,0.01431138813495636,0.031772804230799985
2wikimultihopqa,even_8,exact_core,4,16,0.016738541424274445,0.03772572883568162
2wikimultihopqa,even_8,exact_core,5,16,0.030063416808843613,0.07252809639520395
2wikimultihopqa,even_8,exact_core,6,16,0.029120609164237976,0.07056027821664407
2wikimultihopqa,even_8,exact_core,7,16,0.03224297612905502,0.07823889080945948
2wikimultihopqa,even_8,exact_core,8,16,0.03893434628844261,0.0926854751934955
2wikimultihopqa,even_8,exact_core,9,16,0.03650594875216484,0.08500089800232984
2wikimultihopqa,even_8,exact_core,10,16,0.0373343750834465,0.08891668817345828
2wikimultihopqa,even_8,exact_core,11,16,0.03301567956805229,0.07559796376081429
2wikimultihopqa,even_8,exact_core,12,16,0.0366961844265461,0.084956308882964
2wikimultihopqa,even_8,exact_core,13,16,0.03899421542882919,0.09001543415029457
2wikimultihopqa,even_8,exact_core,14,16,0.03983543813228607,0.09657347307258451
2wikimultihopqa,even_8,exact_core,15,16,0.05778045952320099,0.14111884204349862
2wikimultihopqa,even_8,exact_core,16,16,0.05960259214043617,0.14779971383143786
2wikimultihopqa,even_8,exact_core,17,16,0.06158444285392761,0.15054817572295154
2wikimultihopqa,even_8,exact_core,18,16,0.06881198287010193,0.16970053206782335
2wikimultihopqa,even_8,exact_core,19,16,0.06821684166789055,0.16659714000737616
2wikimultihopqa,even_8,exact_core,20,16,0.06994958966970444,0.17172179664188078
2wikimultihopqa,even_8,exact_core,21,16,0.07026366144418716,0.17459670327091376
2wikimultihopqa,even_8,exact_core,22,16,0.06971719861030579,0.17317665977931604
2wikimultihopqa,even_8,exact_core,23,16,0.07532265409827232,0.18817357192733905
2wikimultihopqa,even_8,exact_core,24,16,0.07129612192511559,0.17926253535342657
2wikimultihopqa,even_8,exact_core,25,16,0.07188297808170319,0.1827950523461877
2wikimultihopqa,even_8,exact_core,26,16,0.07525814697146416,0.19280390264190958
2wikimultihopqa,even_8,exact_core,27,16,0.09396549314260483,0.22355903350231549
2wikimultihopqa,even_8,expanded_window,0,16,0.000606294721364975,0.0005991721571427958
2wikimultihopqa,even_8,expanded_window,1,16,0.000985667109489441,0.0008360710777896999
2wikimultihopqa,even_8,expanded_window,2,16,0.0030256658792495728,0.002600774960150713
2wikimultihopqa,even_8,expanded_window,3,16,0.02082967385649681,0.03698773036304451
2wikimultihopqa,even_8,expanded_window,4,16,0.022558368742465973,0.0415011791975659
2wikimultihopqa,even_8,expanded_window,5,16,0.04586918652057648,0.08824181931631125
2wikimultihopqa,even_8,expanded_window,6,16,0.04688841477036476,0.090820392283983
2wikimultihopqa,even_8,expanded_window,7,16,0.052789416164159775,0.10192262449012005
2wikimultihopqa,even_8,expanded_window,8,16,0.06101994216442108,0.115433411401621
2wikimultihopqa,even_8,expanded_window,9,16,0.05825356766581535,0.10818095277731554
2wikimultihopqa,even_8,expanded_window,10,16,0.06111087277531624,0.11439225566716173
2wikimultihopqa,even_8,expanded_window,11,16,0.056467603892087936,0.10457335828399639
2wikimultihopqa,even_8,expanded_window,12,16,0.058518197387456894,0.1080751087274244
2wikimultihopqa,even_8,expanded_window,13,16,0.061795201152563095,0.11351695384362126
2wikimultihopqa,even_8,expanded_window,14,16,0.06244892627000809,0.11856062542881814
2wikimultihopqa,even_8,expanded_window,15,16,0.08781374618411064,0.17121099505293472
2wikimultihopqa,even_8,expanded_window,16,16,0.09041649848222733,0.1770093972092654
2wikimultihopqa,even_8,expanded_window,17,16,0.09300263598561287,0.17644949700296897
2wikimultihopqa,even_8,expanded_window,18,16,0.1001509539783001,0.1912160888074502
2wikimultihopqa,even_8,expanded_window,19,16,0.0937429666519165,0.1765040007951797
