phase,dataset,condition,examples,materialized_unique_tokens,kv_reduction_vs_whole,evidence_coverage,evidence_density,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_mean_logprob_delta_vs_whole,memory_attention_mass,evidence_attention_mass,non_evidence_attention_mass,exact_match,token_f1,normalized_answer_accuracy,ttft_seconds
heldout,2wikimultihopqa,M0_native_gist,32,4.8125,0.9685360863095238,0.0,0.0,-4.869929333450273,-0.0023681665988988243,-0.4194198240766127,0.003819404489547651,0.0,0.003819404489547651,0.25,0.26674107142857145,0.25,0.6912418437532324
heldout,2wikimultihopqa,M1_whole_parent,32,153.28125,0.0,1.0,0.5558814639136904,-4.45050950937366,0.4170516574777139,0.0,0.35051722232310567,0.17147176267462783,0.1790454580491314,0.1875,0.21986607142857142,0.1875,0.3374383593654784
heldout,2wikimultihopqa,M2_evidence_only,32,83.0,0.4441185360863095,1.0,1.0,-4.445938172750175,0.42162299410119886,0.004571336623484967,0.20757451886311173,0.20757451886311173,0.0,0.1875,0.21986607142857142,0.1875,0.36444901563299936
heldout,2wikimultihopqa,M3_radius_2,32,92.0625,0.38135191902281745,1.0,0.8955825137318716,-4.494414002205303,0.37314716464607045,-0.04390449283164344,0.2513078656338621,0.2016704166526324,0.04963744724591379,0.21875,0.2615327380952381,0.21875,0.3946150125011627
heldout,2wikimultihopqa,M_none,32,0.0,1.0,0.0,0.0,-4.867561166851374,0.0,-0.4170516574777139,nan,nan,nan,0.25,0.26674107142857145,0.25,0.7827163468646177
heldout,musique,M0_native_gist,32,12.09375,0.9686082208271113,0.0,0.0,-15.29482188820839,-10.89715487882495,-8.37818019837141,0.13934551040163765,0.0,0.13934551040163765,0.0,0.0,0.0,0.8607971093770175
heldout,musique,M1_whole_parent,32,385.40625,0.0,1.0,0.7907767766000504,-6.916641689836979,-2.518974680453539,0.0,0.7268243401943307,0.5564168324729378,0.17040750724793594,0.0,0.017433954933954936,0.0,0.34287457813115907
heldout,musique,M2_evidence_only,32,316.84375,0.2092232233999496,1.0,1.0,-6.858648717403412,-2.460981708019972,0.05799297243356705,0.6894942475116425,0.6894942475116425,0.0,0.0,0.023863636363636365,0.0,0.40139620625632233
heldout,musique,M3_radius_2,32,326.78125,0.17919119125382646,1.0,0.9621214956046774,-6.850689522922039,-2.453022513538599,0.06595216691493988,0.696909760753832,0.6637288689572804,0.03318089183328864,0.0,0.02003205128205128,0.0,0.48549162499330123
heldout,musique,M_none,32,0.0,1.0,0.0,0.0,-4.39766700938344,0.0,2.518974680453539,nan,nan,nan,0.0,0.0250999000999001,0.0,0.24262586563054356
validation,2wikimultihopqa,M0_native_gist,16,4.75,0.96875,0.0,0.0,-4.6419525553355925,0.0054085828887764364,-0.29800689802505076,0.004041672551011288,0.0,0.004041672551011288,0.3125,0.3611111111111111,0.3125,0.1580469624750549
validation,2wikimultihopqa,M1_whole_parent,16,152.0,0.0,1.0,0.5160543774801587,-4.343945657310542,0.3034154809138272,0.0,0.3827167304698378,0.180428889230825,0.2022878377320012,0.3125,0.3611111111111111,0.3125,0.15255906873790082
