W,allocation,attention_entropy,attention_mass_sum,attention_update_displacement,brier_score,budget,consumer_layer,correct,correct_logit,correct_margin,correct_probability,cross_shard_interval_count,depth,distractor_attention_mass,distractor_tokens,effective_support,evidence_attention_mass,evidence_coverage,evidence_density,evidence_region_count,evidence_source_tokens,evidence_span,evidence_tokens,example_id,fact_tokens,final_margin_delta_vs_none,full_vocabulary_correct,immediate_margin_delta_vs_none,interval_count,intervals,latency_seconds,later_erased,layer_token_kv_states,materialized_tokens,max_evidence_gap,max_wrong_logit,memory_attention_mass,mode,native_attention_mass,nll,oracle_identity_selected,parent_tokens,partition,policy,prediction_entropy,query_tokens,radius,region_groups,requested_tokens_pre_dedup,residual_displacement,seed,selected_reference_count,surrounding_attention_mass,surrounding_non_evidence_tokens,window,wrong_memory
w16,,0.0,1.0,0.0,1.5559043884277344,,0,0,2.0384504795074463,-3.810075521469116,0.016634443774819374,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1,3,3,0,chain-100004-d1,5,0.0,0,0.0,0,[],0.01483550004195422,0,0,0,11,5.8485260009765625,0.0,none,1.0,4.096279621124268,1,122,validation,T0_none,0.8627957105636597,5,,,0,0.0,17,0,0.0,0,w16,False
w16,,0.6925505102820411,1.0,0.0,1.0380760431289673,,0,0,3.7369143962860107,-1.1883366107940674,0.10561724007129669,0.0,1,0.0,0,1.9988070153888147,0.5172706629382446,1.0,1.0,1,3,3,3,chain-100004-d1,5,2.621739149093628,0,0.47982358932495117,1,"[[101, 104]]",0.0818532999837771,0,3,3,11,4.925251007080078,0.5172706629382446,logical_intervals,0.48272933706175536,2.2479336261749268,1,122,validation,T1_radius_0,1.515360951423645,5,0,,3,3.971128463745117,17,1,0.0,0,w16,False
w16,,1.0674510928860164,1.0,0.0,1.1495063304901123,,0,0,3.944387912750244,-1.667248249053955,0.09392194449901581,0.0,1,0.0,0,2.907957930892777,0.39681945004849695,1.0,0.42857142857142855,1,3,3,3,chain-100004-d1,5,2.142827272415161,0,0.4218630790710449,1,"[[99, 106]]",0.022925499943085015,0,7,7,11,5.611636161804199,0.6168331119406503,logical_intervals,0.38316688805934973,2.365291118621826,1,122,validation,T2_radius_2,1.3413397073745728,5,2,,7,4.017813682556152,17,1,0.22001366189215332,4,w16,False
w16,,1.014799741383981,1.0,0.0,1.243537425994873,,0,0,3.2651305198669434,-2.2612524032592773,0.04845349118113518,0.0,1,0.0,0,2.75881086640762,0.28071769572852645,1.0,0.2727272727272727,1,3,3,3,chain-100004-d1,5,1.5488238334655762,0,-0.09224319458007812,1,"[[97, 108]]",0.03128789993934333,0,11,11,11,5.526382923126221,0.8041330353007652,logical_intervals,0.1958669646992348,3.027150869369507,1,122,validation,T3_radius_4,1.309544324874878,5,4,,11,4.048489570617676,17,1,0.5234153395722387,8,w16,False
w16,,0.9933959264115408,1.0,0.0,1.315881609916687,,0,0,2.9749903678894043,-2.7459707260131836,0.03387074917554855,0.0,1,0.03631323779700324,2,2.700389242238017,0.1895677536886069,1.0,0.15789473684210525,1,3,3,3,chain-100004-d1,5,1.0641047954559326,0,-0.2300269603729248,1,"[[93, 112]]",0.028640400036238134,0,19,19,11,5.720961093902588,0.8641631076225167,logical_intervals,0.1358368923774833,3.3852035999298096,1,122,validation,T4_radius_8,1.2181521654129028,5,8,,19,4.893290996551514,17,1,0.6382821161369066,14,w16,False
w16,,1.0806778334755929,1.0,0.0,1.346902847290039,,0,0,3.1264467239379883,-2.7544450759887695,0.03837018087506294,0.0,1,0.29043738505970396,10,2.9466762300716156,0.08788851005920151,1.0,0.08571428571428572,1,3,3,3,chain-100004-d1,5,1.055631399154663,0,0.3664259910583496,1,"[[85, 120]]",0.024996799998916686,0,35,35,11,5.880891799926758,0.9330674995831032,logical_intervals,0.0669325004168968,3.260474681854248,1,122,validation,T5_radius_16,1.1743972301483154,5,16,,35,6.012477397918701,17,1,0.5547416044641977,22,w16,False
w16,,1.0027485211050646,1.0,0.0,1.056291937828064,,0,0,4.223060607910156,-1.3183422088623047,0.13445405662059784,0.0,1,0.0,0,2.7257633602983047,0.44337016812642105,1.0,0.6,1,3,3,3,chain-100004-d1,5,2.491734504699707,0,0.4850451946258545,1,"[[100, 105]]",0.022832199931144714,0,5,5,11,5.541402816772461,0.5853068825381342,logical_intervals,0.41469311746186577,2.006532669067383,1,122,validation,T6_whole_fact,1.3636316061019897,5,,,5,4.09901237487793,17,1,0.14193671441171318,2,w16,False
w16,,0.874666448481087,1.0,0.0,1.2784523963928223,,0,0,3.0175728797912598,-2.5990195274353027,0.03603944927453995,0.0,1,0.4060045727239867,50,2.39807527889965,0.02641764558666182,1.0,0.02459016393442623,1,3,3,3,chain-100004-d1,5,1.2110557556152344,0,0.21694397926330566,1,"[[0, 122]]",0.021728699910454452,0,122,122,11,5.6165924072265625,0.9785692357131097,selected_chunks,0.02143076428689028,3.323141098022461,1,122,validation,T7_whole_parent,1.2798919677734375,5,,,122,4.5137834548950195,17,1,0.5461470174024612,69,w16,False
w16,equal,1.0048690619894591,1.0,0.0,1.1886231899261475,12,0,0,3.3061604499816895,-1.942786693572998,0.05386289581656456,0.0,1,0.0,0,2.7315495857405696,0.2747434936463833,1.0,0.25,1,3,3,3,chain-100004-d1,5,1.867288589477539,0,-0.07244443893432617,1,"[[97, 109]]",0.019617300014942884,0,12,12,11,5.2489471435546875,0.8101505384693155,logical_intervals,0.1898494615306845,2.921313524246216,1,122,validation,T8_budget_12_equal,1.4043529033660889,5,16,,12,4.057229042053223,17,1,0.5354070448229322,9,w16,False
w16,evidence_length_proportional,1.0048690619894591,1.0,0.0,1.1886231899261475,12,0,0,3.3061604499816895,-1.942786693572998,0.05386289581656456,0.0,1,0.0,0,2.7315495857405696,0.2747434936463833,1.0,0.25,1,3,3,3,chain-100004-d1,5,1.867288589477539,0,-0.07244443893432617,1,"[[97, 109]]",0.02020340005401522,0,12,12,11,5.2489471435546875,0.8101505384693155,logical_intervals,0.1898494615306845,2.921313524246216,1,122,validation,T8_budget_12_evidence_length_proportional,1.4043529033660889,5,16,,12,4.057229042053223,17,1,0.5354070448229322,9,w16,False
w16,minimum_core_remainder,1.0048690619894591,1.0,0.0,1.1886231899261475,12,0,0,3.3061604499816895,-1.942786693572998,0.05386289581656456,0.0,1,0.0,0,2.7315495857405696,0.2747434936463833,1.0,0.25,1,3,3,3,chain-100004-d1,5,1.867288589477539,0,-0.07244443893432617,1,"[[97, 109]]",0.020845099934376776,0,12,12,11,5.2489471435546875,0.8101505384693155,logical_intervals,0.1898494615306845,2.921313524246216,1,122,validation,T8_budget_12_minimum_core_remainder,1.4043529033660889,5,16,,12,4.057229042053223,17,1,0.5354070448229322,9,w16,False
w16,equal,1.2307026469828366,1.0,0.0,1.319614291191101,24,0,0,2.886392593383789,-2.803203582763672,0.03150789439678192,0.0,1,0.26112401492537174,7,3.4236342976511582,0.1577457253515604,1.0,0.125,1,3,3,3,chain-100004-d1,5,1.0068724155426025,0,0.2004241943359375,1,"[[91, 115]]",0.022934400010854006,0,24,24,11,5.689596176147461,0.8957992054620263,logical_intervals,0.1042007945379737,3.457517147064209,1,122,validation,T8_budget_24_equal,1.2076499462127686,5,16,,24,4.925227165222168,17,1,0.47692946518509416,14,w16,False
w16,evidence_length_proportional,1.2307026469828366,1.0,0.0,1.319614291191101,24,0,0,2.886392593383789,-2.803203582763672,0.03150789439678192,0.0,1,0.26112401492537174,7,3.4236342976511582,0.1577457253515604,1.0,0.125,1,3,3,3,chain-100004-d1,5,1.0068724155426025,0,0.2004241943359375,1,"[[91, 115]]",0.020661199931055307,0,24,24,11,5.689596176147461,0.8957992054620263,logical_intervals,0.1042007945379737,3.457517147064209,1,122,validation,T8_budget_24_evidence_length_proportional,1.2076499462127686,5,16,,24,4.925227165222168,17,1,0.47692946518509416,14,w16,False
w16,minimum_core_remainder,1.2307026469828366,1.0,0.0,1.319614291191101,24,0,0,2.886392593383789,-2.803203582763672,0.03150789439678192,0.0,1,0.26112401492537174,7,3.4236342976511582,0.1577457253515604,1.0,0.125,1,3,3,3,chain-100004-d1,5,1.0068724155426025,0,0.2004241943359375,1,"[[91, 115]]",0.024704799987375736,0,24,24,11,5.689596176147461,0.8957992054620263,logical_intervals,0.1042007945379737,3.457517147064209,1,122,validation,T8_budget_24_minimum_core_remainder,1.2076499462127686,5,16,,24,4.925227165222168,17,1,0.47692946518509416,14,w16,False
w16,equal,1.0806778334755929,1.0,0.0,1.346902847290039,48,0,0,3.1264467239379883,-2.7544450759887695,0.03837018087506294,0.0,1,0.29043738505970396,10,2.9466762300716156,0.08788851005920151,1.0,0.08571428571428572,1,3,3,3,chain-100004-d1,5,1.055631399154663,0,0.3664259910583496,1,"[[85, 120]]",0.023407500004395843,0,35,35,11,5.880891799926758,0.9330674995831032,logical_intervals,0.0669325004168968,3.260474681854248,1,122,validation,T8_budget_48_equal,1.1743972301483154,5,16,,35,6.012477397918701,17,1,0.5547416044641977,22,w16,False
w16,evidence_length_proportional,1.0806778334755929,1.0,0.0,1.346902847290039,48,0,0,3.1264467239379883,-2.7544450759887695,0.03837018087506294,0.0,1,0.29043738505970396,10,2.9466762300716156,0.08788851005920151,1.0,0.08571428571428572,1,3,3,3,chain-100004-d1,5,1.055631399154663,0,0.3664259910583496,1,"[[85, 120]]",0.026017699972726405,0,35,35,11,5.880891799926758,0.9330674995831032,logical_intervals,0.0669325004168968,3.260474681854248,1,122,validation,T8_budget_48_evidence_length_proportional,1.1743972301483154,5,16,,35,6.012477397918701,17,1,0.5547416044641977,22,w16,False
w16,minimum_core_remainder,1.0806778334755929,1.0,0.0,1.346902847290039,48,0,0,3.1264467239379883,-2.7544450759887695,0.03837018087506294,0.0,1,0.29043738505970396,10,2.9466762300716156,0.08788851005920151,1.0,0.08571428571428572,1,3,3,3,chain-100004-d1,5,1.055631399154663,0,0.3664259910583496,1,"[[85, 120]]",0.02114229998551309,0,35,35,11,5.880891799926758,0.9330674995831032,logical_intervals,0.0669325004168968,3.260474681854248,1,122,validation,T8_budget_48_minimum_core_remainder,1.1743972301483154,5,16,,35,6.012477397918701,17,1,0.5547416044641977,22,w16,False
w16,,0.6210875836799111,1.0,0.0,1.245019555091858,,0,0,2.8798227310180664,-2.366379737854004,0.04117641970515251,0.0,1,0.6874984664609656,3,1.860950881451063,0.0,0.0,0.0,1,3,3,0,chain-100004-d1,5,1.4436955451965332,0,0.9988992214202881,1,"[[2, 5]]",0.023268199991434813,0,3,3,11,5.24620246887207,0.6874984664609656,logical_intervals,0.3125015335390344,3.189889430999756,1,122,validation,T9_wrong_exact,1.2844151258468628,5,,,3,4.986109733581543,17,1,0.0,0,w16,True
w16,,0.3514749871965218,1.0,0.0,1.4452261924743652,,0,0,2.15282940864563,-3.5918824672698975,0.018176879733800888,0.0,1,0.0,0,1.4211621994702863,0.0,0.0,0.0,1,3,3,0,chain-100004-d1,5,0.21819448471069336,0,0.08646631240844727,1,"[[101, 104]]",0.02976069995202124,0,1,1,11,5.744711875915527,0.11238601710647345,native_gist_only,0.8876139828935266,4.007605075836182,1,122,validation,T10_native_gist,1.038840889930725,5,,,3,0.5988858342170715,17,1,0.11238601710647345,0,w16,False
w16,,0.8571569465940121,1.0,0.0,1.080939769744873,,0,0,3.613110303878784,-1.412365198135376,0.08864680677652359,0.0,1,0.0,0,2.3564516432600957,0.4923315360210836,1.0,0.75,1,3,3,3,chain-100004-d1,5,2.3977103233337402,0,0.4870014190673828,1,"[[101, 104]]",0.030078799929469824,0,4,4,11,5.02547550201416,0.5426864395849407,gist_plus_logical_intervals,0.45731356041505933,2.423095226287842,1,122,validation,T11_gist_exact,1.492440938949585,5,,,3,3.9819090366363525,17,1,0.05035490356385708,0,w16,False
