family,seed,resources_before_gateway,resources_after_gateway,stable_identity,typed_boundary,task_metadata,deduplicated,fallback_contains_evidence,native_kv_claimed,build_ms,gateway_ms
deepseek_harness,11,1,0,1,1,1,1,1,0,0.1664001028984785,0.06400002166628838
deepseek_harness,23,1,0,1,1,1,1,1,0,0.06100023165345192,0.03729993477463722
deepseek_harness,37,1,0,1,1,1,1,1,0,0.0545999500900507,0.034300144761800766
deepseek_harness,71,1,0,1,1,1,1,1,0,0.054999953135848045,0.033300137147307396
deepseek_harness,101,1,0,1,1,1,1,1,0,0.05019991658627987,1.686000032350421
pi_coding_agent,11,1,0,1,1,1,1,1,0,0.17250003293156624,0.048800138756632805
pi_coding_agent,23,1,0,1,1,1,1,1,0,0.10730000212788582,0.04720012657344341
pi_coding_agent,37,1,0,1,1,1,1,1,0,0.05819997750222683,0.03450014628469944
pi_coding_agent,71,1,0,1,1,1,1,1,0,0.05120015703141689,0.03290013410151005
pi_coding_agent,101,1,0,1,1,1,1,1,0,0.076299998909235,0.05730008706450462
