active_layers,case_id,condition,consumer_layers,latency_seconds,materialization_width,model,native_tokens_per_layer,physical_kv_bytes,reference_build_seconds,selection_sparsity
28,capital,VISIBLE_PREFIX,28,0.26020080014131963,0,qwen,0,0,0.3849150000605732,0.0
28,capital,NATIVE_FULL_REFERENCE,28,0.4284428998362273,7,qwen,7,802816,0.3849150000605732,1.0
28,capital,NATIVE_SELECTED_FULL_RECORD,28,0.31481689983047545,7,qwen,7,802816,0.3849150000605732,1.0
8,capital,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.2962690000422299,7,qwen,7,229376,0.3849150000605732,1.0
28,color,VISIBLE_PREFIX,28,0.24542929977178574,0,qwen,0,0,0.38117359997704625,0.0
28,color,NATIVE_FULL_REFERENCE,28,0.421602200018242,6,qwen,6,688128,0.38117359997704625,1.0
28,color,NATIVE_SELECTED_FULL_RECORD,28,0.40593139990232885,6,qwen,6,688128,0.38117359997704625,1.0
8,color,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.33561619999818504,6,qwen,6,196608,0.38117359997704625,1.0
28,code,VISIBLE_PREFIX,28,0.16082419990561903,0,qwen,0,0,0.3390462000388652,0.0
28,code,NATIVE_FULL_REFERENCE,28,0.301416999893263,8,qwen,8,917504,0.3390462000388652,1.0
28,code,NATIVE_SELECTED_FULL_RECORD,28,0.4066040001343936,8,qwen,8,917504,0.3390462000388652,1.0
8,code,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.31550089991651475,8,qwen,8,262144,0.3390462000388652,1.0
16,capital,VISIBLE_PREFIX,16,0.334064899943769,0,llama,0,0,0.4903002001810819,0.0
16,capital,NATIVE_FULL_REFERENCE,16,0.8636968999635428,7,llama,7,229376,0.4903002001810819,1.0
16,capital,NATIVE_SELECTED_FULL_RECORD,16,0.37835909985005856,7,llama,7,229376,0.4903002001810819,1.0
8,capital,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.3035228999797255,7,llama,7,114688,0.4903002001810819,1.0
16,color,VISIBLE_PREFIX,16,0.24395809997804463,0,llama,0,0,0.2786730998195708,0.0
16,color,NATIVE_FULL_REFERENCE,16,0.3265480000991374,6,llama,6,196608,0.2786730998195708,1.0
16,color,NATIVE_SELECTED_FULL_RECORD,16,0.32501960010267794,6,llama,6,196608,0.2786730998195708,1.0
8,color,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.2793618000578135,6,llama,6,98304,0.2786730998195708,1.0
16,code,VISIBLE_PREFIX,16,0.24744669999927282,0,llama,0,0,0.2734620999544859,0.0
16,code,NATIVE_FULL_REFERENCE,16,0.35584780015051365,7,llama,7,229376,0.2734620999544859,1.0
16,code,NATIVE_SELECTED_FULL_RECORD,16,0.3473422999959439,7,llama,7,229376,0.2734620999544859,1.0
8,code,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.3160961999092251,7,llama,7,114688,0.2734620999544859,1.0
4,capital,VISIBLE_PREFIX,4,0.23182079987600446,0,gemma,0,0,0.2220503999851644,0.0
4,capital,NATIVE_FULL_REFERENCE,4,0.3872121998574585,7,gemma,7,28672,0.2220503999851644,1.0
4,capital,NATIVE_SELECTED_FULL_RECORD,4,0.2940066000446677,7,gemma,7,28672,0.2220503999851644,1.0
2,capital,NATIVE_CANONICAL_SPARSE_PROFILE,2,0.28662180015817285,7,gemma,7,14336,0.2220503999851644,1.0
4,color,VISIBLE_PREFIX,4,0.2537148999981582,0,gemma,0,0,0.326201600022614,0.0
4,color,NATIVE_FULL_REFERENCE,4,0.3090520999394357,6,gemma,6,24576,0.326201600022614,1.0
4,color,NATIVE_SELECTED_FULL_RECORD,4,0.32569450000301003,6,gemma,6,24576,0.326201600022614,1.0
2,color,NATIVE_CANONICAL_SPARSE_PROFILE,2,0.2440092999022454,6,gemma,6,12288,0.326201600022614,1.0
4,code,VISIBLE_PREFIX,4,0.24930260004475713,0,gemma,0,0,0.2836797998752445,0.0
4,code,NATIVE_FULL_REFERENCE,4,0.3123658001422882,8,gemma,8,32768,0.2836797998752445,1.0
4,code,NATIVE_SELECTED_FULL_RECORD,4,0.2958120000548661,8,gemma,8,32768,0.2836797998752445,1.0
2,code,NATIVE_CANONICAL_SPARSE_PROFILE,2,0.3115876999218017,8,gemma,8,16384,0.2836797998752445,1.0
