active_layers,case_id,condition,consumer_layers,latency_seconds,materialization_width,model,native_tokens_per_layer,physical_kv_bytes,reference_build_seconds,selection_sparsity
4,capital,VISIBLE_PREFIX,4,0.23182079987600446,0,gemma,0,0,0.2220503999851644,0.0
4,capital,NATIVE_FULL_REFERENCE,4,0.3872121998574585,7,gemma,7,28672,0.2220503999851644,1.0
4,capital,NATIVE_SELECTED_FULL_RECORD,4,0.2940066000446677,7,gemma,7,28672,0.2220503999851644,1.0
2,capital,NATIVE_CANONICAL_SPARSE_PROFILE,2,0.28662180015817285,7,gemma,7,14336,0.2220503999851644,1.0
4,color,VISIBLE_PREFIX,4,0.2537148999981582,0,gemma,0,0,0.326201600022614,0.0
4,color,NATIVE_FULL_REFERENCE,4,0.3090520999394357,6,gemma,6,24576,0.326201600022614,1.0
4,color,NATIVE_SELECTED_FULL_RECORD,4,0.32569450000301003,6,gemma,6,24576,0.326201600022614,1.0
2,color,NATIVE_CANONICAL_SPARSE_PROFILE,2,0.2440092999022454,6,gemma,6,12288,0.326201600022614,1.0
4,code,VISIBLE_PREFIX,4,0.24930260004475713,0,gemma,0,0,0.2836797998752445,0.0
4,code,NATIVE_FULL_REFERENCE,4,0.3123658001422882,8,gemma,8,32768,0.2836797998752445,1.0
4,code,NATIVE_SELECTED_FULL_RECORD,4,0.2958120000548661,8,gemma,8,32768,0.2836797998752445,1.0
2,code,NATIVE_CANONICAL_SPARSE_PROFILE,2,0.3115876999218017,8,gemma,8,16384,0.2836797998752445,1.0
