active_layers,case_id,condition,consumer_layers,latency_seconds,materialization_width,model,native_tokens_per_layer,physical_kv_bytes,reference_build_seconds,selection_sparsity
16,capital,VISIBLE_PREFIX,16,0.334064899943769,0,llama,0,0,0.4903002001810819,0.0
16,capital,NATIVE_FULL_REFERENCE,16,0.8636968999635428,7,llama,7,229376,0.4903002001810819,1.0
16,capital,NATIVE_SELECTED_FULL_RECORD,16,0.37835909985005856,7,llama,7,229376,0.4903002001810819,1.0
8,capital,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.3035228999797255,7,llama,7,114688,0.4903002001810819,1.0
16,color,VISIBLE_PREFIX,16,0.24395809997804463,0,llama,0,0,0.2786730998195708,0.0
16,color,NATIVE_FULL_REFERENCE,16,0.3265480000991374,6,llama,6,196608,0.2786730998195708,1.0
16,color,NATIVE_SELECTED_FULL_RECORD,16,0.32501960010267794,6,llama,6,196608,0.2786730998195708,1.0
8,color,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.2793618000578135,6,llama,6,98304,0.2786730998195708,1.0
16,code,VISIBLE_PREFIX,16,0.24744669999927282,0,llama,0,0,0.2734620999544859,0.0
16,code,NATIVE_FULL_REFERENCE,16,0.35584780015051365,7,llama,7,229376,0.2734620999544859,1.0
16,code,NATIVE_SELECTED_FULL_RECORD,16,0.3473422999959439,7,llama,7,229376,0.2734620999544859,1.0
8,code,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.3160961999092251,7,llama,7,114688,0.2734620999544859,1.0
