active_layers,case_id,condition,consumer_layers,latency_seconds,materialization_width,model,native_tokens_per_layer,physical_kv_bytes,reference_build_seconds,selection_sparsity
28,capital,VISIBLE_PREFIX,28,0.26020080014131963,0,qwen,0,0,0.3849150000605732,0.0
28,capital,NATIVE_FULL_REFERENCE,28,0.4284428998362273,7,qwen,7,802816,0.3849150000605732,1.0
28,capital,NATIVE_SELECTED_FULL_RECORD,28,0.31481689983047545,7,qwen,7,802816,0.3849150000605732,1.0
8,capital,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.2962690000422299,7,qwen,7,229376,0.3849150000605732,1.0
28,color,VISIBLE_PREFIX,28,0.24542929977178574,0,qwen,0,0,0.38117359997704625,0.0
28,color,NATIVE_FULL_REFERENCE,28,0.421602200018242,6,qwen,6,688128,0.38117359997704625,1.0
28,color,NATIVE_SELECTED_FULL_RECORD,28,0.40593139990232885,6,qwen,6,688128,0.38117359997704625,1.0
8,color,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.33561619999818504,6,qwen,6,196608,0.38117359997704625,1.0
28,code,VISIBLE_PREFIX,28,0.16082419990561903,0,qwen,0,0,0.3390462000388652,0.0
28,code,NATIVE_FULL_REFERENCE,28,0.301416999893263,8,qwen,8,917504,0.3390462000388652,1.0
28,code,NATIVE_SELECTED_FULL_RECORD,28,0.4066040001343936,8,qwen,8,917504,0.3390462000388652,1.0
8,code,NATIVE_CANONICAL_SPARSE_PROFILE,8,0.31550089991651475,8,qwen,8,262144,0.3390462000388652,1.0
