active_layer_tokens,address_index_bytes,address_layer_count,candidate,case_id,consumer_layer_count,consumer_layer_fraction,corrected_transport,delta_vs_full_context,delta_vs_no_memory,detail_kv_bytes,family,full_context_log_probability,full_context_target_rank,latency_seconds,materialization,max_abs_logit_error_vs_full,model_id,model_key,no_memory_log_probability,physical_layers,revision,target_log_probability,target_rank,workload
196,2048,1,all_layers,capital,28,1.0,True,0.001505136489868164,-2.2819990143179893,802816,qwen,-2.3874292373657227,2,0.39032200002111495,full_selected_record,0.036376953125,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-2.3859241008758545,2,semantic_smoke
7,2048,1,last_1,capital,1,0.03571428571428571,True,2.2974228262901306,0.013918675482273102,28672,qwen,-2.3874292373657227,2,0.2047985999379307,full_selected_record,11.7578125,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,[27],c1899de289a04d12100db370d81485cdf75e47ca,-0.09000641107559204,1,semantic_smoke
28,2048,1,last_4,capital,4,0.14285714285714285,True,2.264376014471054,-0.019128136336803436,114688,qwen,-2.3874292373657227,2,0.21536310017108917,full_selected_record,11.6484375,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.12305322289466858,1,semantic_smoke
56,2048,1,last_8,capital,8,0.2857142857142857,True,2.216035544872284,-0.06746860593557358,229376,qwen,-2.3874292373657227,2,0.23133089998736978,full_selected_record,9.390625,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.17139369249343872,1,semantic_smoke
84,2048,1,last_12,capital,12,0.42857142857142855,True,1.939520001411438,-0.3439841493964195,344064,qwen,-2.3874292373657227,2,0.26475630002096295,full_selected_record,6.97265625,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.44790923595428467,1,semantic_smoke
98,2048,1,last_14,capital,14,0.5,True,1.9069450497627258,-0.3765591010451317,401408,qwen,-2.3874292373657227,2,0.26943739992566407,full_selected_record,6.64501953125,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.4804841876029968,1,semantic_smoke
112,2048,1,last_16,capital,16,0.5714285714285714,True,2.079928934574127,-0.20357521623373032,458752,qwen,-2.3874292373657227,2,0.29113960009999573,full_selected_record,7.7958984375,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.30750030279159546,1,semantic_smoke
140,2048,1,last_20,capital,20,0.7142857142857143,True,1.3995830416679382,-0.8839211091399193,573440,qwen,-2.3874292373657227,2,0.2799348998814821,full_selected_record,5.44189453125,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.9878461956977844,1,semantic_smoke
168,2048,1,last_24,capital,24,0.8571428571428571,True,1.7360162138938904,-0.5474879369139671,688128,qwen,-2.3874292373657227,2,0.31435869983397424,full_selected_record,7.1396484375,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.6514130234718323,1,semantic_smoke
28,2048,1,even_4,capital,4,0.14285714285714285,True,-7.517448425292969,-9.800952576100826,114688,qwen,-2.3874292373657227,2,0.24126309994608164,full_selected_record,24.0,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[0, 9, 18, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-9.904877662658691,1439,semantic_smoke
56,2048,1,even_8,capital,8,0.2857142857142857,True,-8.528168678283691,-10.811672829091549,229376,qwen,-2.3874292373657227,2,0.2490594000555575,full_selected_record,22.115234375,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[0, 4, 8, 12, 15, 19, 23, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-10.915597915649414,1740,semantic_smoke
28,2048,1,early_4,capital,4,0.14285714285714285,True,-6.861809730529785,-9.145313881337643,114688,qwen,-2.3874292373657227,2,0.2111515998840332,full_selected_record,21.5166015625,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[0, 1, 2, 3]",c1899de289a04d12100db370d81485cdf75e47ca,-9.249238967895508,207,semantic_smoke
28,2048,1,middle_4,capital,4,0.14285714285714285,True,2.338607784360647,0.05510363355278969,114688,qwen,-2.3874292373657227,2,0.22172470018267632,full_selected_record,13.1171875,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[12, 13, 14, 15]",c1899de289a04d12100db370d81485cdf75e47ca,-0.048821453005075455,1,semantic_smoke
56,2048,1,early_8,capital,8,0.2857142857142857,True,-7.033635139465332,-9.31713929027319,229376,qwen,-2.3874292373657227,2,0.25188590004108846,full_selected_record,21.2578125,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[0, 1, 2, 3, 4, 5, 6, 7]",c1899de289a04d12100db370d81485cdf75e47ca,-9.421064376831055,418,semantic_smoke
56,2048,1,middle_8,capital,8,0.2857142857142857,True,1.1612422466278076,-1.12226190418005,229376,qwen,-2.3874292373657227,2,0.2633041001390666,full_selected_record,8.5380859375,Qwen/Qwen3-0.6B,qwen,-0.10392508655786514,"[10, 11, 12, 13, 14, 15, 16, 17]",c1899de289a04d12100db370d81485cdf75e47ca,-1.226186990737915,1,semantic_smoke
168,2048,1,all_layers,color,28,1.0,True,0.001814424991607666,5.942811131477356,688128,qwen,-0.5497063994407654,1,0.34596720011904836,full_selected_record,0.0234375,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.5478919744491577,1,semantic_smoke
6,2048,1,last_1,color,1,0.03571428571428571,True,-5.825599253177643,0.11539745330810547,24576,qwen,-0.5497063994407654,1,0.25341859995387495,full_selected_record,6.212890625,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,[27],c1899de289a04d12100db370d81485cdf75e47ca,-6.375305652618408,58,semantic_smoke
24,2048,1,last_4,color,4,0.14285714285714285,True,-3.844245970249176,2.0967507362365723,98304,qwen,-0.5497063994407654,1,0.2202168998774141,full_selected_record,5.2451171875,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-4.393952369689941,9,semantic_smoke
48,2048,1,last_8,color,8,0.2857142857142857,True,-3.0088630318641663,2.932133674621582,196608,qwen,-0.5497063994407654,1,0.23591920011676848,full_selected_record,5.2314453125,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-3.5585694313049316,5,semantic_smoke
72,2048,1,last_12,color,12,0.42857142857142855,True,-2.481680929660797,3.459315776824951,294912,qwen,-0.5497063994407654,1,0.24442530004307628,full_selected_record,4.7724609375,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-3.0313873291015625,4,semantic_smoke
84,2048,1,last_14,color,14,0.5,True,-2.3375259041786194,3.603470802307129,344064,qwen,-0.5497063994407654,1,0.26624220004305243,full_selected_record,4.625,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-2.8872323036193848,4,semantic_smoke
96,2048,1,last_16,color,16,0.5714285714285714,True,-1.4929829239845276,4.448013782501221,393216,qwen,-0.5497063994407654,1,0.2752189999446273,full_selected_record,4.2109375,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-2.042689323425293,2,semantic_smoke
120,2048,1,last_20,color,20,0.7142857142857143,True,-0.6923859715461731,5.248610734939575,491520,qwen,-0.5497063994407654,1,0.2972782999277115,full_selected_record,3.685546875,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.2420923709869385,1,semantic_smoke
144,2048,1,last_24,color,24,0.8571428571428571,True,-0.1602637767791748,5.7807329297065735,589824,qwen,-0.5497063994407654,1,0.3144696999806911,full_selected_record,3.515625,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.7099701762199402,1,semantic_smoke
24,2048,1,even_4,color,4,0.14285714285714285,True,-13.203536093235016,-7.262539386749268,98304,qwen,-0.5497063994407654,1,0.2159466000739485,full_selected_record,23.9638671875,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[0, 9, 18, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-13.753242492675781,8185,semantic_smoke
48,2048,1,even_8,color,8,0.2857142857142857,True,-9.48601919412613,-3.545022487640381,196608,qwen,-0.5497063994407654,1,0.23299629986286163,full_selected_record,25.24609375,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[0, 4, 8, 12, 15, 19, 23, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-10.035725593566895,200,semantic_smoke
24,2048,1,early_4,color,4,0.14285714285714285,True,-14.917574942111969,-8.97657823562622,98304,qwen,-0.5497063994407654,1,0.2100400000344962,full_selected_record,19.677734375,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[0, 1, 2, 3]",c1899de289a04d12100db370d81485cdf75e47ca,-15.467281341552734,9642,semantic_smoke
24,2048,1,middle_4,color,4,0.14285714285714285,True,-5.293026030063629,0.6479706764221191,98304,qwen,-0.5497063994407654,1,0.21682590013369918,full_selected_record,5.689453125,Qwen/Qwen3-0.6B,qwen,-6.490703105926514,"[12, 13, 14, 15]",c1899de289a04d12100db370d81485cdf75e47ca,-5.8427324295043945,43,semantic_smoke
