active_layer_tokens_mean,address_index_bytes_mean,candidate,case_count,consumer_layer_count,consumer_layer_fraction,delta_vs_full_context_mean,delta_vs_no_memory_mean,detail_kv_bytes_mean,family,latency_seconds_mean,max_abs_logit_error_vs_full_max,model_id,model_key,physical_layers,revision,target_log_probability_mean,target_rank_mean
7.0,2048.0,last_1,3,1,0.03571428571428571,-1.7045667072137196,0.05200379341840744,28672.0,qwen,0.22908233331205943,11.7578125,Qwen/Qwen3-0.6B,qwen,[27],c1899de289a04d12100db370d81485cdf75e47ca,-2.8329386909802756,20.333333333333332
28.0,2048.0,early_4,3,4,0.14285714285714285,-12.025637199481329,-10.269066698849201,114688.0,qwen,0.2148968999584516,22.951171875,Qwen/Qwen3-0.6B,qwen,"[0, 1, 2, 3]",c1899de289a04d12100db370d81485cdf75e47ca,-13.154009183247885,6500.666666666667
28.0,2048.0,even_4,3,4,0.14285714285714285,-9.316073626279831,-7.559503125647704,114688.0,qwen,0.22254746671145162,26.548828125,Qwen/Qwen3-0.6B,qwen,"[0, 9, 18, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-10.444445610046387,3251.0
28.0,2048.0,last_4,3,4,0.14285714285714285,-0.9986393253008524,0.7579311753312746,114688.0,qwen,0.21960093329350153,11.6484375,Qwen/Qwen3-0.6B,qwen,"[24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-2.127011309067408,4.0
28.0,2048.0,middle_4,3,4,0.14285714285714285,-1.4752639246483643,0.28130657598376274,114688.0,qwen,0.22021173344304165,13.1171875,Qwen/Qwen3-0.6B,qwen,"[12, 13, 14, 15]",c1899de289a04d12100db370d81485cdf75e47ca,-2.6036359084149203,15.333333333333334
56.0,2048.0,early_8,3,8,0.2857142857142857,-8.774784137805304,-7.018213637173176,229376.0,qwen,0.23533099998409548,25.703125,Qwen/Qwen3-0.6B,qwen,"[0, 1, 2, 3, 4, 5, 6, 7]",c1899de289a04d12100db370d81485cdf75e47ca,-9.90315612157186,1300.6666666666667
56.0,2048.0,even_8,3,8,0.2857142857142857,-8.292356063922247,-6.535785563290119,229376.0,qwen,0.24324039998464286,25.24609375,Qwen/Qwen3-0.6B,qwen,"[0, 4, 8, 12, 15, 19, 23, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-9.420728047688803,661.3333333333334
56.0,2048.0,last_8,3,8,0.2857142857142857,-0.650228887796402,1.106341612835725,229376.0,qwen,0.23138803336769342,9.390625,Qwen/Qwen3-0.6B,qwen,"[20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.7786008715629578,2.3333333333333335
56.0,2048.0,middle_8,3,8,0.2857142857142857,-1.516419142484665,0.24015135814746222,229376.0,qwen,0.2499909334195157,8.5380859375,Qwen/Qwen3-0.6B,qwen,"[10, 11, 12, 13, 14, 15, 16, 17]",c1899de289a04d12100db370d81485cdf75e47ca,-2.6447911262512207,8.333333333333334
84.0,2048.0,last_12,3,12,0.42857142857142855,-0.5299614369869232,1.2266090636452038,344064.0,qwen,0.2536807000481834,6.97265625,Qwen/Qwen3-0.6B,qwen,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.658333420753479,2.0
98.0,2048.0,last_14,3,14,0.5,-0.4986995756626129,1.2578709249695141,401408.0,qwen,0.2545339000256111,6.64501953125,Qwen/Qwen3-0.6B,qwen,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.6270715594291687,2.0
112.0,2048.0,last_16,3,16,0.5714285714285714,-0.08576364318529765,1.6708068574468296,458752.0,qwen,0.25699199999993044,7.7958984375,Qwen/Qwen3-0.6B,qwen,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.2141356269518535,1.3333333333333333
140.0,2048.0,last_20,3,20,0.7142857142857143,0.027069975932439167,1.7836404765645664,573440.0,qwen,0.28028923327413696,5.44189453125,Qwen/Qwen3-0.6B,qwen,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.1013020078341167,1.0
168.0,2048.0,last_24,3,24,0.8571428571428571,0.38863494992256165,2.145205450554689,688128.0,qwen,0.31814926660930115,7.1396484375,Qwen/Qwen3-0.6B,qwen,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.7397370338439941,1.0
196.0,2048.0,all_layers,3,28,1.0,0.0011023084322611492,1.7576728090643883,802816.0,qwen,0.36346786671007675,0.036376953125,Qwen/Qwen3-0.6B,qwen,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-1.1272696753342946,1.3333333333333333
