engine,seed,e1_cold_tier_reached,e1_lossless_round_trip,e2_int8_byte_ratio,e2_int8_rmse,e2_quantize_ms,e2_dequantize_ms,e3_lru_retained_document,e3_weighted_retained_document,e4_open_task_retained,e5_task_close_bytes_freed,e6_dependency_retained,e7_session_close_bytes_freed,e8_source_reconstruction_exact,e9_immediate_writes,e9_grace_writes
hf,11,True,True,0.25,0.011080969125032425,0.8496,0.1389,False,True,True,64,True,64,True,1,0
hf,23,True,True,0.25,0.010434519499540329,0.2777,0.0744,False,True,True,64,True,64,True,1,0
hf,37,True,True,0.25,0.010286280885338783,0.2574,0.07,False,True,True,64,True,64,True,1,0
hf,53,True,True,0.25,0.010338600724935532,0.2255,0.0676,False,True,True,64,True,64,True,1,0
hf,71,True,True,0.25,0.009404418990015984,0.407,0.1082,False,True,True,64,True,64,True,1,0
vllm,11,True,True,0.25,0.011080969125032425,0.3282,0.0883,False,True,True,64,True,64,True,1,0
vllm,23,True,True,0.25,0.010434519499540329,0.3685,0.0778,False,True,True,64,True,64,True,1,0
vllm,37,True,True,0.25,0.010286280885338783,0.242,0.0684,False,True,True,64,True,64,True,1,0
vllm,53,True,True,0.25,0.010338600724935532,0.2262,0.068,False,True,True,64,True,64,True,1,0
vllm,71,True,True,0.25,0.009404418990015984,0.2851,0.0707,False,True,True,64,True,64,True,1,0
sglang,11,True,True,0.25,0.011080969125032425,0.2887,0.0712,False,True,True,64,True,64,True,1,0
sglang,23,True,True,0.25,0.010434519499540329,0.3452,0.071,False,True,True,64,True,64,True,1,0
sglang,37,True,True,0.25,0.010286280885338783,0.2521,0.0686,False,True,True,64,True,64,True,1,0
sglang,53,True,True,0.25,0.010338600724935532,0.2516,0.0687,False,True,True,64,True,64,True,1,0
sglang,71,True,True,0.25,0.009404418990015984,0.4024,0.1332,False,True,True,64,True,64,True,1,0
mlx,11,True,True,0.25,0.011080969125032425,0.2998,0.0713,False,True,True,64,True,64,True,1,0
mlx,23,True,True,0.25,0.010434519499540329,0.2659,0.0705,False,True,True,64,True,64,True,1,0
mlx,37,True,True,0.25,0.010286280885338783,0.2592,0.0756,False,True,True,64,True,64,True,1,0
mlx,53,True,True,0.25,0.010338600724935532,0.2309,0.1409,False,True,True,64,True,64,True,1,0
mlx,71,True,True,0.25,0.009404418990015984,0.287,0.0718,False,True,True,64,True,64,True,1,0
