comparison,left_condition,mean_delta,metric,paired_examples,regime,right_condition,selector_profile
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-2025.88,visible_prompt_tokens,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,18.55445009889081,ttft_ms,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,100.98935925983824,total_latency_ms,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-0.10347770722577777,tokens_per_second,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,peak_memory_bytes,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-2025.88,visible_prompt_tokens,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-4631.748921453254,ttft_ms,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-4550.49386487226,total_latency_ms,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,26.590845238349626,tokens_per_second,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-695901087.52,peak_memory_bytes,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-2030.6,visible_prompt_tokens,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,6.3712458102963865,ttft_ms,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,89.29228419438004,total_latency_ms,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-0.09076481258255675,tokens_per_second,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,peak_memory_bytes,50,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-2030.6,visible_prompt_tokens,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-4659.3042449723,ttft_ms,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-4578.533700875705,total_latency_ms,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,26.58633863054334,tokens_per_second,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-699449206.32,peak_memory_bytes,50,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
