comparison,left_condition,mean_delta,metric,paired_examples,regime,right_condition,selector_profile
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-3058.155,visible_prompt_tokens,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-0.005700003821402788,ttft_ms,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-0.005700003821402788,total_latency_ms,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,298.7220242912789,tokens_per_second,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,,peak_memory_bytes,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-3058.155,visible_prompt_tokens,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-0.006475022528320551,ttft_ms,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-0.006475022528320551,total_latency_ms,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,234.7108024403179,tokens_per_second,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,,peak_memory_bytes,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-3060.445,visible_prompt_tokens,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0002405070699751377,ttft_ms,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0002405070699751377,total_latency_ms,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,179.06202122128127,tokens_per_second,200,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,,peak_memory_bytes,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,exact_match,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,token_f1,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.0,official_multihop_rag_score,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-3060.445,visible_prompt_tokens,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.004710496868938208,ttft_ms,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,0.004710496868938208,total_latency_ms,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,-83.76545868443074,tokens_per_second,200,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,,peak_memory_bytes,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker
