candidate_count,condition,examples,failure_class,regime,selector_profile,token_budget
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,COLD,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,15,STANDARD_RAG_PACKING_MISS,COLD,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,6,SUCCESS,COLD,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,WARM,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,15,STANDARD_RAG_PACKING_MISS,WARM,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,6,SUCCESS,WARM,standard_bm25,2048
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,COLD,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,9,STANDARD_RAG_PACKING_MISS,COLD,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,12,SUCCESS,COLD,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,WARM,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,9,STANDARD_RAG_PACKING_MISS,WARM,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,12,SUCCESS,WARM,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,COLD,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,21,STANDARD_RAG_PACKING_MISS,COLD,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,8,SUCCESS,COLD,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,WARM,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,21,STANDARD_RAG_PACKING_MISS,WARM,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,8,SUCCESS,WARM,standard_bm25,2048
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,7,GENERATION_FAILURE,COLD,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,12,STANDARD_RAG_PACKING_MISS,COLD,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,16,SUCCESS,COLD,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,7,GENERATION_FAILURE,WARM,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,12,STANDARD_RAG_PACKING_MISS,WARM,standard_bm25,4096
50,NO_PRA_STANDARD_RAG,16,SUCCESS,WARM,standard_bm25,4096
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,COLD,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,13,STANDARD_RAG_PACKING_MISS,COLD,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,8,SUCCESS,COLD,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,6,GENERATION_FAILURE,WARM,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,13,STANDARD_RAG_PACKING_MISS,WARM,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,8,SUCCESS,WARM,strong_conventional_reranker,2048
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,strong_conventional_reranker,4096
20,NO_PRA_STANDARD_RAG,5,GENERATION_FAILURE,COLD,strong_conventional_reranker,4096
20,NO_PRA_STANDARD_RAG,10,STANDARD_RAG_PACKING_MISS,COLD,strong_conventional_reranker,4096
20,NO_PRA_STANDARD_RAG,12,SUCCESS,COLD,strong_conventional_reranker,4096
20,NO_PRA_STANDARD_RAG,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,strong_conventional_reranker,4096
20,NO_PRA_STANDARD_RAG,5,GENERATION_FAILURE,WARM,strong_conventional_reranker,4096
20,NO_PRA_STANDARD_RAG,10,STANDARD_RAG_PACKING_MISS,WARM,strong_conventional_reranker,4096
20,NO_PRA_STANDARD_RAG,12,SUCCESS,WARM,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,8,GENERATION_FAILURE,COLD,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,20,STANDARD_RAG_PACKING_MISS,COLD,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,7,SUCCESS,COLD,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,8,GENERATION_FAILURE,WARM,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,20,STANDARD_RAG_PACKING_MISS,WARM,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,7,SUCCESS,WARM,strong_conventional_reranker,2048
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,COLD,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,8,GENERATION_FAILURE,COLD,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,14,STANDARD_RAG_PACKING_MISS,COLD,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,13,SUCCESS,COLD,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,15,FIRST_STAGE_RETRIEVAL_MISS,WARM,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,8,GENERATION_FAILURE,WARM,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,14,STANDARD_RAG_PACKING_MISS,WARM,strong_conventional_reranker,4096
50,NO_PRA_STANDARD_RAG,13,SUCCESS,WARM,strong_conventional_reranker,4096
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,COLD,pra_generic,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,GENERATION_FAILURE,COLD,pra_generic,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,14,PRA_DISTRACTOR_SELECTION,COLD,pra_generic,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,3,PRA_SELECTOR_MISS,COLD,pra_generic,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,6,SUCCESS,COLD,pra_generic,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,23,FIRST_STAGE_RETRIEVAL_MISS,WARM,pra_generic,2048
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,GENERATION_FAILURE,WARM,pra_generic,2048
