condition,cumulative_unique_native_tokens,cumulative_visible_tokens,cumulative_wall_ms,example_id
PRA_NATIVE_MEMORY_NO_ADAPTOR,2009,0,0.09300000965595245,multihoprag:0018
PRA_SELECTED_CONTEXT_NO_ADAPTOR,2009,2009,0.09820004925131798,multihoprag:0018
PRA_NATIVE_MEMORY_NO_ADAPTOR,4057,2009,0.19040005281567574,multihoprag:0061
PRA_SELECTED_CONTEXT_NO_ADAPTOR,4057,4057,0.22150017321109772,multihoprag:0061
PRA_NATIVE_MEMORY_NO_ADAPTOR,6105,4057,0.382500234991312,multihoprag:0123
PRA_SELECTED_CONTEXT_NO_ADAPTOR,6105,6105,0.4246998578310013,multihoprag:0123
PRA_NATIVE_MEMORY_NO_ADAPTOR,8150,6105,0.5725999362766743,multihoprag:0146
PRA_SELECTED_CONTEXT_NO_ADAPTOR,8150,8150,0.6105001084506512,multihoprag:0146
PRA_NATIVE_MEMORY_NO_ADAPTOR,10186,8150,0.8384999819099903,multihoprag:0171
PRA_SELECTED_CONTEXT_NO_ADAPTOR,10186,10186,0.7923999801278114,multihoprag:0171
PRA_NATIVE_MEMORY_NO_ADAPTOR,12194,10186,0.950200017541647,multihoprag:0243
PRA_SELECTED_CONTEXT_NO_ADAPTOR,12194,12194,0.9093997068703175,multihoprag:0243
PRA_NATIVE_MEMORY_NO_ADAPTOR,14220,12194,1.0569998994469643,multihoprag:0258
PRA_SELECTED_CONTEXT_NO_ADAPTOR,14220,14220,1.0206997394561768,multihoprag:0258
PRA_NATIVE_MEMORY_NO_ADAPTOR,16262,14220,1.1728000827133656,multihoprag:0340
PRA_SELECTED_CONTEXT_NO_ADAPTOR,16262,16262,1.1407998390495777,multihoprag:0340
PRA_NATIVE_MEMORY_NO_ADAPTOR,18310,16262,1.2908000499010086,multihoprag:0348
PRA_SELECTED_CONTEXT_NO_ADAPTOR,18310,18310,1.2574000284075737,multihoprag:0348
PRA_NATIVE_MEMORY_NO_ADAPTOR,20352,18310,1.4144000597298145,multihoprag:0371
PRA_SELECTED_CONTEXT_NO_ADAPTOR,20352,20352,1.382600050419569,multihoprag:0371
PRA_NATIVE_MEMORY_NO_ADAPTOR,22400,20352,1.5135002322494984,multihoprag:0385
PRA_SELECTED_CONTEXT_NO_ADAPTOR,22400,22400,1.4952998608350754,multihoprag:0385
PRA_NATIVE_MEMORY_NO_ADAPTOR,24415,22400,1.6455999575555325,multihoprag:0580
PRA_SELECTED_CONTEXT_NO_ADAPTOR,24415,24415,1.6185999847948551,multihoprag:0580
PRA_NATIVE_MEMORY_NO_ADAPTOR,26447,24415,1.7411001026630402,multihoprag:0645
PRA_SELECTED_CONTEXT_NO_ADAPTOR,26447,26447,1.725500449538231,multihoprag:0645
PRA_NATIVE_MEMORY_NO_ADAPTOR,28467,26447,1.8469002097845078,multihoprag:0756
PRA_SELECTED_CONTEXT_NO_ADAPTOR,28467,28467,1.8407003954052925,multihoprag:0756
PRA_NATIVE_MEMORY_NO_ADAPTOR,30479,28467,1.950000412762165,multihoprag:0762
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30479,30479,1.9447007216513157,multihoprag:0762
PRA_NATIVE_MEMORY_NO_ADAPTOR,32527,30479,2.074900548905134,multihoprag:0777
PRA_SELECTED_CONTEXT_NO_ADAPTOR,32527,32527,2.1906006149947643,multihoprag:0777
PRA_NATIVE_MEMORY_NO_ADAPTOR,34575,32527,2.184600569307804,multihoprag:0779
PRA_SELECTED_CONTEXT_NO_ADAPTOR,34575,34575,2.300100866705179,multihoprag:0779
PRA_NATIVE_MEMORY_NO_ADAPTOR,36585,34575,2.353300806134939,multihoprag:0800
PRA_SELECTED_CONTEXT_NO_ADAPTOR,36585,36585,2.401700709015131,multihoprag:0800
PRA_NATIVE_MEMORY_NO_ADAPTOR,38611,36585,2.463200595229864,multihoprag:0957
PRA_SELECTED_CONTEXT_NO_ADAPTOR,38611,38611,2.5193006731569767,multihoprag:0957
PRA_NATIVE_MEMORY_NO_ADAPTOR,40659,38611,2.5791004300117493,multihoprag:0990
PRA_SELECTED_CONTEXT_NO_ADAPTOR,40659,40659,2.7523008175194263,multihoprag:0990
PRA_NATIVE_MEMORY_NO_ADAPTOR,42707,40659,2.674900460988283,multihoprag:1139
PRA_SELECTED_CONTEXT_NO_ADAPTOR,42707,42707,2.8558005578815937,multihoprag:1139
PRA_NATIVE_MEMORY_NO_ADAPTOR,44749,42707,2.777600195258856,multihoprag:1204
PRA_SELECTED_CONTEXT_NO_ADAPTOR,44749,44749,2.977900207042694,multihoprag:1204
PRA_NATIVE_MEMORY_NO_ADAPTOR,46763,44749,2.8902003541588783,multihoprag:1242
PRA_SELECTED_CONTEXT_NO_ADAPTOR,46763,46763,3.2271002419292927,multihoprag:1242
PRA_NATIVE_MEMORY_NO_ADAPTOR,48811,46763,3.020400647073984,multihoprag:1336
PRA_SELECTED_CONTEXT_NO_ADAPTOR,48811,48811,3.3495002426207066,multihoprag:1336
PRA_NATIVE_MEMORY_NO_ADAPTOR,50859,48811,3.11410054564476,multihoprag:1622
PRA_SELECTED_CONTEXT_NO_ADAPTOR,50859,50859,3.4464001655578613,multihoprag:1622
PRA_NATIVE_MEMORY_NO_ADAPTOR,52900,50859,3.225700929760933,multihoprag:1666
PRA_SELECTED_CONTEXT_NO_ADAPTOR,52900,52900,3.565200138837099,multihoprag:1666
PRA_NATIVE_MEMORY_NO_ADAPTOR,54921,52900,3.332301042973995,multihoprag:1804
PRA_SELECTED_CONTEXT_NO_ADAPTOR,54921,54921,3.6739003844559193,multihoprag:1804
PRA_NATIVE_MEMORY_NO_ADAPTOR,56969,54921,3.4541008062660694,multihoprag:1829
PRA_SELECTED_CONTEXT_NO_ADAPTOR,56969,56969,3.77870025113225,multihoprag:1829
PRA_NATIVE_MEMORY_NO_ADAPTOR,59017,56969,3.563500940799713,multihoprag:1850
PRA_SELECTED_CONTEXT_NO_ADAPTOR,59017,59017,3.9277002215385437,multihoprag:1850
PRA_NATIVE_MEMORY_NO_ADAPTOR,61060,59017,3.675500862300396,multihoprag:1852
PRA_SELECTED_CONTEXT_NO_ADAPTOR,61060,61060,4.038200248032808,multihoprag:1852
PRA_NATIVE_MEMORY_NO_ADAPTOR,63108,61060,3.7755011580884457,multihoprag:1855
PRA_SELECTED_CONTEXT_NO_ADAPTOR,63108,63108,4.145300481468439,multihoprag:1855
PRA_NATIVE_MEMORY_NO_ADAPTOR,65156,63108,3.881400916725397,multihoprag:1873
PRA_SELECTED_CONTEXT_NO_ADAPTOR,65156,65156,4.253500606864691,multihoprag:1873
PRA_NATIVE_MEMORY_NO_ADAPTOR,67201,65156,3.9921007119119167,multihoprag:1900
PRA_SELECTED_CONTEXT_NO_ADAPTOR,67201,67201,4.3897004798054695,multihoprag:1900
PRA_NATIVE_MEMORY_NO_ADAPTOR,69238,67201,4.095700569450855,multihoprag:1907
PRA_SELECTED_CONTEXT_NO_ADAPTOR,69238,69238,4.507200326770544,multihoprag:1907
PRA_NATIVE_MEMORY_NO_ADAPTOR,71267,69238,4.2021009139716625,multihoprag:1948
PRA_SELECTED_CONTEXT_NO_ADAPTOR,71267,71267,4.620600026100874,multihoprag:1948
PRA_NATIVE_MEMORY_NO_ADAPTOR,73269,71267,4.301600623875856,multihoprag:2047
PRA_SELECTED_CONTEXT_NO_ADAPTOR,73269,73269,4.72360011190176,multihoprag:2047
PRA_NATIVE_MEMORY_NO_ADAPTOR,75286,73269,4.401300568133593,multihoprag:2080
PRA_SELECTED_CONTEXT_NO_ADAPTOR,75286,75286,4.829800222069025,multihoprag:2080
PRA_NATIVE_MEMORY_NO_ADAPTOR,77334,75286,4.514600615948439,multihoprag:2096
PRA_SELECTED_CONTEXT_NO_ADAPTOR,77334,77334,4.95500024408102,multihoprag:2096
PRA_NATIVE_MEMORY_NO_ADAPTOR,79382,77334,4.617900587618351,multihoprag:2126
PRA_SELECTED_CONTEXT_NO_ADAPTOR,79382,79382,5.064100027084351,multihoprag:2126
PRA_NATIVE_MEMORY_NO_ADAPTOR,81430,79382,4.724400583654642,multihoprag:2164
PRA_SELECTED_CONTEXT_NO_ADAPTOR,81430,81430,5.368000362068415,multihoprag:2164
PRA_NATIVE_MEMORY_NO_ADAPTOR,83445,81430,4.819400608539581,multihoprag:2206
PRA_SELECTED_CONTEXT_NO_ADAPTOR,83445,83445,5.467400420457125,multihoprag:2206
PRA_NATIVE_MEMORY_NO_ADAPTOR,85459,83445,4.91770077496767,multihoprag:2257
PRA_SELECTED_CONTEXT_NO_ADAPTOR,85459,85459,5.5665005929768085,multihoprag:2257
PRA_NATIVE_MEMORY_NO_ADAPTOR,87507,85459,5.019600968807936,multihoprag:2292
PRA_SELECTED_CONTEXT_NO_ADAPTOR,87507,87507,5.67630073055625,multihoprag:2292
PRA_NATIVE_MEMORY_NO_ADAPTOR,89540,87507,5.125201307237148,multihoprag:2405
PRA_SELECTED_CONTEXT_NO_ADAPTOR,89540,89540,5.788200534880161,multihoprag:2405
PRA_NATIVE_MEMORY_NO_ADAPTOR,91556,89540,5.223201122134924,multihoprag:2420
PRA_SELECTED_CONTEXT_NO_ADAPTOR,91556,91556,5.887400824576616,multihoprag:2420
PRA_NATIVE_MEMORY_NO_ADAPTOR,93604,91556,5.344300996512175,multihoprag:2438
PRA_SELECTED_CONTEXT_NO_ADAPTOR,93604,93604,6.059001199901104,multihoprag:2438
PRA_NATIVE_MEMORY_NO_ADAPTOR,95610,93604,5.50910085439682,multihoprag:2456
PRA_SELECTED_CONTEXT_NO_ADAPTOR,95610,95610,6.426000967621803,multihoprag:2456
PRA_NATIVE_MEMORY_NO_ADAPTOR,97658,95610,5.604500882327557,multihoprag:2514
PRA_SELECTED_CONTEXT_NO_ADAPTOR,97658,97658,6.554900668561459,multihoprag:2514
PRA_NATIVE_MEMORY_NO_ADAPTOR,99706,97658,5.718000698834658,multihoprag:2521
PRA_SELECTED_CONTEXT_NO_ADAPTOR,99706,99706,6.666800938546658,multihoprag:2521
PRA_NATIVE_MEMORY_NO_ADAPTOR,101718,99706,5.840100813657045,multihoprag:2552
PRA_SELECTED_CONTEXT_NO_ADAPTOR,101718,101718,6.792000960558653,multihoprag:2552
