model,seed,total_parameters,trainable_parameters,trainable_fraction,lora_targets
global_sa,17,445824,445824,1.0,
local_sa,17,445824,445824,1.0,
frozen,17,445824,0,0.0,0
consumer_lora,17,460160,14336,0.031154381084840057,8
interface_lora,17,464256,18432,0.03970223325062035,12
broad_lora,17,519552,73728,0.1419068736141907,48
full_weight,17,445824,445824,1.0,0
native_scratch,17,445824,445824,1.0,0
global_sa,29,445824,445824,1.0,
local_sa,29,445824,445824,1.0,
frozen,29,445824,0,0.0,0
consumer_lora,29,460160,14336,0.031154381084840057,8
interface_lora,29,464256,18432,0.03970223325062035,12
broad_lora,29,519552,73728,0.1419068736141907,48
full_weight,29,445824,445824,1.0,0
native_scratch,29,445824,445824,1.0,0
global_sa,41,445824,445824,1.0,
local_sa,41,445824,445824,1.0,
frozen,41,445824,0,0.0,0
consumer_lora,41,460160,14336,0.031154381084840057,8
interface_lora,41,464256,18432,0.03970223325062035,12
broad_lora,41,519552,73728,0.1419068736141907,48
full_weight,41,445824,445824,1.0,0
native_scratch,41,445824,445824,1.0,0
global_sa,53,445824,445824,1.0,
local_sa,53,445824,445824,1.0,
frozen,53,445824,0,0.0,0
consumer_lora,53,460160,14336,0.031154381084840057,8
interface_lora,53,464256,18432,0.03970223325062035,12
broad_lora,53,519552,73728,0.1419068736141907,48
full_weight,53,445824,445824,1.0,0
native_scratch,53,445824,445824,1.0,0
global_sa,67,445824,445824,1.0,
local_sa,67,445824,445824,1.0,
frozen,67,445824,0,0.0,0
consumer_lora,67,460160,14336,0.031154381084840057,8
interface_lora,67,464256,18432,0.03970223325062035,12
broad_lora,67,519552,73728,0.1419068736141907,48
full_weight,67,445824,445824,1.0,0
native_scratch,67,445824,445824,1.0,0
