model,seed,layer,key_context_divergence,value_context_divergence,examples
frozen,17,3,0.5703521143645048,0.35434951555216687,64
frozen,17,7,0.6254739366471768,0.3061303046299145,64
consumer_lora,17,3,0.5703521143645048,0.35434951555216687,64
consumer_lora,17,7,0.5339721061289311,0.34951256596832536,64
interface_lora,17,3,0.5691684168064967,0.4192967438022606,64
interface_lora,17,7,0.39854069161228833,0.3873926499451045,64
broad_lora,17,3,0.5686402290593833,0.3947511671576649,64
broad_lora,17,7,0.48283849635627124,0.420223755564075,64
full_weight,17,3,0.553939599590376,0.4124491003109142,64
full_weight,17,7,0.5062893172726035,0.4234741527005099,64
native_scratch,17,3,0.35293244631029663,0.12155828322283924,64
native_scratch,17,7,0.38783700414933264,0.17036607354530134,64
frozen,29,3,0.606152618653141,0.39853980308398607,64
frozen,29,7,0.5773891987977549,0.36814224612899127,64
consumer_lora,29,3,0.606152618653141,0.39853980308398607,64
consumer_lora,29,7,0.5044937589205801,0.3473567443375941,64
interface_lora,29,3,0.5927706702845171,0.4385722780018113,64
interface_lora,29,7,0.3706662986776792,0.40119456049287694,64
broad_lora,29,3,0.6299546703929082,0.43977312593488027,64
broad_lora,29,7,0.45497640384128324,0.39582897486398,64
full_weight,29,3,0.6236588411265984,0.4435683988383971,64
full_weight,29,7,0.5688815950881689,0.4370623320690356,64
native_scratch,29,3,0.3462912556482479,0.09192953441524879,64
native_scratch,29,7,0.41986168266739704,0.19509088193881327,64
frozen,41,3,0.5813187177991495,0.34391268526087515,64
frozen,41,7,0.6765994951827452,0.3039797853329219,64
consumer_lora,41,3,0.5813187177991495,0.34391268526087515,64
consumer_lora,41,7,0.6790910309879109,0.3249770939757582,64
interface_lora,41,3,0.574906970653683,0.360967667249497,64
interface_lora,41,7,0.6095699977129698,0.38709190101362767,64
broad_lora,41,3,0.5514154690550641,0.3635647395043634,64
broad_lora,41,7,0.5122269240906462,0.3993910161196254,64
full_weight,41,3,0.5687542216852307,0.3972404579049908,64
full_weight,41,7,0.5728353161364794,0.42442760879639535,64
native_scratch,41,3,0.4144862611312419,0.1335121723590419,64
native_scratch,41,7,0.40527793841902165,0.17082862069946714,64
frozen,53,3,0.604522667452693,0.37622390046017246,64
frozen,53,7,0.589921896206215,0.2936598260770552,64
consumer_lora,53,3,0.604522667452693,0.37622390046017246,64
consumer_lora,53,7,0.4854163432028145,0.2662141373555642,64
interface_lora,53,3,0.5875424550147728,0.3649836046854034,64
interface_lora,53,7,0.39513957519084214,0.3311342431174126,64
broad_lora,53,3,0.5291219276376069,0.323357208899688,64
broad_lora,53,7,0.44052890099119396,0.3082982504332904,64
full_weight,53,3,0.5161153299035505,0.3238905170583166,64
full_weight,53,7,0.46482544438913465,0.3470807806006633,64
native_scratch,53,3,0.3884264794178307,0.10661215775762685,64
native_scratch,53,7,0.5379364333348349,0.3025897577754222,64
frozen,67,3,0.6284545222995803,0.3717847613268532,64
frozen,67,7,0.6451576215215027,0.24020881715696307,64
consumer_lora,67,3,0.6284545222995803,0.3717847613268532,64
consumer_lora,67,7,0.6336422886699438,0.22768618284317202,64
interface_lora,67,3,0.5855593117885292,0.3815656643477269,64
interface_lora,67,7,0.48022259578574444,0.2609113890095614,64
broad_lora,67,3,0.5808067119680345,0.3633066029055044,64
broad_lora,67,7,0.4688958208775148,0.32165317950712047,64
full_weight,67,3,0.562527949991636,0.34067164876032624,64
full_weight,67,7,0.5386571854352951,0.3499085108604049,64
native_scratch,67,3,0.4291062643518671,0.11029430000926368,64
native_scratch,67,7,0.39685920930933205,0.21858985516009852,64
