model,condition,seeds,nll,nll_sd,perplexity,perplexity_sd,accuracy,accuracy_sd,answer_margin,answer_margin_sd,evidence_attention_mass,evidence_attention_mass_sd,distractor_attention_mass,distractor_attention_mass_sd,memory_attention_mass,memory_attention_mass_sd,memory_update_per_token,memory_update_per_token_sd,residual_divergence,residual_divergence_sd
global_sa,full_context,5,1.2020040273666381,0.03740320790195817,3.3286406993865967,0.12463717415801899,0.484765625,0.015891285630318743,-0.009091043472290039,0.05664912860174768,,,,,,,,,,
local_sa,full_context,5,1.6640717267990113,0.04552957788993513,5.285163116455078,0.2417565270611831,0.399609375,0.01876423613199289,-0.5020049512386322,0.07646871354451587,,,,,,,,,,
frozen,none,5,3.144331455230713,0.2787185470673449,23.945513024132435,6.825724094968248,0.123828125,0.025785688538381858,-2.256546638906002,0.40677048169882474,0.0,0.0,0.0,0.0,0.0,0.0,7.859842967987061,1.3344989980309283,1.3969838619232178e-09,5.2561227732660755e-09
frozen,matched_distractor,5,3.0900212466716765,0.19529370809626656,22.32203395035591,4.503805833842421,0.129296875,0.021941166671849404,-2.2416348069906236,0.24472021961270402,0.0,0.0,0.7462137386211765,0.12482874915204618,0.7462137385562528,0.12482875003247937,8.745508533716201,0.3290566375422671,0.14322056919336318,0.05519824149471726
frozen,evidence_only,5,1.8774135068058968,0.18769789209949492,6.627321046497585,1.2084117741511435,0.302734375,0.086963425237864,-0.761148062068969,0.3436755749780749,0.759397196061309,0.1277868684117026,0.0,0.0,0.7593971966998652,0.12778686839359155,8.823701512813567,0.29662703209616426,0.15587027966976166,0.04708020264575794
frozen,whole_parent,5,2.074809031188488,0.06372376837518084,7.975896287127902,0.5039353077600826,0.29140625,0.013559808560710766,-1.000227715075016,0.08252449331669792,0.30313340622694607,0.03253485693088413,0.6123864975736495,0.08428785483149816,0.9155199048691429,0.11630714191359993,8.502347534894943,0.24179756647802908,0.21429730355739593,0.04571104476668952
consumer_lora,none,5,3.047946181893349,0.2989781356990811,21.847487991035834,6.622422902686499,0.13125,0.02296064376513374,-2.198063184320927,0.50636965180322,0.0,0.0,0.0,0.0,0.0,0.0,9.456946337223053,1.44901260184006,2.0023435354232787e-09,4.165326549647612e-09
consumer_lora,matched_distractor,5,3.0447554171085356,0.05265522493986204,21.027964127078285,1.0903257373904085,0.114453125,0.007385808750464467,-2.231087823212147,0.0897791249817857,0.0,0.0,0.5209586482288512,0.15843262705612315,0.5209586482123996,0.1584326262870862,9.782259494066238,1.4026998123163892,0.26640635430812837,0.08537082081464416
consumer_lora,evidence_only,5,0.717603313177824,0.06324743077937595,2.0528232241849755,0.13139607732014738,0.821484375,0.04278190912110953,1.0755826495587826,0.14430328874004977,0.5358750984521341,0.14481135037875845,0.0,0.0,0.5358750986291853,0.14481135057037983,10.042700874805451,1.3301221277738002,0.2883410036563873,0.07366086613118508
consumer_lora,whole_parent,5,1.3738297790288925,0.044934130448446234,3.953643218689242,0.17768113641272973,0.48125,0.006849874186230539,-0.11939350599423051,0.0604600264473624,0.2808838760979045,0.026836486020691212,0.5734075558102928,0.04546928136341967,0.8542914324323647,0.06980402723275148,11.431813597679138,1.4442981589039432,0.46433470249176023,0.08192512182112031
