active_native_kv_tokens,backend,comparisons,consumer_layers,cpu_reference_bytes,device,dtype,encode_granularity_tokens,evidence_recall,evidence_recall_delta_vs_exact,gpu_active_kv_bytes,h2d_bytes,index_build_seconds,layer_token_kv_states,logical_to_active_ratio,logical_tokens,materialize_granularity_tokens,measured,measurement_scope,memory_nodes,path_recall,peak_device_bytes,probes,queries_per_second,recall_at_k_vs_exact,requested_active_kv_tokens,root_recall,routing_index_bytes,search_granularity_tokens,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,total_layers,training_regime
128,coarse_to_fine,512,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.14211759995669127,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,1,3195.0158088000944,0.484375,128,1.0,270336,32,0.0025038999738171697,0.002862610062584281,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.14211759995669127,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,4,3645.9756540138005,0.6015625,128,1.0,270336,32,0.0021942000603303313,0.002890829974785447,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4352,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.14211759995669127,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,16,4005.8085094699736,0.8203125,128,1.0,270336,32,0.00199709995649755,0.0027656099642626936,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005381800001487136,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3179.5239291071807,0.453125,128,1.0,1064960,32,0.002516099950298667,0.003612559975590556,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005381800001487136,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3164.9324990104906,0.546875,128,1.0,1064960,32,0.00252770003862679,0.0029233200359158216,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005381800001487136,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3782.148187147313,0.7109375,128,1.0,1064960,32,0.0021152000408619642,0.0024580600205808874,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.00584350002463907,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3733.9556315537952,0.4609375,128,1.0,4227072,32,0.0021425000159069896,0.002357929991558194,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.00584350002463907,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3824.457443320714,0.5390625,128,1.0,4227072,32,0.002091799979098141,0.0023570199497044086,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.00584350002463907,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3712.4692666034593,0.6796875,128,1.0,4227072,32,0.0021548999939113855,0.0024895400041714307,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4096,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.014715600060299039,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,1,3852.451159550659,0.4140625,128,1.0,16842752,32,0.002076599979773164,0.0031340800458565343,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,10240,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.014715600060299039,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,4,3615.81926322386,0.484375,128,1.0,16842752,32,0.0022124999668449163,0.0028514099656604228,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,34816,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.014715600060299039,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,16,3232.062071114749,0.53125,128,1.0,16842752,32,0.0024751999881118536,0.0028493000427260995,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8192,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.05294229998253286,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,1,3929.659066656549,0.3984375,128,1.0,67239936,32,0.0020358000183477998,0.00277137003140524,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,20480,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.05294229998253286,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,4,4041.628665010833,0.4453125,128,1.0,67239936,32,0.001979400054551661,0.00282508002128452,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,69632,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.05294229998253286,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,16,2353.8411502040567,0.484375,128,1.0,67239936,32,0.0033987000351771712,0.0038153399596922094,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,512,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.004479199997149408,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,1,4084.3416273479424,0.4375,128,1.0,270336,32,0.00195870001334697,0.002605150046292692,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.004479199997149408,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,4,3950.227032634918,0.5546875,128,1.0,270336,32,0.002025200054049492,0.002525540022179484,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4352,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.004479199997149408,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,16,3929.466046913333,0.8203125,128,1.0,270336,32,0.002035900019109249,0.0025204700068570673,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005096099921502173,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,4021.11103675822,0.46875,128,1.0,1064960,32,0.0019894998986274004,0.0023814399261027574,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005096099921502173,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3771.983649050915,0.53125,128,1.0,1064960,32,0.0021208999678492546,0.0024680100148543713,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005096099921502173,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3921.184097971006,0.765625,128,1.0,1064960,32,0.0020402000518515706,0.002431800006888807,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.004969900008291006,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3946.135344055434,0.390625,128,1.0,4227072,32,0.002027299953624606,0.0023828799254260956,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.004969900008291006,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3953.54575611074,0.4453125,128,1.0,4227072,32,0.002023500041104853,0.0025261099450290202,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.004969900008291006,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3694.467607465634,0.578125,128,1.0,4227072,32,0.002165399957448244,0.0027715899748727677,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4096,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013797100051306188,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,1,4086.8454573671033,0.4140625,128,1.0,16842752,32,0.001957500004209578,0.002137190010398626,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,10240,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013797100051306188,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,4,3835.0912030363083,0.453125,128,1.0,16842752,32,0.0020859999349340796,0.00253521001432091,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,34816,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013797100051306188,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,16,3556.6620501476605,0.5234375,128,1.0,16842752,32,0.0022493000142276287,0.002910979965236038,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8192,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04925200005527586,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,1,4020.1004644327795,0.3515625,128,1.0,67239936,32,0.001990000018849969,0.002639619959518313,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,20480,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04925200005527586,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,4,3769.673020395063,0.375,128,1.0,67239936,32,0.002122199977748096,0.0026358200469985605,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,69632,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04925200005527586,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,16,2345.0782563555194,0.4296875,128,1.0,67239936,32,0.003411400015465915,0.003659070038702339,29,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,512,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.004525600001215935,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,1,4020.1006996093183,0.4765625,128,1.0,270336,32,0.001989999902434647,0.0027239299961365755,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.004525600001215935,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,4,3949.251997585605,0.6328125,128,1.0,270336,32,0.0020257000578567386,0.0025829399935901162,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4352,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.004525600001215935,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,16,3601.4945653808836,0.890625,128,1.0,270336,32,0.002221300033852458,0.003091810015030205,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.006051999982446432,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3646.14202054154,0.4296875,128,1.0,1064960,32,0.00219409994315356,0.002673990034963935,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.006051999982446432,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3510.4655650436703,0.609375,128,1.0,1064960,32,0.002278900006785989,0.0025294899474829434,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.006051999982446432,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3879.1640640355963,0.7734375,128,1.0,1064960,32,0.0020622999873012304,0.0027591799618676303,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.005461700027808547,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,4070.003933577409,0.3984375,128,1.0,4227072,32,0.0019656000658869743,0.0025165600469335913,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.005461700027808547,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3624.173162540236,0.453125,128,1.0,4227072,32,0.002207400044426322,0.002802840014919638,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.005461700027808547,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3511.390068127209,0.5234375,128,1.0,4227072,32,0.002278300002217293,0.002703469980042428,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4096,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.014076399966143072,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,1,4161.248438293732,0.4765625,128,1.0,16842752,32,0.0019224999705329537,0.002674169966485351,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,10240,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.014076399966143072,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,4,3609.782518717616,0.515625,128,1.0,16842752,32,0.002216199995018542,0.0028388400445692238,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,34816,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.014076399966143072,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,16,3455.5741992153694,0.6171875,128,1.0,16842752,32,0.002315100049600005,0.0029928999370895325,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8192,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04911030002404004,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,1,3728.560706877988,0.3515625,128,1.0,67239936,32,0.002145600039511919,0.0037961099646054205,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,20480,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04911030002404004,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,4,3947.6929422904595,0.3671875,128,1.0,67239936,32,0.0020265000639483333,0.0028117700130678713,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,69632,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04911030002404004,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,16,2358.9773170520552,0.4453125,128,1.0,67239936,32,0.003391300095245242,0.0036335800075903532,41,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,512,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.00520619994495064,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,1,4111.41940093794,0.5390625,128,1.0,270336,32,0.0019458000315353274,0.0022785999928601084,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.00520619994495064,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,4,4000.600137437263,0.65625,128,1.0,270336,32,0.0019996999762952328,0.0025527900434099133,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
