backend,comparisons,device,difficulty,escalation_rate,evidence_recall,expected_active_kv_tokens,expected_layer_token_kv_states,hard_negative_nodes,hard_negative_noise,logical_tokens,max_budget_rate,measured,measurement_scope,memory_nodes,path_recall,probes,root_recall,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,threshold,training_regime
coarse_to_fine,1280,cpu,medium,0.0,1.0,32.0,64.0,8,0.04,32768,0.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004661669999999063,0.0004784456000002102,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,1280,cpu,medium,1.0,1.0,908.0,1816.0,8,0.04,32768,0.375,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004661669999999063,0.0004784456000002102,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,1280,cpu,medium,1.0,1.0,911.0,1822.0,8,0.04,32768,0.75,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004661669999999063,0.0004784456000002102,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,1280,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,32768,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,1024,1.0,4,1.0,0.0004661669999999063,0.0004784456000002102,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,0.0,1.0,32.0,64.0,8,0.04,131072,0.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.0005090829999998547,0.0005441123999999853,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,1.0,1.0,688.0,1376.0,8,0.04,131072,0.625,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.0005090829999998547,0.0005441123999999853,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,131072,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.0005090829999998547,0.0005441123999999853,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,2560,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,131072,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,4096,1.0,4,1.0,0.0005090829999998547,0.0005441123999999853,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,5120,cpu,medium,0.0,1.0,32.0,64.0,8,0.04,524288,0.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,16384,1.0,4,1.0,0.000525624999999863,0.0005717252000003725,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,5120,cpu,medium,1.0,1.0,912.0,1824.0,8,0.04,524288,0.875,True,oracle-free score-gap controller with planted semantically confusable neighbors,16384,1.0,4,1.0,0.000525624999999863,0.0005717252000003725,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,5120,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,524288,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,16384,1.0,4,1.0,0.000525624999999863,0.0005717252000003725,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,5120,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,524288,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,16384,1.0,4,1.0,0.000525624999999863,0.0005717252000003725,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,10240,cpu,medium,0.0,1.0,32.0,64.0,8,0.04,2097152,0.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,65536,1.0,4,1.0,0.0005463329999999544,0.0006037582000001151,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,10240,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,2097152,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,65536,1.0,4,1.0,0.0005463329999999544,0.0006037582000001151,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,10240,cpu,medium,1.0,1.0,1024.0,2048.0,8,0.04,2097152,1.0,True,oracle-free score-gap controller with planted semantically confusable neighbors,65536,1.0,4,1.0,0.0005463329999999544,0.0006037582000001151,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
