resource_type,policy,max_candidates,examples,full_all_tokens,selection_tokens,selected_full_tokens,progressive_tokens,tokens_saved,token_savings_fraction
tool,diversity_union,1,40,286.725,118.125,286.725,404.85,-118.125,-0.4093693650169638
tool,diversity_union,2,40,614.425,269.375,286.725,556.1,58.325,0.09652973319347016
tool,diversity_union,4,40,1270.05,571.275,286.725,858.0,412.05,0.3248147577850272
tool,diversity_union,6,40,1909.55,859.3,292.475,1151.775,757.775,0.39706881262836524
tool,diversity_union,8,40,2564.4,1160.5,292.475,1452.975,1111.425,0.4335145485162217
tool,diversity_union,10,40,3223.1,1464.725,292.475,1757.2,1465.9,0.4548807038079693
tool,diversity_union,12,40,3870.75,1760.3,292.475,2052.775,1817.975,0.46976163138222465
tool,diversity_union,16,40,5187.575,2368.675,292.475,2661.15,2526.425,0.4870685646431324
tool,diversity_union,20,40,6503.95,2977.525,292.475,3270.0,3233.95,0.4972629037945463
tool,diversity_union,24,40,7820.85,3586.3,292.475,3878.775,3942.075,0.5040710383952461
tool,diversity_union,32,40,10454.8,4803.0,292.475,5095.475,5359.325,0.5126341245765419
tool,diversity_union,48,40,15729.15,7238.775,292.4,7531.175,8197.975,0.5212048840876072
tool,fused,1,40,322.625,147.125,322.625,469.75,-147.125,-0.454629976721664
tool,fused,2,40,649.575,297.05,320.6,617.65,31.925,0.050027050992472455
tool,fused,4,40,1307.0,599.275,316.925,916.2,390.8,0.2992956561707567
tool,fused,6,40,1965.175,902.425,313.425,1215.85,749.325,0.38141958818118793
tool,fused,8,40,2626.4,1208.6,311.65,1520.25,1106.15,0.42124102235482974
tool,fused,10,40,3286.875,1513.75,309.975,1823.725,1463.15,0.4452050259621288
tool,fused,12,40,3946.05,1818.725,308.3,2127.025,1819.025,0.4610236954609965
tool,fused,16,40,5264.4,2426.775,304.875,2731.65,2532.75,0.4811509419946523
tool,fused,20,40,6585.575,3038.25,304.875,3343.125,3242.45,0.49238652425707086
tool,fused,24,40,7905.35,3648.95,304.875,3953.825,3951.525,0.4998762748317745
tool,fused,32,40,10543.95,4868.2,304.875,5173.075,5370.875,0.5093941777462292
tool,fused,48,40,15811.4,7299.025,306.325,7605.35,8206.05,0.5190084290187291
tool,raw_union,1,40,327.275,150.75,327.275,478.025,-150.75,-0.460638728327363
tool,raw_union,2,40,614.0,268.875,312.725,581.6,32.4,0.05303342883752225
tool,raw_union,4,40,1270.325,570.95,312.725,883.675,386.65,0.30452564391997317
tool,raw_union,6,40,1923.25,869.55,309.65,1179.2,744.05,0.3869928509556961
tool,raw_union,8,40,2565.075,1160.75,309.65,1470.4,1094.675,0.42679559104817655
tool,raw_union,10,40,3221.4,1463.65,309.65,1773.3,1448.1,0.4495439409277945
tool,raw_union,12,40,3868.775,1760.075,309.65,2069.725,1799.05,0.4650422081546342
tool,raw_union,16,40,5187.8,2368.575,309.65,2678.225,2509.575,0.483764695888667
tool,raw_union,20,40,6503.45,2976.675,309.65,3286.325,3217.125,0.49469315856434515
tool,raw_union,24,40,7820.425,3585.55,309.65,3895.2,3925.225,0.5019293713945558
tool,raw_union,32,40,10455.85,4803.15,309.65,5112.8,5343.05,0.5110181166173723
tool,raw_union,48,40,15730.4,7239.925,308.575,7548.5,8181.9,0.520137965454013
skill,fused,2,50,1732.34,206.56,857.2,1063.76,668.58,0.3748622992674057
skill,fused,4,50,3435.04,413.18,842.62,1255.8,2179.24,0.6279252521521335
skill,fused,8,50,6865.96,831.06,842.8,1673.86,5192.1,0.7546382734404022
skill,fused,16,50,13535.06,1664.74,836.1,2500.84,11034.22,0.8144080077562834
skill,fused,24,50,20317.94,2500.92,836.1,3337.02,16980.92,0.8353944349654931
skill,fused,32,50,26617.34,3333.62,836.1,4169.72,22447.62,0.8431633025273493
skill,fused,50,50,41854.0,5214.0,836.1,6050.1,35803.9,0.855447508004014
