seed,query_id,policy,k_min,found_by_k48
11,get_user-h2-en-1,bm25,inf,0
11,get_user-h2-en-1,fused,16.0,1
11,get_user-h2-en-1,raw_union,inf,0
11,get_user-h2-en-1,diversity_union,inf,0
11,get_user-h2-en-1,A4_agreement_union,inf,0
11,update_user-h4-en-1,bm25,inf,0
11,update_user-h4-en-1,fused,48.0,1
11,update_user-h4-en-1,raw_union,inf,0
11,update_user-h4-en-1,diversity_union,inf,0
11,update_user-h4-en-1,A4_agreement_union,inf,0
11,search_document-h1-en-1,bm25,inf,0
11,search_document-h1-en-1,fused,inf,0
11,search_document-h1-en-1,raw_union,inf,0
11,search_document-h1-en-1,diversity_union,inf,0
11,search_document-h1-en-1,A4_agreement_union,inf,0
11,export_document-h2-en-1,bm25,2.0,1
11,export_document-h2-en-1,fused,6.0,1
11,export_document-h2-en-1,raw_union,6.0,1
11,export_document-h2-en-1,diversity_union,6.0,1
11,export_document-h2-en-1,A4_agreement_union,6.0,1
11,create_issue-h1-en-1,bm25,inf,0
11,create_issue-h1-en-1,fused,2.0,1
11,create_issue-h1-en-1,raw_union,inf,0
11,create_issue-h1-en-1,diversity_union,inf,0
11,create_issue-h1-en-1,A4_agreement_union,inf,0
11,update_issue-h2-en-1,bm25,1.0,1
11,update_issue-h2-en-1,fused,inf,0
11,update_issue-h2-en-1,raw_union,2.0,1
11,update_issue-h2-en-1,diversity_union,1.0,1
11,update_issue-h2-en-1,A4_agreement_union,2.0,1
11,create_report-h2-en-1,bm25,inf,0
11,create_report-h2-en-1,fused,inf,0
11,create_report-h2-en-1,raw_union,inf,0
11,create_report-h2-en-1,diversity_union,inf,0
11,create_report-h2-en-1,A4_agreement_union,inf,0
11,archive_report-h2-en-1,bm25,1.0,1
11,archive_report-h2-en-1,fused,inf,0
11,archive_report-h2-en-1,raw_union,2.0,1
11,archive_report-h2-en-1,diversity_union,1.0,1
11,archive_report-h2-en-1,A4_agreement_union,2.0,1
23,get_user-h2-en-1,bm25,inf,0
23,get_user-h2-en-1,fused,10.0,1
23,get_user-h2-en-1,raw_union,inf,0
23,get_user-h2-en-1,diversity_union,inf,0
23,get_user-h2-en-1,A4_agreement_union,inf,0
23,update_user-h4-en-1,bm25,inf,0
23,update_user-h4-en-1,fused,48.0,1
23,update_user-h4-en-1,raw_union,inf,0
23,update_user-h4-en-1,diversity_union,inf,0
23,update_user-h4-en-1,A4_agreement_union,inf,0
23,search_document-h1-en-1,bm25,inf,0
23,search_document-h1-en-1,fused,inf,0
23,search_document-h1-en-1,raw_union,inf,0
23,search_document-h1-en-1,diversity_union,inf,0
23,search_document-h1-en-1,A4_agreement_union,inf,0
23,export_document-h2-en-1,bm25,2.0,1
23,export_document-h2-en-1,fused,4.0,1
23,export_document-h2-en-1,raw_union,6.0,1
23,export_document-h2-en-1,diversity_union,6.0,1
23,export_document-h2-en-1,A4_agreement_union,6.0,1
23,create_issue-h1-en-1,bm25,inf,0
23,create_issue-h1-en-1,fused,6.0,1
23,create_issue-h1-en-1,raw_union,inf,0
23,create_issue-h1-en-1,diversity_union,inf,0
23,create_issue-h1-en-1,A4_agreement_union,inf,0
23,update_issue-h2-en-1,bm25,1.0,1
23,update_issue-h2-en-1,fused,inf,0
23,update_issue-h2-en-1,raw_union,2.0,1
23,update_issue-h2-en-1,diversity_union,1.0,1
23,update_issue-h2-en-1,A4_agreement_union,2.0,1
23,create_report-h2-en-1,bm25,inf,0
23,create_report-h2-en-1,fused,inf,0
23,create_report-h2-en-1,raw_union,inf,0
23,create_report-h2-en-1,diversity_union,inf,0
23,create_report-h2-en-1,A4_agreement_union,inf,0
23,archive_report-h2-en-1,bm25,1.0,1
23,archive_report-h2-en-1,fused,inf,0
23,archive_report-h2-en-1,raw_union,2.0,1
23,archive_report-h2-en-1,diversity_union,1.0,1
23,archive_report-h2-en-1,A4_agreement_union,2.0,1
37,get_user-h2-en-1,bm25,inf,0
