target_type,max_candidates,examples,target_recall,type_accuracy,resource_accuracy,wrong_type_choice,selection_tokens,full_all_tokens,progressive_tokens
skill,4,4,0.75,0.75,0.25,0.25,501.0,2636.25,1258.25
skill,8,4,0.75,0.75,0.25,0.25,1053.5,4441.5,1810.75
skill,12,4,0.75,0.75,0.25,0.25,1599.75,6252.25,2357.0
skill,16,4,0.75,0.5,0.25,0.5,2215.5,7576.0,2972.75
skill,24,4,0.75,0.5,0.25,0.5,3402.25,10608.25,4159.5
skill,32,4,0.75,0.25,0.25,0.75,4576.5,14001.75,5333.75
tool,4,4,0.75,1.0,0.25,0.0,572.0,1267.0,834.0
tool,8,4,0.75,1.0,0.5,0.0,1180.0,2586.25,1442.0
tool,12,4,0.75,1.0,0.5,0.0,1788.0,3905.5,2050.0
tool,16,4,1.0,1.0,0.0,0.0,2384.0,5208.5,2646.0
tool,24,4,1.0,1.0,0.25,0.0,3600.0,7841.0,3862.0
tool,32,4,1.0,1.0,0.25,0.0,4816.0,10477.0,5078.0
