direct_tokens,grad_norm,loss,memory_tokens,mode,seed,step,steps_per_second,training_seconds
48,52.92232131958008,69.21290588378906,42,memory,11,1,23.166414723137407,129.4978112000972
90,68.5557861328125,72.49783325195312,0,direct,11,2,23.166414723137407,129.4978112000972
47,68.05286407470703,60.07077407836914,42,memory,11,3,23.166414723137407,129.4978112000972
91,62.242530822753906,47.30840301513672,0,direct,11,4,23.166414723137407,129.4978112000972
370,50.802669525146484,39.41839599609375,0,eager,11,5,23.166414723137407,129.4978112000972
89,34.69110107421875,26.011550903320312,0,direct,11,6,23.166414723137407,129.4978112000972
87,32.79684066772461,23.092987060546875,0,direct,11,7,23.166414723137407,129.4978112000972
46,43.87637710571289,23.675939559936523,40,memory,11,8,23.166414723137407,129.4978112000972
45,36.036014556884766,18.338376998901367,40,memory,11,9,23.166414723137407,129.4978112000972
50,25.7147159576416,16.701343536376953,43,memory,11,10,23.166414723137407,129.4978112000972
381,19.329326629638672,18.270780563354492,0,eager,11,11,23.166414723137407,129.4978112000972
379,21.545434951782227,17.970060348510742,0,eager,11,12,23.166414723137407,129.4978112000972
46,17.48540496826172,11.906699180603027,41,memory,11,13,23.166414723137407,129.4978112000972
94,20.674978256225586,13.569314002990723,0,direct,11,14,23.166414723137407,129.4978112000972
85,16.31220817565918,10.79676628112793,0,direct,11,15,23.166414723137407,129.4978112000972
384,15.571039199829102,11.121865272521973,0,eager,11,16,23.166414723137407,129.4978112000972
51,12.679116249084473,8.429511070251465,45,memory,11,17,23.166414723137407,129.4978112000972
377,11.956747055053711,6.0616936683654785,0,eager,11,18,23.166414723137407,129.4978112000972
46,17.47148895263672,7.894158363342285,41,memory,11,19,23.166414723137407,129.4978112000972
47,24.20342254638672,7.893179416656494,41,memory,11,20,23.166414723137407,129.4978112000972
87,18.67057991027832,9.07262134552002,0,direct,11,21,23.166414723137407,129.4978112000972
47,13.125456809997559,6.497217655181885,40,memory,11,22,23.166414723137407,129.4978112000972
45,17.20431900024414,6.8125834465026855,38,memory,11,23,23.166414723137407,129.4978112000972
50,10.155754089355469,5.870442867279053,45,memory,11,24,23.166414723137407,129.4978112000972
89,10.924873352050781,4.197290897369385,0,direct,11,25,23.166414723137407,129.4978112000972
48,13.194116592407227,6.030858516693115,42,memory,11,26,23.166414723137407,129.4978112000972
46,10.789116859436035,5.35631799697876,41,memory,11,27,23.166414723137407,129.4978112000972
50,8.915242195129395,5.168724060058594,43,memory,11,28,23.166414723137407,129.4978112000972
381,14.536492347717285,6.315953731536865,0,eager,11,29,23.166414723137407,129.4978112000972
46,13.648112297058105,5.414458274841309,40,memory,11,30,23.166414723137407,129.4978112000972
88,7.3005781173706055,4.470091819763184,0,direct,11,31,23.166414723137407,129.4978112000972
49,7.9982500076293945,4.2956767082214355,42,memory,11,32,23.166414723137407,129.4978112000972
46,13.991976737976074,3.8409926891326904,40,memory,11,33,23.166414723137407,129.4978112000972
389,10.771967887878418,4.747649192810059,0,eager,11,34,23.166414723137407,129.4978112000972
43,7.446128845214844,2.113203763961792,38,memory,11,35,23.166414723137407,129.4978112000972
48,5.15642786026001,2.863990545272827,42,memory,11,36,23.166414723137407,129.4978112000972
87,9.196494102478027,2.855311155319214,0,direct,11,37,23.166414723137407,129.4978112000972
46,9.73525333404541,2.6044044494628906,39,memory,11,38,23.166414723137407,129.4978112000972
46,5.756386756896973,2.8814918994903564,40,memory,11,39,23.166414723137407,129.4978112000972
46,7.128917694091797,3.2657246589660645,41,memory,11,40,23.166414723137407,129.4978112000972
47,12.052699089050293,3.3486459255218506,41,memory,11,41,23.166414723137407,129.4978112000972
48,6.937827110290527,3.213270664215088,42,memory,11,42,23.166414723137407,129.4978112000972
371,9.01852798461914,3.6040093898773193,0,eager,11,43,23.166414723137407,129.4978112000972
373,10.871603012084961,3.1268880367279053,0,eager,11,44,23.166414723137407,129.4978112000972
388,12.632147789001465,2.8897314071655273,0,eager,11,45,23.166414723137407,129.4978112000972
49,9.961630821228027,2.4435112476348877,43,memory,11,46,23.166414723137407,129.4978112000972
45,7.696057319641113,1.8727675676345825,39,memory,11,47,23.166414723137407,129.4978112000972
51,12.608991622924805,2.9234678745269775,44,memory,11,48,23.166414723137407,129.4978112000972
376,8.677604675292969,2.3666305541992188,0,eager,11,49,23.166414723137407,129.4978112000972
374,14.201226234436035,4.259474277496338,0,eager,11,50,23.166414723137407,129.4978112000972
49,12.991497993469238,2.9126343727111816,42,memory,11,51,23.166414723137407,129.4978112000972
85,10.129631042480469,2.668919086456299,0,direct,11,52,23.166414723137407,129.4978112000972
92,7.617523670196533,1.3808177709579468,0,direct,11,53,23.166414723137407,129.4978112000972
49,7.596988677978516,2.4629883766174316,44,memory,11,54,23.166414723137407,129.4978112000972
47,9.44655990600586,3.1289000511169434,41,memory,11,55,23.166414723137407,129.4978112000972
51,9.05582332611084,2.264096975326538,44,memory,11,56,23.166414723137407,129.4978112000972
90,6.919167518615723,2.023153781890869,0,direct,11,57,23.166414723137407,129.4978112000972
45,9.468515396118164,2.18820858001709,38,memory,11,58,23.166414723137407,129.4978112000972
51,6.512490272521973,2.6021320819854736,45,memory,11,59,23.166414723137407,129.4978112000972
47,8.86312484741211,2.2353765964508057,41,memory,11,60,23.166414723137407,129.4978112000972
86,7.91264533996582,1.8750922679901123,0,direct,11,61,23.166414723137407,129.4978112000972
48,8.629859924316406,1.061776041984558,41,memory,11,62,23.166414723137407,129.4978112000972
47,5.732193946838379,2.1051676273345947,42,memory,11,63,23.166414723137407,129.4978112000972
87,11.608012199401855,2.217717409133911,0,direct,11,64,23.166414723137407,129.4978112000972
374,14.354682922363281,2.3891043663024902,0,eager,11,65,23.166414723137407,129.4978112000972
51,9.761372566223145,1.844157338142395,45,memory,11,66,23.166414723137407,129.4978112000972
372,9.146903991699219,2.24664306640625,0,eager,11,67,23.166414723137407,129.4978112000972
368,8.25439453125,1.9394046068191528,0,eager,11,68,23.166414723137407,129.4978112000972
88,7.206668376922607,2.09775972366333,0,direct,11,69,23.166414723137407,129.4978112000972
47,9.475998878479004,2.809774398803711,42,memory,11,70,23.166414723137407,129.4978112000972
377,9.433362007141113,2.306943416595459,0,eager,11,71,23.166414723137407,129.4978112000972
372,8.769132614135742,2.447584629058838,0,eager,11,72,23.166414723137407,129.4978112000972
378,11.311952590942383,2.401007652282715,0,eager,11,73,23.166414723137407,129.4978112000972
87,9.116483688354492,2.0666000843048096,0,direct,11,74,23.166414723137407,129.4978112000972
46,9.590002059936523,2.183652877807617,41,memory,11,75,23.166414723137407,129.4978112000972
371,7.443875312805176,3.0944416522979736,0,eager,11,76,23.166414723137407,129.4978112000972
370,7.085315227508545,2.2709290981292725,0,eager,11,77,23.166414723137407,129.4978112000972
